time_s,phase,C_O_m_per_N,f_des_mean_x_N,f_des_mean_y_N,f_des_mean_z_N,f_des_mean_mag_N,f_meas_gd_mean_x_N,f_meas_gd_mean_y_N,f_meas_gd_mean_z_N,f_meas_gd_mean_mag_N,converged,K_probe_task_mean_00_Npm,K_probe_task_mean_11_Npm,K_probe_task_mean_22_Npm,K_probe_joint_mean_0_Nmrad,K_probe_joint_mean_1_Nmrad,K_probe_joint_mean_2_Nmrad,d_ref_probe_mean_x_m,d_ref_probe_mean_y_m,d_ref_probe_mean_z_m,theta_ref_probe_mean_0_deg,theta_ref_probe_mean_1_deg,theta_ref_probe_mean_2_deg,q_motor_0_rad,q_motor_1_rad,q_motor_2_rad,q_motor_3_rad,q_motor_4_rad,q_motor_5_rad,q_motor_6_rad,q_motor_7_rad,q_motor_8_rad,q_motor_9_rad,q_motor_10_rad,q_motor_11_rad,q_motor_12_rad,q_dot_motor_0_rads,q_dot_motor_1_rads,q_dot_motor_2_rads,q_dot_motor_3_rads,q_dot_motor_4_rads,q_dot_motor_5_rads,q_dot_motor_6_rads,q_dot_motor_7_rads,q_dot_motor_8_rads,q_dot_motor_9_rads,q_dot_motor_10_rads,q_dot_motor_11_rads,q_dot_motor_12_rads,joint_thumb_CMC1_rad,joint_thumb_CMC2_rad,joint_thumb_MCP_rad,joint_thumb_IP_rad,joint_spread_index_rad,joint_spread_middle_rad,joint_spread_ring_rad,joint_spread_pinky_rad,joint_index_MCP_rad,joint_index_PIP_rad,joint_index_DIP_rad,joint_middle_MCP_rad,joint_middle_PIP_rad,joint_middle_DIP_rad,joint_ring_MCP_rad,joint_ring_PIP_rad,joint_ring_DIP_rad,joint_pinky_MCP_rad,joint_pinky_PIP_rad,joint_pinky_DIP_rad,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,ref_thumb_x_m,ref_thumb_y_m,ref_thumb_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_thumb_mag_m,force_1st_thumb_x_N,force_1st_thumb_y_N,force_1st_thumb_z_N,force_1st_thumb_mag_N,stiff_1st_thumb_00_Npm,stiff_1st_thumb_01_Npm,stiff_1st_thumb_02_Npm,stiff_1st_thumb_10_Npm,stiff_1st_thumb_11_Npm,stiff_1st_thumb_12_Npm,stiff_1st_thumb_20_Npm,stiff_1st_thumb_21_Npm,stiff_1st_thumb_22_Npm,stiff_1st_thumb_eig_0_Npm,stiff_1st_thumb_eig_1_Npm,stiff_1st_thumb_eig_2_Npm,tip_index_x_m,tip_index_y_m,tip_index_z_m,ref_index_x_m,ref_index_y_m,ref_index_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_index_mag_m,force_1st_index_x_N,force_1st_index_y_N,force_1st_index_z_N,force_1st_index_mag_N,stiff_1st_index_00_Npm,stiff_1st_index_01_Npm,stiff_1st_index_02_Npm,stiff_1st_index_10_Npm,stiff_1st_index_11_Npm,stiff_1st_index_12_Npm,stiff_1st_index_20_Npm,stiff_1st_index_21_Npm,stiff_1st_index_22_Npm,stiff_1st_index_eig_0_Npm,stiff_1st_index_eig_1_Npm,stiff_1st_index_eig_2_Npm,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,ref_middle_x_m,ref_middle_y_m,ref_middle_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_middle_mag_m,force_1st_middle_x_N,force_1st_middle_y_N,force_1st_middle_z_N,force_1st_middle_mag_N,stiff_1st_middle_00_Npm,stiff_1st_middle_01_Npm,stiff_1st_middle_02_Npm,stiff_1st_middle_10_Npm,stiff_1st_middle_11_Npm,stiff_1st_middle_12_Npm,stiff_1st_middle_20_Npm,stiff_1st_middle_21_Npm,stiff_1st_middle_22_Npm,stiff_1st_middle_eig_0_Npm,stiff_1st_middle_eig_1_Npm,stiff_1st_middle_eig_2_Npm,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,ref_ring_x_m,ref_ring_y_m,ref_ring_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_ring_mag_m,force_1st_ring_x_N,force_1st_ring_y_N,force_1st_ring_z_N,force_1st_ring_mag_N,stiff_1st_ring_00_Npm,stiff_1st_ring_01_Npm,stiff_1st_ring_02_Npm,stiff_1st_ring_10_Npm,stiff_1st_ring_11_Npm,stiff_1st_ring_12_Npm,stiff_1st_ring_20_Npm,stiff_1st_ring_21_Npm,stiff_1st_ring_22_Npm,stiff_1st_ring_eig_0_Npm,stiff_1st_ring_eig_1_Npm,stiff_1st_ring_eig_2_Npm,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,ref_pinky_x_m,ref_pinky_y_m,ref_pinky_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,disp_pinky_mag_m,force_1st_pinky_x_N,force_1st_pinky_y_N,force_1st_pinky_z_N,force_1st_pinky_mag_N,stiff_1st_pinky_00_Npm,stiff_1st_pinky_01_Npm,stiff_1st_pinky_02_Npm,stiff_1st_pinky_10_Npm,stiff_1st_pinky_11_Npm,stiff_1st_pinky_12_Npm,stiff_1st_pinky_20_Npm,stiff_1st_pinky_21_Npm,stiff_1st_pinky_22_Npm,stiff_1st_pinky_eig_0_Npm,stiff_1st_pinky_eig_1_Npm,stiff_1st_pinky_eig_2_Npm
13.0892,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.127476,-1.099864,-0.802272,0.095107,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.110602,-2.060136,0.023930,-0.019288,0.023981,0.023981,-0.038282,0.023981,0.006102,0.023981,0.023981,0.023981,0.023981,-0.009391,0.023981,1.299211,-0.638435,0.908979,0.695210,-0.003170,-0.000000,0.003170,0.004755,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.675246,1.065220,1.065220,-0.030747,0.094834,-0.016973,-0.002810,0.075056,-0.019355,-0.027938,0.019777,0.002382,0.034312,0.055025,-0.237443,0.183630,0.305167,2.556275,-11.030854,8.530894,-11.030854,47.600406,-36.812566,8.530894,-36.812566,28.469610,-0.000000,0.000000,78.626291,-0.017715,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001783,0.035367,0.024185,0.042883,-0.075333,-0.625906,-0.269840,0.685745,0.324593,2.696889,1.162680,2.696889,22.407194,9.660162,1.162680,9.660162,4.164677,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006036,0.028107,0.014798,0.032333,-0.042247,-0.517262,-0.002067,0.518988,0.153094,1.874459,0.007490,1.874459,22.950597,0.091701,0.007490,0.091701,0.000366,-0.000000,0.000000,23.104057,0.034504,0.090156,0.064732,0.029160,0.063694,0.053168,0.005344,0.026461,0.011565,0.029368,-0.024395,-0.365885,-0.134994,0.390756,0.081322,1.219698,0.450009,1.219698,18.293403,6.749376,0.450009,6.749376,2.490192,0.000000,0.000000,20.864917
13.1280,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.122874,-1.099864,-0.802272,0.093573,1.015495,-2.336253,0.477068,-2.788777,1.112136,-2.659923,1.121340,-2.060136,0.023969,0.048957,0.023981,0.023981,-0.001753,0.023981,0.014047,0.023981,0.023981,0.023981,0.023981,0.096232,0.023981,1.299211,-0.635829,0.908979,0.695210,-0.003119,-0.000000,0.003119,0.004679,0.617421,1.071676,1.071676,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.681775,1.065220,1.065220,-0.030789,0.094907,-0.016825,-0.002810,0.075056,-0.019355,-0.027980,0.019850,0.002530,0.034399,0.054598,-0.235103,0.180867,0.301607,2.577721,-11.099779,8.539159,-11.099779,47.796133,-36.769990,8.539159,-36.769990,28.287480,-0.000000,0.000000,78.661334,-0.017716,0.109200,0.076534,-0.015932,0.073801,0.052321,-0.001784,0.035399,0.024213,0.042925,-0.075217,-0.625948,-0.270887,0.686184,0.323275,2.690254,1.164242,2.690254,22.387982,9.688689,1.164242,9.688689,4.192906,-0.000000,0.000000,26.904162,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018160,0.100826,0.062977,0.012125,0.072718,0.048180,0.006035,0.028107,0.014798,0.032333,-0.042237,-0.517257,-0.002070,0.518983,0.153027,1.874052,0.007501,1.874052,22.950662,0.091856,0.007501,0.091856,0.000368,-0.000000,0.000000,23.104057,0.034341,0.090113,0.064457,0.029160,0.063694,0.053168,0.005182,0.026419,0.011289,0.029193,-0.022911,-0.363700,-0.131869,0.387546,0.072923,1.157607,0.419722,1.157607,18.376203,6.662790,0.419722,6.662790,2.415775,-0.000000,0.000000,20.864901
13.1643,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.119806,-1.099864,-0.802272,0.096641,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.132078,-2.060136,0.023978,0.118961,0.023981,0.023981,0.019497,0.023981,0.013929,0.023981,0.023981,0.023981,0.023981,0.316829,0.023981,1.299211,-0.634092,0.908979,0.695210,-0.003221,-0.000000,0.003221,0.004832,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.688303,1.065220,1.065220,-0.030817,0.094955,-0.016725,-0.002810,0.075056,-0.019355,-0.028008,0.019899,0.002630,0.034457,0.054311,-0.233538,0.179033,0.299236,2.592052,-11.145758,8.544472,-11.145758,47.926474,-36.741008,8.544472,-36.741008,28.166096,-0.000000,0.000000,78.684623,-0.017717,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001785,0.035368,0.024185,0.042883,-0.075311,-0.625913,-0.269840,0.685749,0.324398,2.696093,1.162327,2.696093,22.407415,9.660179,1.162327,9.660179,4.164651,-0.000000,-0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006037,0.028107,0.014798,0.032333,-0.042256,-0.517265,-0.002063,0.518992,0.153161,1.874865,0.007479,1.874865,22.950531,0.091546,0.007479,0.091546,0.000365,-0.000000,0.000000,23.104057,0.034183,0.090069,0.064181,0.029160,0.063694,0.053168,0.005024,0.026375,0.011014,0.029020,-0.021497,-0.361520,-0.128761,0.384367,0.065263,1.097559,0.390913,1.097559,18.458136,6.574152,0.390913,6.574152,2.341487,-0.000000,0.000000,20.864885
13.2007,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.121340,-1.099864,-0.802272,0.101243,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.130544,-2.060136,0.023980,0.036570,0.023981,0.023981,0.112289,0.023981,0.020389,0.023981,0.023981,0.023981,0.023981,0.146842,0.023981,1.299211,-0.634960,0.908979,0.695210,-0.003375,-0.000000,0.003375,0.005062,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.687371,1.065220,1.065220,-0.030803,0.094931,-0.016775,-0.002810,0.075056,-0.019355,-0.027994,0.019875,0.002580,0.034428,0.054455,-0.234321,0.179949,0.300422,2.584883,-11.122766,8.541835,-11.122766,47.861319,-36.755559,8.541835,-36.755559,28.226784,-0.000000,0.000000,78.672986,-0.017720,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001788,0.035368,0.024185,0.042884,-0.075244,-0.625933,-0.269843,0.685761,0.323814,2.693704,1.161268,2.693704,22.408080,9.660229,1.161268,9.660229,4.164570,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018164,0.100826,0.062978,0.012125,0.072718,0.048180,0.006039,0.028108,0.014798,0.032334,-0.042285,-0.517277,-0.002053,0.519006,0.153361,1.876084,0.007445,1.876084,22.950334,0.091080,0.007445,0.091080,0.000361,0.000000,0.000000,23.104057,0.034211,0.090076,0.064220,0.029160,0.063694,0.053168,0.005051,0.026382,0.011053,0.029046,-0.021753,-0.361877,-0.129192,0.384862,0.066654,1.108865,0.395872,1.108865,18.447087,6.585727,0.395872,6.585727,2.351146,0.000000,0.000000,20.864888
13.2371,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.121340,-1.099864,-0.802272,0.099709,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.125942,-2.060136,0.023981,0.005631,0.023981,0.023981,0.056338,0.023981,0.008449,0.023981,0.023981,0.023981,0.023981,-0.022674,0.023981,1.299211,-0.634960,0.908979,0.695210,-0.003324,-0.000000,0.003324,0.004985,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.684573,1.065220,1.065220,-0.030803,0.094931,-0.016775,-0.002810,0.075056,-0.019355,-0.027994,0.019875,0.002580,0.034428,0.054455,-0.234321,0.179949,0.300422,2.584883,-11.122766,8.541835,-11.122766,47.861319,-36.755559,8.541835,-36.755559,28.226784,-0.000000,0.000000,78.672986,-0.017719,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001787,0.035368,0.024185,0.042883,-0.075266,-0.625926,-0.269842,0.685757,0.324008,2.694500,1.161621,2.694500,22.407858,9.660212,1.161621,9.660212,4.164597,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018163,0.100826,0.062978,0.012125,0.072718,0.048180,0.006038,0.028108,0.014798,0.032334,-0.042275,-0.517273,-0.002056,0.519002,0.153294,1.875678,0.007456,1.875678,22.950400,0.091235,0.007456,0.091235,0.000363,-0.000000,0.000000,23.104057,0.034278,0.090095,0.064338,0.029160,0.063694,0.053168,0.005119,0.026401,0.011171,0.029120,-0.022356,-0.362812,-0.130523,0.386223,0.069907,1.134517,0.408148,1.134517,18.412035,6.623822,0.408148,6.623822,2.382953,-0.000000,0.000000,20.864895
13.2735,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.118272,-1.099864,-0.802272,0.095107,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.124408,-2.060136,0.012744,0.026612,0.023981,0.023981,-0.035247,0.023981,0.017196,0.023981,0.023981,0.023981,0.023981,-0.077721,0.023981,1.299211,-0.633223,0.908979,0.695210,-0.003170,-0.000000,0.003170,0.004755,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.683640,1.065220,1.065220,-0.030831,0.094979,-0.016676,-0.002810,0.075056,-0.019355,-0.028022,0.019923,0.002679,0.034487,0.054167,-0.232754,0.178119,0.298051,2.599228,-11.168757,8.547069,-11.168757,47.991601,-36.726338,8.547069,-36.726338,28.105416,-0.000000,0.000000,78.696245,-0.017715,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001783,0.035367,0.024185,0.042883,-0.075333,-0.625906,-0.269840,0.685745,0.324593,2.696889,1.162680,2.696889,22.407194,9.660162,1.162680,9.660162,4.164677,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006036,0.028107,0.014798,0.032333,-0.042247,-0.517261,-0.002067,0.518987,0.153094,1.874459,0.007490,1.874459,22.950597,0.091701,0.007490,0.091701,0.000366,-0.000000,0.000000,23.104057,0.034297,0.090101,0.064378,0.029160,0.063694,0.053168,0.005137,0.026406,0.011210,0.029144,-0.022513,-0.363086,-0.130977,0.386644,0.070736,1.140850,0.411542,1.140850,18.399830,6.637415,0.411542,6.637415,2.394331,-0.000000,-0.000000,20.864897
13.3104,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.110602,-1.099864,-0.802272,0.095107,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.122874,-2.060136,0.016110,0.159102,0.023981,0.023981,-0.043247,0.023981,0.004857,0.023981,0.023981,0.023981,0.023981,-0.018253,0.023981,1.299211,-0.628880,0.908979,0.695210,-0.003170,-0.000000,0.003170,0.004755,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.682707,1.065220,1.065220,-0.030901,0.095099,-0.016427,-0.002810,0.075056,-0.019355,-0.028092,0.020043,0.002928,0.034633,0.053438,-0.228821,0.173574,0.292134,2.635210,-11.283831,8.559467,-11.283831,48.316784,-36.651194,8.559467,-36.651194,27.802141,0.000000,0.000000,78.754134,-0.017715,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001783,0.035367,0.024185,0.042883,-0.075333,-0.625906,-0.269840,0.685745,0.324593,2.696889,1.162680,2.696889,22.407194,9.660162,1.162680,9.660162,4.164677,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006036,0.028107,0.014798,0.032333,-0.042247,-0.517261,-0.002067,0.518988,0.153094,1.874459,0.007490,1.874459,22.950597,0.091701,0.007490,0.091701,0.000366,-0.000000,0.000000,23.104057,0.034320,0.090107,0.064417,0.029160,0.063694,0.053168,0.005160,0.026413,0.011250,0.029169,-0.022720,-0.363400,-0.131421,0.387101,0.071877,1.149646,0.415762,1.149646,18.388118,6.649937,0.415762,6.649937,2.404904,-0.000000,0.000000,20.864899
13.3497,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.112136,-1.099864,-0.802272,0.095107,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.124408,-2.060136,0.009329,0.084794,0.023981,0.023981,-0.010993,0.023981,0.013864,0.023981,0.023981,0.023981,0.023981,-0.000233,0.023981,1.299211,-0.629749,0.908979,0.695210,-0.003170,-0.000000,0.003170,0.004755,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.683640,1.065220,1.065220,-0.030887,0.095076,-0.016477,-0.002810,0.075056,-0.019355,-0.028078,0.020019,0.002878,0.034604,0.053585,-0.229609,0.174480,0.293317,2.628000,-11.260806,8.557066,-11.260806,48.251808,-36.666462,8.557066,-36.666462,27.862778,-0.000000,-0.000000,78.742586,-0.017715,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001783,0.035367,0.024185,0.042883,-0.075333,-0.625906,-0.269840,0.685745,0.324593,2.696889,1.162680,2.696889,22.407194,9.660162,1.162680,9.660162,4.164677,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006036,0.028107,0.014798,0.032333,-0.042247,-0.517261,-0.002067,0.518987,0.153094,1.874459,0.007490,1.874459,22.950597,0.091701,0.007490,0.091701,0.000366,-0.000000,0.000000,23.104057,0.034297,0.090101,0.064378,0.029160,0.063694,0.053168,0.005137,0.026406,0.011210,0.029144,-0.022513,-0.363086,-0.130977,0.386644,0.070736,1.140850,0.411542,1.140850,18.399830,6.637415,0.411542,6.637415,2.394331,-0.000000,-0.000000,20.864897
13.3863,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.113670,-1.099864,-0.802272,0.096641,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.136680,-2.060136,0.005152,0.006741,0.023981,0.023981,-0.000707,0.023981,0.021124,0.023981,0.023981,0.023981,0.023981,0.141322,0.023981,1.299211,-0.630617,0.908979,0.695210,-0.003221,-0.000000,0.003221,0.004832,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.691101,1.065220,1.065220,-0.030873,0.095052,-0.016526,-0.002810,0.075056,-0.019355,-0.028064,0.019995,0.002829,0.034574,0.053731,-0.230397,0.175387,0.294500,2.620797,-11.237785,8.554626,-11.237785,48.186801,-36.681610,8.554626,-36.681610,27.923425,-0.000000,-0.000000,78.731023,-0.017717,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001785,0.035368,0.024185,0.042883,-0.075311,-0.625913,-0.269840,0.685749,0.324398,2.696093,1.162327,2.696093,22.407415,9.660179,1.162327,9.660179,4.164651,-0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018161,0.100826,0.062977,0.012125,0.072718,0.048180,0.006037,0.028107,0.014798,0.032333,-0.042256,-0.517265,-0.002063,0.518992,0.153161,1.874865,0.007479,1.874865,22.950531,0.091546,0.007479,0.091546,0.000365,-0.000000,-0.000000,23.104057,0.034114,0.090049,0.064063,0.029160,0.063694,0.053168,0.004955,0.026355,0.010896,0.028946,-0.020882,-0.360564,-0.127440,0.382993,0.062025,1.070986,0.378536,1.070986,18.492671,6.536164,0.378536,6.536164,2.310182,-0.000000,0.000000,20.864878
13.4256,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.000000,0.000000,0.000000,0.006193,0.071791,0.050957,60.000000,90.000000,90.000000,3.497476,-1.112136,-1.099864,-0.802272,0.099709,1.015495,-2.337787,0.477068,-2.788777,1.112136,-2.659923,1.142816,-2.060136,0.018387,-0.000897,0.023981,0.023981,0.076732,0.023981,0.013506,0.023981,0.023981,0.023981,0.023981,0.260678,0.023981,1.299211,-0.629749,0.908979,0.695210,-0.003324,-0.000000,0.003324,0.004985,0.617421,1.072379,1.072379,0.290057,1.237257,1.237257,0.676179,1.220148,1.220148,0.694832,1.065220,1.065220,-0.030887,0.095076,-0.016477,-0.002810,0.075056,-0.019355,-0.028078,0.020019,0.002878,0.034604,0.053585,-0.229609,0.174480,0.293317,2.628000,-11.260806,8.557066,-11.260806,48.251808,-36.666462,8.557066,-36.666462,27.862778,-0.000000,-0.000000,78.742586,-0.017719,0.109169,0.076506,-0.015932,0.073801,0.052321,-0.001787,0.035368,0.024185,0.042883,-0.075266,-0.625926,-0.269842,0.685757,0.324008,2.694500,1.161621,2.694500,22.407858,9.660212,1.161621,9.660212,4.164597,0.000000,0.000000,26.896464,0.002084,0.104754,0.091398,-0.000581,0.076950,0.050160,0.002665,0.027804,0.041238,0.049807,-0.085564,-0.732731,-0.288802,0.792227,0.251380,2.152716,0.848481,2.152716,18.434954,7.266034,0.848481,7.266034,2.863867,-0.000000,0.000000,21.550201,0.018163,0.100826,0.062978,0.012125,0.072718,0.048180,0.006038,0.028108,0.014798,0.032334,-0.042275,-0.517272,-0.002056,0.519001,0.153294,1.875678,0.007456,1.875678,22.950400,0.091235,0.007456,0.091235,0.000363,0.000000,0.000000,23.104057,0.034025,0.090023,0.063906,0.029160,0.063694,0.053168,0.004866,0.026329,0.010738,0.028848,-0.020100,-0.359307,-0.125680,0.381183,0.058014,1.037067,0.362750,1.037067,18.538662,6.484540,0.362750,6.484540,2.268193,-0.000000,0.000000,20.864869
