time_s,phase,C_O_m_per_N,f_des_x_N,f_des_y_N,f_des_z_N,f_des_mag_N,f_meas_gd_x_N,f_meas_gd_y_N,f_meas_gd_z_N,f_meas_gd_mag_N,converged,K_thumb_task_00_Npm,K_thumb_task_11_Npm,K_thumb_task_22_Npm,K_thumb_joint_0_Nmrad,K_thumb_joint_1_Nmrad,K_thumb_joint_2_Nmrad,K_thumb_joint_3_Nmrad,d_ref_thumb_x_m,d_ref_thumb_y_m,d_ref_thumb_z_m,theta_ref_thumb_0_deg,theta_ref_thumb_1_deg,theta_ref_thumb_2_deg,theta_ref_thumb_3_deg,q_motor_0_rad,q_motor_1_rad,q_motor_2_rad,q_motor_3_rad,q_motor_4_rad,q_motor_5_rad,q_motor_6_rad,q_motor_7_rad,q_motor_8_rad,q_motor_9_rad,q_motor_10_rad,q_motor_11_rad,q_motor_12_rad,q_dot_motor_0_rads,q_dot_motor_1_rads,q_dot_motor_2_rads,q_dot_motor_3_rads,q_dot_motor_4_rads,q_dot_motor_5_rads,q_dot_motor_6_rads,q_dot_motor_7_rads,q_dot_motor_8_rads,q_dot_motor_9_rads,q_dot_motor_10_rads,q_dot_motor_11_rads,q_dot_motor_12_rads,joint_thumb_CMC1_rad,joint_thumb_CMC2_rad,joint_thumb_MCP_rad,joint_thumb_IP_rad,joint_spread_index_rad,joint_spread_middle_rad,joint_spread_ring_rad,joint_spread_pinky_rad,joint_index_MCP_rad,joint_index_PIP_rad,joint_index_DIP_rad,joint_middle_MCP_rad,joint_middle_PIP_rad,joint_middle_DIP_rad,joint_ring_MCP_rad,joint_ring_PIP_rad,joint_ring_DIP_rad,joint_pinky_MCP_rad,joint_pinky_PIP_rad,joint_pinky_DIP_rad,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,ref_thumb_x_m,ref_thumb_y_m,ref_thumb_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_thumb_mag_m,force_1st_thumb_x_N,force_1st_thumb_y_N,force_1st_thumb_z_N,force_1st_thumb_mag_N,stiff_1st_thumb_00_Npm,stiff_1st_thumb_01_Npm,stiff_1st_thumb_02_Npm,stiff_1st_thumb_10_Npm,stiff_1st_thumb_11_Npm,stiff_1st_thumb_12_Npm,stiff_1st_thumb_20_Npm,stiff_1st_thumb_21_Npm,stiff_1st_thumb_22_Npm,stiff_1st_thumb_eig_0_Npm,stiff_1st_thumb_eig_1_Npm,stiff_1st_thumb_eig_2_Npm,tip_index_x_m,tip_index_y_m,tip_index_z_m,ref_index_x_m,ref_index_y_m,ref_index_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_index_mag_m,force_1st_index_x_N,force_1st_index_y_N,force_1st_index_z_N,force_1st_index_mag_N,stiff_1st_index_00_Npm,stiff_1st_index_01_Npm,stiff_1st_index_02_Npm,stiff_1st_index_10_Npm,stiff_1st_index_11_Npm,stiff_1st_index_12_Npm,stiff_1st_index_20_Npm,stiff_1st_index_21_Npm,stiff_1st_index_22_Npm,stiff_1st_index_eig_0_Npm,stiff_1st_index_eig_1_Npm,stiff_1st_index_eig_2_Npm,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,ref_middle_x_m,ref_middle_y_m,ref_middle_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_middle_mag_m,force_1st_middle_x_N,force_1st_middle_y_N,force_1st_middle_z_N,force_1st_middle_mag_N,stiff_1st_middle_00_Npm,stiff_1st_middle_01_Npm,stiff_1st_middle_02_Npm,stiff_1st_middle_10_Npm,stiff_1st_middle_11_Npm,stiff_1st_middle_12_Npm,stiff_1st_middle_20_Npm,stiff_1st_middle_21_Npm,stiff_1st_middle_22_Npm,stiff_1st_middle_eig_0_Npm,stiff_1st_middle_eig_1_Npm,stiff_1st_middle_eig_2_Npm,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,ref_ring_x_m,ref_ring_y_m,ref_ring_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_ring_mag_m,force_1st_ring_x_N,force_1st_ring_y_N,force_1st_ring_z_N,force_1st_ring_mag_N,stiff_1st_ring_00_Npm,stiff_1st_ring_01_Npm,stiff_1st_ring_02_Npm,stiff_1st_ring_10_Npm,stiff_1st_ring_11_Npm,stiff_1st_ring_12_Npm,stiff_1st_ring_20_Npm,stiff_1st_ring_21_Npm,stiff_1st_ring_22_Npm,stiff_1st_ring_eig_0_Npm,stiff_1st_ring_eig_1_Npm,stiff_1st_ring_eig_2_Npm,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,ref_pinky_x_m,ref_pinky_y_m,ref_pinky_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,disp_pinky_mag_m,force_1st_pinky_x_N,force_1st_pinky_y_N,force_1st_pinky_z_N,force_1st_pinky_mag_N,stiff_1st_pinky_00_Npm,stiff_1st_pinky_01_Npm,stiff_1st_pinky_02_Npm,stiff_1st_pinky_10_Npm,stiff_1st_pinky_11_Npm,stiff_1st_pinky_12_Npm,stiff_1st_pinky_20_Npm,stiff_1st_pinky_21_Npm,stiff_1st_pinky_22_Npm,stiff_1st_pinky_eig_0_Npm,stiff_1st_pinky_eig_1_Npm,stiff_1st_pinky_eig_2_Npm
13.0896,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.204175,-1.415864,-0.776194,0.105845,1.501767,-2.584758,1.076855,-2.808719,1.641359,-2.699806,1.903670,-2.169049,0.023981,-0.765742,0.000000,0.023981,0.023510,-0.041019,0.023869,0.023981,0.023981,-0.025808,0.023981,-0.009222,0.121755,0.879817,-0.681866,1.170136,0.672612,-0.003528,-0.000000,0.003528,0.005292,0.913074,1.185669,1.185669,0.654728,1.246104,1.246104,0.997947,1.238443,1.238443,1.157431,1.121535,1.121535,-0.055581,0.085515,-0.017569,-0.022570,0.078371,-0.019430,-0.033011,0.007144,0.001862,0.033826,0.096878,-0.199545,0.154477,0.270308,7.388690,-15.218920,11.781697,-15.218920,31.347305,-24.267455,11.781697,-24.267455,18.786604,-0.000000,0.000000,57.522599,-0.015038,0.098436,0.055590,-0.018708,0.049968,0.056917,0.003670,0.048468,-0.001327,0.048625,-0.123599,-0.590660,0.065775,0.607027,0.983512,4.700059,-0.523387,4.700059,22.460884,-2.501191,-0.523387,-2.501191,0.278527,-0.000000,0.000000,23.722923,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013166,0.091984,0.045951,0.012316,0.047867,0.053752,0.000850,0.044117,-0.007801,0.044809,0.007368,-0.531256,0.188963,0.563910,0.003777,-0.272312,0.096859,-0.272312,19.634270,-6.983728,0.096859,-6.983728,2.484047,-0.000000,0.000000,22.122094,0.023751,0.079057,0.045350,0.032239,0.048488,0.056584,-0.008489,0.030569,-0.011234,0.033656,0.072758,-0.292884,0.047575,0.305513,1.105754,-4.451142,0.723020,-4.451142,17.917782,-2.910469,0.723020,-2.910469,0.472761,-0.000000,0.000000,19.496297
13.1287,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.219515,-1.415864,-0.776194,0.102777,1.500233,-2.584758,1.076855,-2.808719,1.644427,-2.699806,1.905204,-2.169049,0.023981,-0.587778,0.000000,0.023981,-0.042424,-0.047613,0.023952,0.023981,0.023981,0.021461,0.023981,0.020097,0.055725,0.879817,-0.690552,1.170136,0.672612,-0.003426,-0.000000,0.003426,0.005139,0.912142,1.185669,1.185669,0.654728,1.246104,1.246104,0.999812,1.238443,1.238443,1.158364,1.121535,1.121535,-0.055402,0.085323,-0.018022,-0.022570,0.078371,-0.019430,-0.032832,0.006952,0.001409,0.033590,0.098996,-0.204827,0.161283,0.278867,7.240300,-14.980494,11.795811,-14.980494,30.995291,-24.406043,11.795811,-24.406043,19.217594,0.000000,0.000000,57.453186,-0.015045,0.098461,0.055641,-0.018708,0.049968,0.056917,0.003664,0.048492,-0.001277,0.048647,-0.123595,-0.591093,0.065266,0.607393,0.982275,4.697714,-0.518705,4.697714,22.466738,-2.480699,-0.518705,-2.480699,0.273910,-0.000000,0.000000,23.722923,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013140,0.091922,0.045863,0.012316,0.047867,0.053752,0.000823,0.044055,-0.007889,0.044764,0.007632,-0.530178,0.189652,0.563129,0.004064,-0.282280,0.100975,-0.282280,19.608881,-7.014381,0.100975,-7.014381,2.509145,-0.000000,0.000000,22.122090,0.023734,0.079030,0.045317,0.032239,0.048488,0.056584,-0.008505,0.030542,-0.011267,0.033647,0.072837,-0.292559,0.047773,0.305251,1.110036,-4.458625,0.728063,-4.458625,17.908725,-2.924373,0.728063,-2.924373,0.477530,0.000000,0.000000,19.496292
13.1681,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.219515,-1.415864,-0.776194,0.102777,1.501767,-2.584758,1.076855,-2.808719,1.658233,-2.699806,1.912874,-2.167515,0.023981,-0.237961,0.000000,0.023981,-0.021801,-0.000237,0.023974,0.023981,0.023981,0.195332,0.023981,0.138905,0.044572,0.879817,-0.690552,1.170136,0.672612,-0.003426,-0.000000,0.003426,0.005139,0.913074,1.185669,1.185669,0.654728,1.246104,1.246104,1.008206,1.238443,1.238443,1.163027,1.120742,1.120742,-0.055402,0.085323,-0.018022,-0.022570,0.078371,-0.019430,-0.032832,0.006952,0.001409,0.033590,0.098996,-0.204827,0.161283,0.278867,7.240300,-14.980494,11.795811,-14.980494,30.995291,-24.406043,11.795811,-24.406043,19.217594,0.000000,0.000000,57.453186,-0.015038,0.098436,0.055590,-0.018708,0.049968,0.056917,0.003670,0.048468,-0.001327,0.048624,-0.123609,-0.590651,0.065777,0.607021,0.983700,4.700484,-0.523465,4.700484,22.460668,-2.501310,-0.523465,-2.501310,0.278556,-0.000000,-0.000000,23.722923,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013021,0.091643,0.045467,0.012316,0.047867,0.053752,0.000704,0.043777,-0.008285,0.044559,0.008807,-0.525335,0.192733,0.559644,0.005479,-0.326806,0.119898,-0.326806,19.492882,-7.151485,0.119898,-7.151485,2.623714,-0.000000,0.000000,22.122074,0.023650,0.078933,0.045164,0.032239,0.048488,0.056584,-0.008589,0.030445,-0.011420,0.033632,0.073016,-0.291232,0.048378,0.304118,1.125146,-4.487784,0.745486,-4.487784,17.900080,-2.973462,0.745486,-2.973462,0.493935,0.000000,0.000000,19.519161
13.2075,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.205709,-1.415864,-0.776194,0.102777,1.512505,-2.584758,1.076855,-2.808719,1.655165,-2.699806,1.909806,-2.167515,0.023981,0.126319,0.000000,0.023981,-0.005541,0.105825,0.023979,0.023981,0.023981,0.146729,0.023981,0.060060,0.029215,0.879817,-0.682734,1.170136,0.672612,-0.003426,-0.000000,0.003426,0.005139,0.919603,1.185669,1.185669,0.654728,1.246104,1.246104,1.006340,1.238443,1.238443,1.161162,1.120742,1.120742,-0.055563,0.085496,-0.017614,-0.022570,0.078371,-0.019430,-0.032993,0.007125,0.001817,0.033802,0.097092,-0.200074,0.155151,0.271161,7.373850,-15.195109,11.783334,-15.195109,31.312185,-24.281625,11.783334,-24.281625,18.829644,-0.000000,-0.000000,57.515678,-0.014992,0.098262,0.055235,-0.018708,0.049968,0.056917,0.003717,0.048294,-0.001682,0.048466,-0.123700,-0.587541,0.069332,0.604411,0.993674,4.719670,-0.556937,4.719670,22.417098,-2.645292,-0.556937,-2.645292,0.312153,-0.000000,0.000000,23.722925,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013047,0.091705,0.045555,0.012316,0.047867,0.053752,0.000731,0.043839,-0.008197,0.044605,0.008548,-0.526414,0.192055,0.560419,0.005146,-0.316943,0.115632,-0.316943,19.518868,-7.121184,0.115632,-7.121184,2.598064,-0.000000,0.000000,22.122078,0.023683,0.078987,0.045226,0.032239,0.048488,0.056584,-0.008556,0.030499,-0.011358,0.033651,0.072860,-0.291847,0.047981,0.304607,1.116768,-4.473295,0.735426,-4.473295,17.918104,-2.945801,0.735426,-2.945801,0.484300,-0.000000,0.000000,19.519173
13.2469,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.176563,-1.415864,-0.776194,0.107379,1.515573,-2.584758,1.076855,-2.808719,1.649029,-2.699806,1.906738,-2.167515,0.023981,0.487503,0.000000,0.023981,0.044510,0.238362,0.010323,0.023981,0.023981,-0.050682,0.023981,-0.045015,0.025311,0.879817,-0.666231,1.170136,0.672612,-0.003579,-0.000000,0.003579,0.005369,0.921468,1.185669,1.185669,0.654728,1.246104,1.246104,1.002610,1.238443,1.238443,1.159297,1.120742,1.120742,-0.055896,0.085852,-0.016747,-0.022570,0.078371,-0.019430,-0.033326,0.007481,0.002683,0.034260,0.092948,-0.189958,0.142578,0.255053,7.655783,-15.646177,11.743675,-15.646177,31.976202,-24.000631,11.743675,-24.000631,18.014344,-0.000000,-0.000000,57.646328,-0.014979,0.098212,0.055135,-0.018708,0.049968,0.056917,0.003730,0.048244,-0.001783,0.048420,-0.123709,-0.586660,0.070336,0.603673,0.996253,4.724477,-0.566430,4.724477,22.404623,-2.686151,-0.566430,-2.686151,0.322050,0.000000,0.000000,23.722926,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013100,0.091830,0.045731,0.012316,0.047867,0.053752,0.000783,0.043963,-0.008021,0.044696,0.008025,-0.528577,0.190694,0.561980,0.004512,-0.297141,0.107200,-0.297141,19.570394,-7.060404,0.107200,-7.060404,2.547179,-0.000000,0.000000,22.122085,0.023716,0.079041,0.045291,0.032239,0.048488,0.056584,-0.008523,0.030552,-0.011294,0.033670,0.072704,-0.292489,0.047584,0.305122,1.108242,-4.458437,0.725334,-4.458437,17.936217,-2.918008,0.725334,-2.918008,0.474725,-0.000000,0.000000,19.519184
13.2861,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.144350,-1.415864,-0.776194,0.108913,1.507903,-2.584758,1.076855,-2.808719,1.649029,-2.699806,1.906738,-2.167515,0.023981,0.729748,0.000000,0.023981,0.098300,-0.021629,0.018243,0.023981,0.023981,-0.063401,0.023981,-0.025572,0.024319,0.879817,-0.647990,1.170136,0.672612,-0.003630,-0.000000,0.003630,0.005446,0.916805,1.185669,1.185669,0.654728,1.246104,1.246104,1.002610,1.238443,1.238443,1.159297,1.120742,1.120742,-0.056253,0.086233,-0.015780,-0.022570,0.078371,-0.019430,-0.033683,0.007862,0.003650,0.034780,0.088182,-0.178657,0.129267,0.237496,7.966952,-16.140976,11.678830,-16.140976,32.701479,-23.661209,11.678830,-23.661209,17.120106,-0.000000,0.000000,57.788537,-0.015012,0.098337,0.055388,-0.018708,0.049968,0.056917,0.003697,0.048369,-0.001529,0.048534,-0.123642,-0.588896,0.067808,0.605544,0.989030,4.710659,-0.542402,4.710659,22.436432,-2.583409,-0.542402,-2.583409,0.297463,-0.000000,0.000000,23.722925,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013099,0.091830,0.045732,0.012316,0.047867,0.053752,0.000783,0.043963,-0.008020,0.044696,0.008025,-0.528580,0.190697,0.561984,0.004511,-0.297134,0.107198,-0.297134,19.570365,-7.060440,0.107198,-7.060440,2.547209,-0.000000,0.000000,22.122085,0.023716,0.079041,0.045292,0.032239,0.048488,0.056584,-0.008523,0.030553,-0.011293,0.033669,0.072705,-0.292498,0.047585,0.305131,1.108184,-4.458330,0.725307,-4.458330,17.936285,-2.917981,0.725307,-2.917981,0.474714,-0.000000,0.000000,19.519184
13.3255,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.118272,-1.415864,-0.776194,0.104311,1.503301,-2.584758,1.076855,-2.808719,1.649029,-2.699806,1.905204,-2.169049,0.023981,0.738723,0.000000,0.023981,-0.009582,-0.141761,0.022522,0.023981,0.023981,-0.016116,0.023981,-0.022119,-0.004063,0.879817,-0.633223,1.170136,0.672612,-0.003477,-0.000000,0.003477,0.005216,0.914007,1.185669,1.185669,0.654728,1.246104,1.246104,1.002610,1.238443,1.238443,1.158364,1.121535,1.121535,-0.056533,0.086531,-0.014990,-0.022570,0.078371,-0.019430,-0.033963,0.008161,0.004440,0.035211,0.084191,-0.169426,0.118942,0.223474,8.218122,-16.538125,11.610215,-16.538125,33.281276,-23.364363,11.610215,-23.364363,16.402420,0.000000,0.000000,57.901818,-0.015031,0.098411,0.055539,-0.018708,0.049968,0.056917,0.003677,0.048443,-0.001378,0.048602,-0.123618,-0.590213,0.066286,0.606652,0.985031,4.703035,-0.528191,4.703035,22.454667,-2.521851,-0.528191,-2.521851,0.283225,-0.000000,0.000000,23.722924,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013100,0.091830,0.045731,0.012316,0.047867,0.053752,0.000784,0.043963,-0.008021,0.044695,0.008026,-0.528570,0.190689,0.561973,0.004512,-0.297155,0.107203,-0.297155,19.570454,-7.060332,0.107203,-7.060332,2.547119,-0.000000,0.000000,22.122085,0.023734,0.079031,0.045318,0.032239,0.048488,0.056584,-0.008505,0.030542,-0.011266,0.033647,0.072837,-0.292568,0.047774,0.305260,1.109979,-4.458518,0.728036,-4.458518,17.908794,-2.924346,0.728036,-2.924346,0.477519,-0.000000,0.000000,19.496292
13.3619,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.098330,-1.415864,-0.776194,0.104311,1.503301,-2.584758,1.076855,-2.808719,1.652097,-2.699806,1.905204,-2.178253,0.023981,0.645792,0.000000,0.023981,-0.034338,-0.053144,0.021171,0.023981,0.023981,0.010650,0.023981,-0.007000,-0.076022,0.879817,-0.621931,1.170136,0.672612,-0.003477,-0.000000,0.003477,0.005216,0.914007,1.185669,1.185669,0.654728,1.246104,1.246104,1.004475,1.238443,1.238443,1.158364,1.126294,1.126294,-0.056743,0.086754,-0.014382,-0.022570,0.078371,-0.019430,-0.034173,0.008383,0.005048,0.035546,0.081063,-0.162323,0.111316,0.212865,8.409542,-16.839491,11.548045,-16.839491,33.719849,-23.124114,11.548045,-23.124114,15.857860,-0.000000,-0.000000,57.987251,-0.015031,0.098411,0.055539,-0.018708,0.049968,0.056917,0.003677,0.048443,-0.001378,0.048602,-0.123618,-0.590213,0.066286,0.606652,0.985031,4.703035,-0.528191,4.703035,22.454667,-2.521851,-0.528191,-2.521851,0.283225,-0.000000,0.000000,23.722924,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.013073,0.091768,0.045643,0.012316,0.047867,0.053752,0.000757,0.043901,-0.008109,0.044650,0.008287,-0.527494,0.191375,0.561198,0.004824,-0.307057,0.111400,-0.307057,19.544706,-7.090823,0.111400,-7.090823,2.572552,-0.000000,0.000000,22.122081,0.023743,0.078812,0.045306,0.032239,0.048488,0.056584,-0.008496,0.030324,-0.011279,0.033451,0.074095,-0.291278,0.050109,0.304702,1.144620,-4.499652,0.774083,-4.499652,17.688723,-3.043023,0.774083,-3.043023,0.523497,-0.000000,-0.000000,19.356840
13.3982,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.082990,-1.415864,-0.776194,0.104311,1.500233,-2.584758,1.076855,-2.808719,1.668971,-2.699806,1.908272,-2.187457,0.023981,0.530179,0.000000,0.023981,-0.000597,-0.041471,0.012478,0.023981,0.023981,0.213665,0.023981,0.031409,-0.250920,0.879817,-0.613245,1.170136,0.672612,-0.003477,-0.000000,0.003477,0.005216,0.912142,1.185669,1.185669,0.654728,1.246104,1.246104,1.014734,1.238443,1.238443,1.160229,1.131053,1.131053,-0.056901,0.086921,-0.013912,-0.022570,0.078371,-0.019430,-0.034331,0.008550,0.005518,0.035807,0.078614,-0.156835,0.105610,0.204770,8.556306,-17.069804,11.494521,-17.069804,34.054209,-22.931535,11.494521,-22.931535,15.441713,-0.000000,0.000000,58.052227,-0.015045,0.098461,0.055641,-0.018708,0.049968,0.056917,0.003664,0.048492,-0.001276,0.048647,-0.123590,-0.591097,0.065265,0.607396,0.982181,4.697500,-0.518667,4.697500,22.466847,-2.480640,-0.518667,-2.480640,0.273896,-0.000000,0.000000,23.722923,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.012928,0.091424,0.045162,0.012316,0.047867,0.053752,0.000612,0.043557,-0.008591,0.044401,0.009710,-0.521553,0.195084,0.556929,0.006724,-0.361186,0.135100,-0.361186,19.400971,-7.256814,0.135100,-7.256814,2.714366,-0.000000,0.000000,22.122062,0.023720,0.078541,0.045233,0.032239,0.048488,0.056584,-0.008520,0.030053,-0.011351,0.033235,0.075485,-0.289315,0.052812,0.303628,1.187555,-4.551585,0.830858,-4.551585,17.445033,-3.184460,0.830858,-3.184460,0.581299,-0.000000,0.000000,19.213887
13.4346,sense,0.000000e+00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,25.000000,25.000000,25.000000,0.100000,0.100000,0.000000,0.000000,-0.022570,0.078371,-0.019430,70.000000,-60.000000,100.000000,100.000000,2.368466,-1.072253,-1.415864,-0.776194,0.105845,1.500233,-2.584758,1.076855,-2.808719,1.676641,-2.699806,1.917476,-2.182855,0.023981,0.400760,0.000000,0.023981,0.013776,-0.026685,0.021057,0.023981,0.023981,0.358268,0.023981,0.188821,-0.055495,0.879817,-0.607165,1.170136,0.672612,-0.003528,-0.000000,0.003528,0.005292,0.912142,1.185669,1.185669,0.654728,1.246104,1.246104,1.019398,1.238443,1.238443,1.165825,1.128674,1.128674,-0.057010,0.087036,-0.013582,-0.022570,0.078371,-0.019430,-0.034440,0.008665,0.005848,0.035992,0.076879,-0.152982,0.101698,0.199139,8.658753,-17.230193,11.454114,-17.230193,34.286640,-22.792728,11.454114,-22.792728,15.151920,-0.000000,0.000000,58.097313,-0.015045,0.098461,0.055641,-0.018708,0.049968,0.056917,0.003664,0.048492,-0.001276,0.048647,-0.123585,-0.591102,0.065264,0.607399,0.982087,4.697287,-0.518628,4.697287,22.466955,-2.480580,-0.518628,-2.480580,0.273881,-0.000000,-0.000000,23.722923,0.001335,0.103934,0.068369,-0.001723,0.052070,0.053717,0.003058,0.051865,0.014652,0.053981,-0.071462,-0.710501,0.006008,0.714111,0.208811,2.076065,-0.017554,2.076065,20.640923,-0.174527,-0.017554,-0.174527,0.001476,-0.000000,0.000000,20.851209,0.012862,0.091266,0.044944,0.012316,0.047867,0.053752,0.000546,0.043400,-0.008808,0.044288,0.010348,-0.518842,0.196737,0.554986,0.007691,-0.385614,0.146219,-0.385614,19.334434,-7.331326,0.146219,-7.331326,2.779928,-0.000000,0.000000,22.122053,0.023616,0.078490,0.045055,0.032239,0.048488,0.056584,-0.008623,0.030001,-0.011529,0.033277,0.075319,-0.288152,0.052823,0.302481,1.195779,-4.574749,0.838619,-4.574749,17.501839,-3.208346,0.838619,-3.208346,0.588137,-0.000000,0.000000,19.285755
