Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0053,descent,0.8682,0.099991,0.000009
0.0105,descent,0.8682,0.099992,0.000008
0.0157,descent,0.8682,0.100001,-0.000001
0.0209,descent,0.8682,0.099989,0.000011
0.0222,descent,0.8698,0.099989,0.000011
0.0274,descent,0.8698,0.099988,0.000012
0.0325,descent,0.8698,0.099978,0.000022
0.0377,descent,0.8698,0.099981,0.000019
0.0429,descent,0.8698,0.099983,0.000017
0.0481,descent,0.8698,0.099992,0.000008
0.0532,descent,0.8698,0.099987,0.000013
0.0584,descent,0.8698,0.099981,0.000019
0.0636,descent,0.8698,0.099961,0.000039
0.0687,descent,0.8698,0.099971,0.000029
0.0739,descent,0.8698,0.099976,0.000024
0.0791,descent,0.8698,0.099967,0.000033
0.0843,descent,0.8698,0.099948,0.000052
0.0895,descent,0.8698,0.099925,0.000075
0.0947,descent,0.8698,0.099953,0.000047
0.0998,descent,0.8698,0.099935,0.000065
0.1050,descent,0.8698,0.099932,0.000068
0.1072,descent,0.8717,0.099934,0.000066
0.1124,descent,0.8717,0.099932,0.000068
0.1176,descent,0.8717,0.099896,0.000104
0.1227,descent,0.8717,0.099907,0.000093
0.1279,descent,0.8717,0.099907,0.000093
0.1331,descent,0.8717,0.099908,0.000092
0.1382,descent,0.8717,0.099887,0.000113
0.1434,descent,0.8717,0.099871,0.000129
0.1486,descent,0.8717,0.099893,0.000107
0.1537,descent,0.8717,0.099870,0.000130
0.1589,descent,0.8717,0.099856,0.000144
0.1641,descent,0.8717,0.099855,0.000145
0.1692,descent,0.8717,0.099838,0.000162
0.1744,descent,0.8717,0.099824,0.000176
0.1796,descent,0.8717,0.099814,0.000186
0.1848,descent,0.8717,0.099800,0.000200
0.1899,descent,0.8717,0.099785,0.000215
0.1951,descent,0.8717,0.099771,0.000229
0.1971,descent,0.8738,0.099762,0.000238
0.2023,descent,0.8738,0.099739,0.000261
0.2074,descent,0.8738,0.099752,0.000248
0.2126,descent,0.8738,0.099727,0.000273
0.2178,descent,0.8738,0.099713,0.000287
0.2230,descent,0.8738,0.099707,0.000293
0.2281,descent,0.8738,0.099679,0.000321
0.2333,descent,0.8738,0.099671,0.000329
0.2385,descent,0.8738,0.099654,0.000346
0.2436,descent,0.8738,0.099628,0.000372
0.2488,descent,0.8738,0.099642,0.000358
0.2540,descent,0.8738,0.099613,0.000387
0.2592,descent,0.8738,0.099590,0.000410
0.2643,descent,0.8738,0.099580,0.000420
0.2695,descent,0.8738,0.099569,0.000431
0.2747,descent,0.8738,0.099549,0.000451
0.2798,descent,0.8738,0.099545,0.000455
0.2850,descent,0.8738,0.099521,0.000479
0.2871,descent,0.8864,0.099510,0.000490
0.2922,descent,0.8864,0.099497,0.000503
0.2974,descent,0.8864,0.099481,0.000519
0.3026,descent,0.8864,0.099457,0.000543
0.3078,descent,0.8864,0.099460,0.000540
0.3129,descent,0.8864,0.099457,0.000543
0.3181,descent,0.8864,0.099438,0.000562
0.3233,descent,0.8864,0.099440,0.000560
0.3285,descent,0.8864,0.099433,0.000567
0.3336,descent,0.8864,0.099425,0.000575
0.3388,descent,0.8864,0.099423,0.000577
0.3440,descent,0.8864,0.099411,0.000589
0.3492,descent,0.8864,0.099408,0.000592
0.3544,descent,0.8864,0.099391,0.000609
0.3596,descent,0.8864,0.099400,0.000600
0.3648,descent,0.8864,0.099400,0.000600
0.3700,descent,0.8864,0.099382,0.000618
0.3751,descent,0.8864,0.099363,0.000637
0.3772,descent,0.9228,0.099349,0.000651
0.3823,descent,0.9228,0.099357,0.000643
0.3875,descent,0.9228,0.099367,0.000633
0.3927,descent,0.9228,0.099336,0.000664
0.3979,descent,0.9228,0.099327,0.000673
0.4030,descent,0.9228,0.099292,0.000708
0.4082,descent,0.9228,0.099299,0.000701
0.4134,descent,0.9228,0.099304,0.000696
0.4186,descent,0.9228,0.099265,0.000735
0.4237,descent,0.9228,0.099251,0.000749
0.4288,descent,0.9228,0.099235,0.000765
0.4340,descent,0.9228,0.099240,0.000760
0.4392,descent,0.9228,0.099226,0.000774
0.4444,descent,0.9228,0.099206,0.000794
0.4495,descent,0.9228,0.099190,0.000810
0.4547,descent,0.9228,0.099167,0.000833
0.4599,descent,0.9228,0.099179,0.000821
0.4650,descent,0.9228,0.099157,0.000843
0.4671,descent,0.9807,0.099144,0.000856
0.4723,descent,0.9807,0.099140,0.000860
0.4774,descent,0.9807,0.099128,0.000872
0.4826,descent,0.9807,0.099107,0.000893
0.4878,descent,0.9807,0.099100,0.000900
0.4929,descent,0.9807,0.099086,0.000914
0.4981,descent,0.9807,0.099084,0.000916
0.5033,descent,0.9807,0.099063,0.000937
0.5085,descent,0.9807,0.099063,0.000937
0.5136,descent,0.9807,0.099035,0.000965
0.5188,descent,0.9807,0.099027,0.000973
0.5240,descent,0.9807,0.099025,0.000975
0.5291,descent,0.9807,0.098993,0.001007
0.5343,descent,0.9807,0.098993,0.001007
0.5395,descent,0.9807,0.098973,0.001027
0.5447,descent,0.9807,0.098963,0.001037
0.5498,descent,0.9807,0.098950,0.001050
0.5521,descent,1.0288,0.098951,0.001049
0.5573,descent,1.0288,0.098942,0.001058
0.5624,descent,1.0288,0.098934,0.001066
0.5676,descent,1.0288,0.098929,0.001071
0.5728,descent,1.0288,0.098911,0.001089
0.5780,descent,1.0288,0.098915,0.001085
0.5832,descent,1.0288,0.098894,0.001106
0.5884,descent,1.0288,0.098875,0.001125
0.5935,descent,1.0288,0.098886,0.001114
0.5987,descent,1.0288,0.098872,0.001128
0.6040,descent,1.0288,0.098869,0.001131
0.6092,descent,1.0288,0.098855,0.001145
0.6145,descent,1.0288,0.098836,0.001164
0.6197,descent,1.0288,0.098836,0.001164
0.6249,descent,1.0288,0.098835,0.001165
0.6301,descent,1.0288,0.098822,0.001178
0.6353,descent,1.0288,0.098808,0.001192
0.6405,descent,1.0288,0.098788,0.001212
0.6423,descent,1.0614,0.098805,0.001195
0.6476,descent,1.0614,0.098778,0.001222
0.6527,descent,1.0614,0.098770,0.001230
0.6579,descent,1.0614,0.098753,0.001247
0.6632,descent,1.0614,0.098742,0.001258
0.6684,descent,1.0614,0.098733,0.001267
0.6736,descent,1.0614,0.098736,0.001264
0.6789,descent,1.0614,0.098713,0.001287
0.6841,descent,1.0614,0.098714,0.001286
0.6893,descent,1.0614,0.098690,0.001310
0.6944,descent,1.0614,0.098675,0.001325
0.6996,descent,1.0614,0.098672,0.001328
0.7048,descent,1.0614,0.098651,0.001349
0.7101,descent,1.0614,0.098654,0.001346
0.7153,descent,1.0614,0.098641,0.001359
0.7207,descent,1.0614,0.098626,0.001374
0.7260,descent,1.0614,0.098617,0.001383
0.7313,descent,1.0614,0.098621,0.001379
0.7322,descent,1.1034,0.098621,0.001379
0.7374,descent,1.1034,0.098608,0.001392
0.7426,descent,1.1034,0.098571,0.001429
0.7478,descent,1.1034,0.098572,0.001428
0.7530,descent,1.1034,0.098548,0.001452
0.7582,descent,1.1034,0.098553,0.001447
0.7634,descent,1.1034,0.098526,0.001474
0.7686,descent,1.1034,0.098521,0.001479
0.7738,descent,1.1034,0.098499,0.001501
0.7790,descent,1.1034,0.098498,0.001502
0.7842,descent,1.1034,0.098497,0.001503
0.7894,descent,1.1034,0.098492,0.001508
0.7946,descent,1.1034,0.098473,0.001527
0.7998,descent,1.1034,0.098463,0.001537
0.8049,descent,1.1034,0.098429,0.001571
0.8102,descent,1.1034,0.098440,0.001560
0.8155,descent,1.1034,0.098424,0.001576
0.8209,descent,1.1034,0.098398,0.001602
0.8223,descent,1.1433,0.098398,0.001602
0.8275,descent,1.1433,0.098393,0.001607
0.8328,descent,1.1433,0.098406,0.001594
0.8380,descent,1.1433,0.098370,0.001630
0.8432,descent,1.1433,0.098364,0.001636
0.8484,descent,1.1433,0.098342,0.001658
0.8536,descent,1.1433,0.098341,0.001659
0.8588,descent,1.1433,0.098337,0.001663
0.8640,descent,1.1433,0.098333,0.001667
0.8692,descent,1.1433,0.098308,0.001692
0.8744,descent,1.1433,0.098305,0.001695
0.8797,descent,1.1433,0.098285,0.001715
0.8849,descent,1.1433,0.098282,0.001718
0.8901,descent,1.1433,0.098267,0.001733
0.8952,descent,1.1433,0.098274,0.001726
0.9004,descent,1.1433,0.098260,0.001740
0.9056,descent,1.1433,0.098250,0.001750
0.9109,descent,1.1433,0.098234,0.001766
0.9124,descent,1.1784,0.098234,0.001766
0.9177,descent,1.1784,0.098229,0.001771
0.9229,descent,1.1784,0.098212,0.001788
0.9282,descent,1.1784,0.098197,0.001803
0.9334,descent,1.1784,0.098201,0.001799
0.9387,descent,1.1784,0.098180,0.001820
0.9439,descent,1.1784,0.098181,0.001819
0.9491,descent,1.1784,0.098172,0.001828
0.9544,descent,1.1784,0.098156,0.001844
0.9596,descent,1.1784,0.098134,0.001866
0.9648,descent,1.1784,0.098125,0.001875
0.9700,descent,1.1784,0.098104,0.001896
0.9752,descent,1.1784,0.098108,0.001892
0.9804,descent,1.1784,0.098113,0.001887
0.9856,descent,1.1784,0.098101,0.001899
0.9909,descent,1.1784,0.098075,0.001925
0.9961,descent,1.1784,0.098065,0.001935
1.0014,descent,1.1784,0.098070,0.001930
1.0024,descent,1.2131,0.098070,0.001930
1.0076,descent,1.2131,0.098039,0.001961
1.0128,descent,1.2131,0.098036,0.001964
1.0182,descent,1.2131,0.098029,0.001971
1.0234,descent,1.2131,0.098014,0.001986
1.0288,descent,1.2131,0.097994,0.002006
1.0340,descent,1.2131,0.097972,0.002028
1.0414,descent,1.2131,0.097961,0.002039
1.0468,descent,1.2131,0.097966,0.002034
1.0521,descent,1.2131,0.097948,0.002052
1.0573,descent,1.2131,0.097940,0.002060
1.0625,descent,1.2131,0.097932,0.002068
1.0678,descent,1.2131,0.097903,0.002097
1.0730,descent,1.2131,0.097919,0.002081
1.0783,descent,1.2131,0.097889,0.002111
1.0835,descent,1.2131,0.097881,0.002119
1.0888,descent,1.2131,0.097867,0.002133
1.0924,descent,1.2474,0.097882,0.002118
1.0978,descent,1.2474,0.097866,0.002134
1.1031,descent,1.2474,0.097849,0.002151
1.1083,descent,1.2474,0.097836,0.002164
1.1135,descent,1.2474,0.097826,0.002174
1.1197,descent,1.2474,0.097815,0.002185
1.1250,descent,1.2474,0.097802,0.002198
1.1304,descent,1.2474,0.097805,0.002195
1.1359,descent,1.2474,0.097784,0.002216
1.1413,descent,1.2474,0.097773,0.002227
1.1466,descent,1.2474,0.097762,0.002238
1.1519,descent,1.2474,0.097742,0.002258
1.1572,descent,1.2474,0.097739,0.002261
1.1625,descent,1.2474,0.097729,0.002271
1.1678,descent,1.2474,0.097739,0.002261
1.1730,descent,1.2474,0.097719,0.002281
1.1782,descent,1.2474,0.097712,0.002288
1.1823,descent,1.2797,0.097698,0.002302
1.1876,descent,1.2797,0.097697,0.002303
1.1928,descent,1.2797,0.097684,0.002316
1.1981,descent,1.2797,0.097668,0.002332
1.2045,descent,1.2797,0.097659,0.002341
1.2097,descent,1.2797,0.097665,0.002335
1.2150,descent,1.2797,0.097629,0.002371
1.2203,descent,1.2797,0.097636,0.002364
1.2256,descent,1.2797,0.097621,0.002379
1.2309,descent,1.2797,0.097596,0.002404
1.2371,descent,1.2797,0.097604,0.002396
1.2422,descent,1.2797,0.097588,0.002412
