Time_s,Phase,Force_N,UR5_Z_m,UR5_displacement_m
0.0053,descent,0.2865,0.100000,-0.000000
0.0105,descent,0.2865,0.099998,0.000002
0.0158,descent,0.2865,0.099985,0.000015
0.0212,descent,0.2865,0.099978,0.000022
0.0215,descent,0.2873,0.099978,0.000022
0.0267,descent,0.2873,0.100006,-0.000006
0.0320,descent,0.2873,0.099987,0.000013
0.0371,descent,0.2873,0.099991,0.000009
0.0423,descent,0.2873,0.099982,0.000018
0.0473,descent,0.2873,0.099986,0.000014
0.0525,descent,0.2873,0.099981,0.000019
0.0577,descent,0.2873,0.099992,0.000008
0.0629,descent,0.2873,0.099971,0.000029
0.0681,descent,0.2873,0.099977,0.000023
0.0732,descent,0.2873,0.099967,0.000033
0.0785,descent,0.2873,0.099959,0.000041
0.0837,descent,0.2873,0.099954,0.000046
0.0888,descent,0.2873,0.099946,0.000054
0.0939,descent,0.2873,0.099950,0.000050
0.0991,descent,0.2873,0.099937,0.000063
0.1042,descent,0.2873,0.099929,0.000071
0.1065,descent,0.2881,0.099930,0.000070
0.1117,descent,0.2881,0.099914,0.000086
0.1169,descent,0.2881,0.099923,0.000077
0.1220,descent,0.2881,0.099915,0.000085
0.1272,descent,0.2881,0.099903,0.000097
0.1324,descent,0.2881,0.099882,0.000118
0.1375,descent,0.2881,0.099899,0.000101
0.1427,descent,0.2881,0.099876,0.000124
0.1478,descent,0.2881,0.099875,0.000125
0.1530,descent,0.2881,0.099871,0.000129
0.1581,descent,0.2881,0.099855,0.000145
0.1633,descent,0.2881,0.099867,0.000133
0.1685,descent,0.2881,0.099834,0.000166
0.1738,descent,0.2881,0.099818,0.000182
0.1791,descent,0.2881,0.099805,0.000195
0.1845,descent,0.2881,0.099782,0.000218
0.1898,descent,0.2881,0.099783,0.000217
0.1950,descent,0.2881,0.099777,0.000223
0.1976,descent,0.2904,0.099763,0.000237
0.2029,descent,0.2904,0.099764,0.000236
0.2082,descent,0.2904,0.099751,0.000249
0.2135,descent,0.2904,0.099742,0.000258
0.2188,descent,0.2904,0.099709,0.000291
0.2240,descent,0.2904,0.099701,0.000299
0.2291,descent,0.2904,0.099702,0.000298
0.2344,descent,0.2904,0.099680,0.000320
0.2397,descent,0.2904,0.099661,0.000339
0.2449,descent,0.2904,0.099645,0.000355
0.2501,descent,0.2904,0.099624,0.000376
0.2553,descent,0.2904,0.099608,0.000392
0.2605,descent,0.2904,0.099600,0.000400
0.2657,descent,0.2904,0.099580,0.000420
0.2710,descent,0.2904,0.099570,0.000430
0.2762,descent,0.2904,0.099548,0.000452
0.2814,descent,0.2904,0.099546,0.000454
0.2868,descent,0.3047,0.099506,0.000494
0.2869,descent,0.3047,0.099506,0.000494
0.2920,descent,0.3047,0.099479,0.000521
0.2971,descent,0.3047,0.099486,0.000514
0.3023,descent,0.3047,0.099470,0.000530
0.3074,descent,0.3047,0.099461,0.000539
0.3126,descent,0.3047,0.099455,0.000545
0.3178,descent,0.3047,0.099455,0.000545
0.3230,descent,0.3047,0.099445,0.000555
0.3282,descent,0.3047,0.099442,0.000558
0.3334,descent,0.3047,0.099424,0.000576
0.3385,descent,0.3047,0.099421,0.000579
0.3436,descent,0.3047,0.099414,0.000586
0.3487,descent,0.3047,0.099405,0.000595
0.3538,descent,0.3047,0.099414,0.000586
0.3589,descent,0.3047,0.099401,0.000599
0.3640,descent,0.3047,0.099373,0.000627
0.3691,descent,0.3047,0.099376,0.000624
0.3742,descent,0.3047,0.099384,0.000616
0.3766,descent,0.3378,0.099371,0.000629
