Time_s,Phase,Force_N,F_des_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Profile,K_des_N_per_m,Kth_11,Kth_12,Kth_13,Kth_21,Kth_22,Kth_23,Kth_31,Kth_32,Kth_33,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg,Run
0.0010,descent,0.7630,0.7270,43.0664,48.4277,69.5598,1.3740,0.018232,0.153459,0.085006,-0.000006,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9983,29.9986,29.9986,5
0.0021,descent,0.7630,0.7270,43.0664,48.4277,63.9004,1.3740,0.018282,0.153439,0.085006,-0.000006,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9967,29.9973,29.9973,5
0.0031,descent,0.7630,0.7270,43.0664,48.4277,61.0828,1.3740,0.018303,0.153420,0.085015,-0.000015,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9950,29.9959,29.9959,5
0.0043,descent,0.7630,0.7270,43.0664,48.4277,58.4095,1.3740,0.018323,0.153400,0.085015,-0.000015,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9934,29.9945,29.9945,5
0.0054,descent,0.7630,0.7270,43.0664,48.4277,55.7287,1.3740,0.018342,0.153381,0.085019,-0.000019,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9917,29.9932,29.9932,5
0.0065,descent,0.7630,0.7270,43.0664,48.4277,53.1787,1.3740,0.018360,0.153362,0.085019,-0.000019,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9901,29.9918,29.9918,5
0.0076,descent,0.7630,0.7270,43.0664,48.4277,50.6088,1.3740,0.018378,0.153342,0.085010,-0.000010,hard,211.912790,0.308530,0.214022,0.214022,0.214022,0.227176,0.177176,0.214022,0.177176,0.227176,29.9884,29.9904,29.9904,5
0.0091,descent,0.7630,0.7270,42.9785,48.4277,48.1585,1.3740,0.018486,0.153498,0.085010,-0.000010,hard,211.912790,0.308554,0.214229,0.214229,0.214229,0.227503,0.177503,0.214229,0.177503,0.227503,29.9868,29.9891,29.9891,5
0.0111,descent,0.7630,0.7274,42.9785,48.4277,48.1585,1.3740,0.018480,0.153530,0.084998,0.000002,hard,211.878550,0.308513,0.214194,0.214194,0.214194,0.227474,0.177474,0.214194,0.177474,0.227474,29.9852,29.9877,29.9877,5
0.0116,descent,0.7630,0.7274,42.9785,48.4277,48.1585,1.3740,0.018468,0.153502,0.084998,0.000002,hard,211.878550,0.308513,0.214194,0.214194,0.214194,0.227474,0.177474,0.214194,0.177474,0.227474,29.9835,29.9864,29.9864,5
