Time_s,Phase,Force_N,F_des_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Profile,K_des_N_per_m,Kth_11,Kth_12,Kth_13,Kth_21,Kth_22,Kth_23,Kth_31,Kth_32,Kth_33,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg,Run
0.0011,descent,0.2703,0.2227,26.8945,66.4453,138.5584,55.7576,0.014473,0.007874,0.085001,-0.000001,soft,197.464617,0.381664,0.178058,0.178058,0.178058,0.145593,0.095593,0.178058,0.095593,0.145593,29.9976,29.9987,29.9987,4
0.0021,descent,0.2703,0.2227,26.9824,66.4453,137.7556,53.3420,0.014426,0.007863,0.085002,-0.000002,soft,197.464617,0.381863,0.177820,0.177820,0.177820,0.145280,0.095280,0.177820,0.095280,0.145280,29.9952,29.9974,29.9974,4
0.0032,descent,0.2703,0.2227,27.1582,66.3574,135.9842,48.1534,0.014421,0.008087,0.085009,-0.000009,soft,197.464617,0.381489,0.177749,0.177749,0.177749,0.145311,0.095311,0.177749,0.095311,0.145311,29.9927,29.9961,29.9961,4
0.0044,descent,0.2703,0.2227,27.2461,66.3574,135.0266,45.5365,0.014267,0.007988,0.085009,-0.000009,soft,197.464617,0.381688,0.177510,0.177510,0.177510,0.144998,0.094998,0.177510,0.094998,0.144998,29.9903,29.9948,29.9948,4
0.0055,descent,0.2703,0.2227,27.3340,66.2695,134.0274,42.7690,0.014366,0.008260,0.085016,-0.000016,soft,197.464617,0.381114,0.177677,0.177677,0.177677,0.145342,0.095342,0.177677,0.095342,0.145342,29.9879,29.9935,29.9935,4
0.0066,descent,0.2703,0.2227,27.4219,66.2695,132.9906,40.0035,0.014146,0.008114,0.085016,-0.000016,soft,197.464617,0.381312,0.177438,0.177438,0.177438,0.145029,0.095029,0.177438,0.095029,0.145029,29.9855,29.9922,29.9922,4
0.0077,descent,0.2703,0.2227,27.5098,66.1816,131.9202,37.1024,0.014245,0.008391,0.085011,-0.000011,soft,197.464617,0.380739,0.177605,0.177605,0.177605,0.145372,0.095372,0.177605,0.095372,0.145372,29.9831,29.9909,29.9909,4
0.0088,descent,0.2703,0.2227,27.5977,66.1816,130.8193,34.2165,0.014027,0.008250,0.085011,-0.000011,soft,197.464617,0.380935,0.177366,0.177366,0.177366,0.145060,0.095060,0.177366,0.095060,0.145060,29.9807,29.9896,29.9896,4
0.0099,descent,0.2703,0.2234,27.6855,66.0938,129.6912,31.3445,0.014126,0.008525,0.084996,0.000004,soft,197.368266,0.380201,0.177445,0.177445,0.177445,0.145356,0.095356,0.177445,0.095356,0.145356,29.9783,29.9884,29.9884,4
0.0110,descent,0.2703,0.2252,27.7734,66.0938,128.4011,28.4848,0.013903,0.008373,0.084987,0.000013,soft,197.139251,0.380013,0.177001,0.177001,0.177001,0.144934,0.094934,0.177001,0.094934,0.144934,29.9760,29.9871,29.9871,4
0.0121,descent,0.2703,0.2252,27.7734,66.0059,127.1026,25.6364,0.014098,0.008765,0.084987,0.000013,soft,197.139251,0.379246,0.177403,0.177403,0.177403,0.145588,0.095588,0.177403,0.095588,0.145588,29.9737,29.9859,29.9859,4
0.0133,descent,0.2703,0.2250,27.9492,66.0059,124.3463,19.9685,0.013721,0.008540,0.084988,0.000012,soft,197.171479,0.379689,0.176956,0.176956,0.176956,0.144979,0.094979,0.176956,0.094979,0.144979,29.9714,29.9847,29.9847,4
0.0144,descent,0.2703,0.2250,28.0371,65.9180,122.9036,17.1473,0.013892,0.008870,0.084988,0.000012,soft,197.171479,0.379116,0.177121,0.177121,0.177121,0.145321,0.095321,0.177121,0.095321,0.145321,29.9691,29.9834,29.9834,4
0.0155,descent,0.2703,0.2227,28.1250,65.9180,121.4679,14.3333,0.013680,0.008729,0.085002,-0.000002,soft,197.464617,0.379799,0.177146,0.177146,0.177146,0.145151,0.095151,0.177146,0.095151,0.145151,29.9667,29.9821,29.9821,4
0.0166,descent,0.2703,0.2227,28.1250,65.8301,119.9009,11.6634,0.013918,0.009175,0.085002,-0.000002,soft,197.464617,0.379033,0.177548,0.177548,0.177548,0.145805,0.095805,0.177548,0.095805,0.145805,29.9643,29.9808,29.9808,4
0.0177,descent,0.2703,0.2230,28.2129,65.8301,118.3532,8.9857,0.013642,0.008975,0.084998,0.000002,soft,197.420131,0.379151,0.177270,0.177270,0.177270,0.145471,0.095471,0.177270,0.095471,0.145471,29.9619,29.9795,29.9795,4
0.0188,descent,0.2703,0.2230,28.3008,65.7422,116.8229,6.4383,0.013741,0.009233,0.084998,0.000002,soft,197.420131,0.378579,0.177432,0.177432,0.177432,0.145813,0.095813,0.177432,0.095813,0.145813,29.9595,29.9783,29.9783,4
0.0199,descent,0.2703,0.2244,28.3008,65.7422,115.1708,3.8709,0.013644,0.010481,0.084991,0.000009,soft,197.244125,0.378286,0.177274,0.177274,0.177274,0.145728,0.095728,0.177274,0.095728,0.145728,29.9572,29.9770,29.9770,4
0.0210,descent,0.2705,0.2244,28.3887,65.6543,113.5465,1.4228,0.013669,0.110216,0.084991,0.000009,soft,197.244125,0.377716,0.177436,0.177436,0.177436,0.146069,0.096069,0.177436,0.096069,0.146069,29.9549,29.9757,29.9757,4
0.0222,descent,0.2705,0.2227,28.4766,65.5664,110.2331,-3.4230,0.013623,0.013415,0.085003,-0.000003,soft,197.464617,0.377512,0.177794,0.177794,0.177794,0.146518,0.096518,0.177794,0.096518,0.146518,29.9525,29.9744,29.9744,4
0.0233,descent,0.2705,0.2227,28.5645,65.4785,108.5530,-5.6913,0.013578,0.009763,0.085009,-0.000009,soft,197.464617,0.376943,0.177953,0.177953,0.177953,0.146859,0.096859,0.177953,0.096859,0.146859,29.9501,29.9731,29.9731,4
0.0244,descent,0.2705,0.2227,28.6523,65.4785,106.9035,-7.8701,0.013371,0.009593,0.085009,-0.000009,soft,197.464617,0.377131,0.177717,0.177717,0.177717,0.146547,0.096547,0.177717,0.096547,0.146547,29.9476,29.9718,29.9718,4
0.0255,descent,0.2705,0.2247,28.6523,65.3906,105.1442,-9.9685,0.013586,0.009983,0.084990,0.000010,soft,197.213124,0.375960,0.177884,0.177884,0.177884,0.147076,0.097076,0.177884,0.097076,0.147076,29.9453,29.9706,29.9706,4
0.0266,descent,0.2705,0.2247,28.7402,65.3906,103.4234,-11.9945,0.013300,0.009732,0.084990,0.000010,soft,197.213124,0.376147,0.177649,0.177649,0.177649,0.146764,0.096764,0.177649,0.096764,0.146764,29.9430,29.9693,29.9693,4
0.0277,descent,0.2705,0.2227,28.7402,65.3027,101.7372,-13.9552,0.013514,0.010118,0.085012,-0.000012,soft,197.464617,0.375809,0.178267,0.178267,0.178267,0.147539,0.097539,0.178267,0.097539,0.147539,29.9406,29.9680,29.9680,4
0.0288,descent,0.2705,0.2227,28.8281,65.3027,100.0823,-15.8573,0.013267,0.009920,0.085012,-0.000012,soft,197.464617,0.375995,0.178033,0.178033,0.178033,0.147228,0.097228,0.178033,0.097228,0.147228,29.9382,29.9667,29.9667,4
0.0299,descent,0.2705,0.2227,28.8281,65.2148,98.3181,-17.5692,0.013481,0.010296,0.085019,-0.000019,soft,197.464617,0.375244,0.178423,0.178423,0.178423,0.147879,0.097879,0.178423,0.097879,0.147879,29.9358,29.9654,29.9654,4
0.0318,descent,0.2705,0.2247,28.8281,65.2148,96.5929,-19.2473,0.013327,0.010206,0.084990,0.000010,soft,197.213328,0.374830,0.178196,0.178196,0.178196,0.147755,0.097755,0.178196,0.097755,0.147755,29.9335,29.9641,29.9641,4
0.0323,descent,0.2705,0.2247,28.8281,65.2148,96.5929,-19.2473,0.013298,0.010161,0.084990,0.000010,soft,197.213328,0.374830,0.178196,0.178196,0.178196,0.147755,0.097755,0.178196,0.097755,0.147755,29.9312,29.9628,29.9628,4
0.0335,descent,0.2705,0.2233,29.0039,65.0391,91.1045,-23.9735,0.013413,0.010593,0.084997,0.000003,soft,197.389142,0.373993,0.178661,0.178661,0.178661,0.148520,0.098520,0.178661,0.098520,0.148520,29.9288,29.9615,29.9615,4
