Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Run
0.0007,descent,0.4486,14.1504,24.6973,-16.4880,-6.8700,0.007128,0.022063,0.084997,0.000003,0.0903,5
0.0018,descent,0.4486,14.1504,24.6973,-16.4880,-6.8700,0.007128,0.022063,0.084997,0.000003,0.0903,5
0.0029,descent,0.4486,14.1504,24.6973,-16.4880,-5.4960,0.007128,0.022016,0.084981,0.000019,0.0903,5
0.0040,descent,0.4486,14.1504,24.6973,-16.4880,-5.4960,0.007128,0.022016,0.084981,0.000019,0.0903,5
0.0051,descent,0.4486,14.1504,24.6973,-16.4880,-5.4960,0.007128,0.022016,0.084983,0.000017,0.0903,5
0.0062,descent,0.4486,14.1504,24.6973,-15.1140,-5.4960,0.007114,0.022016,0.084983,0.000017,0.0903,5
0.0073,descent,0.4486,14.1504,24.6973,-15.1140,-5.4960,0.007114,0.022016,0.085003,-0.000003,0.0903,5
0.0085,descent,0.4486,14.0625,24.6973,-15.1140,-5.4960,0.007140,0.022014,0.085003,-0.000003,0.0903,5
0.0095,descent,0.4486,14.0625,24.6973,-15.1140,-5.4960,0.007140,0.022014,0.085001,-0.000001,0.0903,5
0.0106,descent,0.4486,14.0625,24.6973,-15.1140,-4.1220,0.007140,0.022588,0.085001,-0.000001,0.0903,5
0.0118,descent,0.4486,14.0625,24.6973,-15.1140,-4.1220,0.007140,0.022588,0.084993,0.000007,0.0903,5
0.0129,descent,0.4486,14.0625,24.6973,-13.7400,-4.1220,0.007125,0.022588,0.084996,0.000004,0.0903,5
0.0140,descent,0.4486,14.0625,24.6973,-13.7400,-4.1220,0.007125,0.022588,0.084996,0.000004,0.0903,5
0.0151,descent,0.4486,14.0625,24.6973,-13.7400,-2.7480,0.007125,0.037422,0.084979,0.000021,0.0903,5
0.0162,descent,0.4486,14.0625,24.6973,-13.7400,-2.7480,0.007125,0.037422,0.084979,0.000021,0.0903,5
0.0173,descent,0.4486,13.9746,24.6973,-13.7400,-2.7480,0.007151,0.037419,0.084991,0.000009,0.0903,5
0.0185,descent,0.4486,13.9746,24.6973,-13.7400,-2.7480,0.007151,0.037419,0.084991,0.000009,0.0903,5
0.0195,descent,0.4486,13.9746,24.6973,-13.7400,-2.7480,0.007151,0.037419,0.084981,0.000019,0.0903,5
0.0206,descent,0.4486,13.9746,24.6973,-13.7400,-2.7480,0.007151,0.037419,0.084981,0.000019,0.0903,5
0.0217,descent,0.4486,13.9746,24.6973,-12.3660,-1.3740,0.007137,0.127407,0.084997,0.000003,0.0903,5
0.0229,descent,0.4486,13.9746,24.6973,-12.3660,-1.3740,0.007137,0.127407,0.084982,0.000018,0.0903,5
0.0240,descent,0.4486,13.9746,24.6973,-12.3660,-1.3740,0.007137,0.127407,0.084982,0.000018,0.0903,5
0.0251,descent,0.4486,13.8867,24.6973,-12.3660,-1.3740,0.007162,0.127404,0.084976,0.000024,0.0903,5
0.0262,descent,0.4486,13.8867,24.6973,-12.3660,0.0000,0.007162,0.221783,0.084976,0.000024,0.0903,5
0.0273,descent,0.4486,13.8867,24.6973,-12.3660,0.0000,0.007162,0.221783,0.084979,0.000021,0.0903,5
0.0284,descent,0.4486,13.8867,24.6973,-12.3660,0.0000,0.007162,0.221783,0.084979,0.000021,0.0903,5
0.0295,descent,0.4486,13.8867,24.6973,-12.3660,0.0000,0.007162,0.221783,0.084993,0.000007,0.0903,5
0.0306,descent,0.4486,13.8867,24.6973,-10.9920,0.0000,0.007148,0.221783,0.084979,0.000021,0.0903,5
0.0317,descent,0.4486,13.8867,24.6973,-10.9920,0.0000,0.007148,0.221783,0.084979,0.000021,0.0903,5
0.0329,descent,0.4486,13.8867,24.6973,-10.9920,0.0000,0.007148,0.221783,0.084968,0.000032,0.0903,5
0.0340,descent,0.4486,13.8867,24.6973,-10.9920,0.0000,0.007148,0.221783,0.084968,0.000032,0.0903,5
0.0351,descent,0.4486,13.8867,24.6973,-9.6180,0.0000,0.007134,0.221783,0.084973,0.000027,0.0903,5
0.0362,descent,0.4486,13.8867,24.7852,-9.6180,1.3740,0.007136,0.127196,0.084973,0.000027,0.0903,5
0.0373,descent,0.4486,13.8867,24.7852,-9.6180,1.3740,0.007136,0.127196,0.084965,0.000035,0.0903,5
0.0384,descent,0.4486,13.8867,24.8730,-9.6180,1.3740,0.007139,0.127097,0.084965,0.000035,0.0903,5
0.0396,descent,0.4486,13.7988,24.9609,-8.2440,4.1220,0.007153,0.021956,0.084980,0.000020,0.0903,5
0.0406,descent,0.4486,13.7988,24.9609,-8.2440,4.1220,0.007153,0.021956,0.084980,0.000020,0.0903,5
0.0418,descent,0.4486,13.7988,25.1367,-8.2440,5.4960,0.007159,0.021075,0.084981,0.000019,0.0903,5
0.0429,descent,0.4486,13.7988,25.2246,-8.2440,6.8700,0.007161,0.020915,0.084961,0.000039,0.0903,5
0.0440,descent,0.4486,13.7988,25.3125,-8.2440,9.6180,0.007164,0.020707,0.084961,0.000039,0.0903,5
0.0451,descent,0.4486,13.7988,25.4004,-8.2440,10.9920,0.007167,0.020553,0.084976,0.000024,0.0903,5
0.0462,descent,0.4486,13.7988,25.4883,-8.2440,13.7400,0.007170,0.020346,0.084976,0.000024,0.0903,5
0.0473,descent,0.4486,13.7988,25.6641,-8.2440,16.4880,0.007175,0.020039,0.084959,0.000041,0.0903,5
0.0484,descent,0.4486,13.7988,25.7520,-8.2440,17.8620,0.007178,0.019886,0.084959,0.000041,0.0903,5
0.0495,descent,0.4486,13.7988,26.0156,-6.8700,21.9840,0.007172,0.019426,0.084964,0.000036,0.0903,5
0.0506,descent,0.4486,13.7988,26.1914,-6.8700,27.4800,0.007177,0.019010,0.084964,0.000036,0.0903,5
0.0517,descent,0.4486,13.7988,26.2793,-6.8700,31.6020,0.007180,0.018748,0.084940,0.000060,0.0903,5
0.0529,descent,0.4486,13.7988,26.3672,-5.4960,34.3500,0.007176,0.018541,0.084952,0.000048,0.0903,5
0.0540,descent,0.4486,13.7988,26.5430,-5.4960,37.0980,0.007181,0.018234,0.084952,0.000048,0.0903,5
0.0551,descent,0.4486,13.7988,26.6309,-5.4960,41.2200,0.007184,0.017972,0.084945,0.000055,0.0903,5
0.0562,descent,0.4486,13.7988,26.8066,-5.4960,45.3420,0.007190,0.017611,0.084945,0.000055,0.0903,5
0.0573,descent,0.4486,13.7988,26.8945,-5.4960,48.0900,0.007193,0.017404,0.084953,0.000047,0.0903,5
0.0584,descent,0.4486,13.7988,27.0703,-4.1220,52.2120,0.007813,0.017043,0.084953,0.000047,0.0903,5
0.0595,descent,0.4486,13.7988,27.2461,-4.1220,56.3340,0.007819,0.016683,0.084944,0.000056,0.0903,5
0.0606,descent,0.4486,13.7988,27.4219,-4.1220,63.2040,0.007824,0.016213,0.084944,0.000056,0.0903,5
0.0618,descent,0.4486,13.7988,27.5098,-2.7480,67.3260,0.022701,0.015951,0.084929,0.000071,0.0903,5
0.0629,descent,0.4486,13.7988,27.5977,-2.7480,70.0740,0.022704,0.015744,0.084935,0.000065,0.0903,5
