Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.0012,0.0000,0.0000,0.0392,-0.0541
0.0023,0.0000,0.0000,0.0000,-0.0541
0.0035,0.0000,0.0000,0.0392,0.0000
0.0046,0.0000,0.0000,0.0392,-0.0541
0.0057,0.0000,0.0000,0.0392,-0.0541
0.0068,0.0000,0.0000,0.0392,-0.0541
0.0079,0.0000,0.0000,0.0000,-0.0541
0.0090,0.0000,0.0000,0.0000,-0.0541
0.0101,0.0000,0.0000,0.0392,-0.0541
0.0112,0.0000,0.0000,0.0000,-0.0541
0.0123,0.0000,0.0000,0.0000,-0.0541
0.0134,0.0000,0.0000,0.0000,0.0000
0.0145,0.0000,0.0000,0.0392,-0.0541
0.0156,0.0000,0.0000,0.0392,-0.0541
0.0168,0.0000,0.0000,0.0000,-0.0541
0.0179,0.0000,0.0000,0.0000,0.0000
0.0190,0.0000,0.0000,0.0392,0.0000
0.0201,0.0000,0.0000,0.0392,-0.0541
0.0212,0.0000,0.0000,0.0392,-0.0541
0.0223,0.0000,0.0000,0.0392,-0.0541
0.0234,0.0000,0.0000,0.0392,-0.0541
0.0245,0.0000,0.0000,0.0392,-0.0541
0.0256,0.0000,0.0000,0.0392,-0.0541
0.0269,0.0000,0.0000,0.0000,-0.0541
0.0279,0.0000,0.0000,0.0000,-0.0541
0.0290,0.0000,0.0000,0.0000,-0.0541
0.0301,0.0000,0.0000,0.0000,-0.0541
0.0312,0.0000,0.0000,0.0392,-0.0541
0.0323,0.0000,0.0000,0.0392,-0.0541
0.0334,0.0000,0.0000,0.0392,-0.0541
0.0345,0.0000,0.0000,0.0392,-0.0541
0.0356,0.0000,0.0000,0.0392,-0.0541
0.0368,0.0000,0.0000,0.0392,-0.0541
0.0379,0.0000,0.0000,0.0000,-0.0541
0.0390,0.0000,0.0000,0.0000,-0.0541
0.0401,0.0000,0.0000,0.0000,-0.0541
0.0412,0.0000,0.0000,0.0000,-0.0541
0.0423,0.0000,0.0000,0.0000,-0.0541
0.0434,0.0000,0.0000,0.0000,-0.0541
0.0445,0.0000,0.0000,0.0392,-0.0541
0.0456,0.0000,0.0000,0.0392,-0.0541
0.0468,0.0000,0.0000,0.0000,-0.0541
0.0479,0.0000,0.0000,0.0392,-0.0541
0.0490,0.0000,0.0000,0.0392,-0.0541
0.0501,0.0000,0.0000,0.0000,0.0000
0.0512,0.0000,0.0000,0.0000,0.0000
0.0523,0.0000,0.0000,0.0000,-0.0541
0.0534,0.0000,0.0000,0.0392,-0.0541
0.0545,0.0000,0.0000,0.0392,-0.0541
0.0556,0.0000,0.0000,0.0392,-0.0541
0.0568,0.0000,0.0000,0.0392,-0.0541
0.0579,0.0000,0.0000,0.0392,-0.0541
0.0590,0.0000,0.0000,0.0392,-0.0541
0.0601,0.0000,0.0000,0.0392,-0.0541
0.0612,0.0000,0.0000,0.0000,-0.0541
0.0623,0.0000,0.0000,0.0392,-0.0541
0.0634,0.0000,0.0000,0.0392,-0.0541
0.0645,0.0000,0.0000,0.0000,-0.0541
0.0656,0.0000,0.0000,0.0000,-0.0541
0.0668,0.0000,0.0000,0.0392,-0.0541
0.0679,0.0000,0.0000,0.0000,-0.0541
0.0690,0.0000,0.0000,0.0000,-0.0541
0.0700,0.0000,0.0000,0.0392,-0.0541
0.0712,0.0000,0.0000,0.0392,-0.0541
0.0723,0.0000,0.0000,0.0000,-0.0541
0.0734,0.0000,0.0000,0.0000,-0.0541
0.0745,0.0000,0.0000,0.0392,-0.0541
0.0756,0.0000,0.0000,0.0392,-0.0541
0.0768,0.0000,0.0000,0.0392,-0.0541
0.0779,0.0000,0.0000,0.0392,-0.0541
0.0790,0.0000,0.0000,0.0000,0.0000
0.0801,0.0000,0.0000,0.0000,-0.0541
0.0812,0.0000,0.0000,0.0000,-0.0541
0.0823,0.0000,0.0000,0.0392,-0.0541
0.0834,0.0000,0.0000,0.0000,-0.0541
0.0845,0.0000,0.0000,0.0000,-0.0541
0.0856,0.0000,0.0000,0.0392,-0.0541
0.0868,0.0000,0.0000,0.0392,-0.0541
0.0879,0.0000,0.0000,0.0392,-0.0541
0.0890,0.0000,0.0000,0.0392,-0.0541
0.0900,0.0000,0.0000,0.0000,-0.0541
0.0912,0.0000,0.0000,0.0000,-0.0541
0.0923,0.0000,0.0000,0.0000,-0.0541
0.0934,0.0000,0.0000,0.0000,-0.0541
0.0945,0.0000,0.0000,0.0000,-0.0541
0.0957,0.0000,0.0000,0.0392,-0.0541
0.0968,0.0000,0.0000,0.0392,-0.0541
0.0979,0.0000,0.0000,0.0392,-0.0541
0.0990,0.0000,0.0000,0.0000,-0.0541
0.1001,0.0000,0.0000,0.0000,-0.0541
0.1012,0.0000,0.0000,0.0000,-0.0541
0.1023,0.0000,0.0000,0.0392,-0.0541
0.1034,0.0000,0.0000,0.0000,-0.0541
0.1045,0.0000,0.0000,0.0000,-0.0541
0.1056,0.0000,0.0000,0.0392,-0.0541
