Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.0013,0.0000,0.0000,0.0000,0.0000
0.0023,0.0000,0.0000,0.0000,0.0000
0.0035,0.0000,0.0000,0.0000,0.0000
0.0047,0.0000,0.0000,0.0000,0.0000
0.0058,0.0000,0.0000,0.0000,0.0000
0.0069,0.0000,0.0000,0.0000,0.0000
0.0079,0.0000,0.0000,0.0000,0.0000
0.0093,0.0000,0.0000,0.0000,0.0000
0.0101,0.0000,0.0000,0.0000,0.0000
0.0113,0.0000,0.0000,0.0000,0.0000
0.0124,0.0000,0.0000,0.0000,0.0000
0.0135,0.0000,0.0000,0.0000,0.0000
0.0146,0.0000,0.0000,0.0000,-0.0541
0.0157,0.0000,0.0000,0.0000,-0.0541
0.0168,0.0000,0.0000,-0.0392,-0.0541
0.0182,0.0000,0.0000,-0.0392,-0.0541
0.0190,0.0000,0.0000,-0.0784,-0.1081
0.0203,0.0000,0.0000,-0.0784,-0.1081
0.0212,0.0000,0.0000,-0.1176,-0.1622
0.0223,0.0000,0.0000,-0.1176,-0.2162
0.0234,0.0000,0.0000,-0.1568,-0.2162
0.0245,0.0000,0.0000,-0.1960,-0.2703
0.0257,0.0000,0.0000,-0.2352,-0.3243
0.0268,0.0000,0.0000,-0.2352,-0.3784
0.0280,0.0000,0.0000,-0.3136,-0.4324
0.0290,0.0000,0.0000,-0.3528,-0.4324
0.0301,0.0000,0.0000,-0.3920,-0.4865
0.0312,0.0000,0.0000,-0.3920,-0.4865
0.0323,0.0000,0.0000,-0.4312,-0.4865
0.0334,0.0000,0.0000,-0.5488,-0.5405
0.0345,0.0000,0.0000,-0.5880,-0.5405
0.0357,0.0000,0.0000,-0.6272,-0.5405
0.0368,0.0000,0.0000,-0.6664,-0.5946
0.0380,0.0000,0.0000,-0.7448,-0.5946
0.0393,0.0000,0.0000,-0.7840,-0.5946
0.0401,0.0000,0.0000,-0.8232,-0.6486
0.0412,0.0000,0.0000,-0.8624,-0.6486
0.0424,0.0000,0.0000,-0.9016,-0.6486
0.0435,0.0000,0.0000,-0.9016,-0.6486
0.0447,0.0000,0.0000,-0.9408,-0.6486
0.0457,0.0000,0.0000,-0.9800,-0.7027
0.0468,0.0000,0.0000,-1.0192,-0.7027
0.0480,0.0000,0.0000,-1.0584,-0.7027
0.0493,0.0000,0.0000,-1.0976,-0.7027
0.0501,0.0000,0.0000,-1.1760,-0.7567
0.0513,0.0000,0.0000,-1.1760,-0.7567
0.0524,0.0000,0.0000,-1.2152,-0.7567
0.0535,0.0000,0.0000,-1.2152,-0.7567
0.0547,0.0000,0.0000,-1.2544,-0.7567
0.0557,0.0000,0.0000,-1.2544,-0.7567
0.0569,0.0000,0.0000,-1.2936,-0.7567
0.0580,0.0000,0.0000,-1.2936,-0.7567
0.0593,0.0000,0.0000,-1.3328,-0.7567
0.0601,0.0000,0.0000,-1.3328,-0.7567
0.0612,0.0000,0.0000,-1.3328,-0.7567
0.0624,0.0000,0.0000,-1.3720,-0.7567
0.0635,0.0000,0.0000,-1.3720,-0.7567
0.0647,0.0000,0.0000,-1.3720,-0.7567
0.0657,0.0000,0.0000,-1.3720,-0.7567
0.0668,0.0000,0.0000,-1.3720,-0.7567
0.0683,0.0000,0.0000,-1.4112,-0.7027
0.0689,0.0000,0.0000,-1.4112,-0.7027
0.0703,0.0000,0.0000,-1.4112,-0.7027
0.0712,0.0000,0.0000,-1.4112,-0.7027
0.0724,0.0000,0.0000,-1.4112,-0.7027
0.0735,0.0000,0.0000,-1.4112,-0.7027
0.0747,0.0000,0.0000,-1.4112,-0.6486
0.0757,0.0000,0.0000,-1.4112,-0.6486
0.0768,0.0000,0.0000,-1.4112,-0.6486
0.0779,0.0000,0.0000,-1.4112,-0.6486
0.0790,0.0000,0.0000,-1.4112,-0.5946
0.0803,0.0000,0.0000,-1.4112,-0.5946
0.0812,0.0000,0.0000,-1.3720,-0.5946
0.0824,0.0000,0.0000,-1.3720,-0.5946
0.0835,0.0000,0.0000,-1.3720,-0.5946
0.0847,0.0000,0.0000,-1.3720,-0.5405
0.0857,0.0000,0.0000,-1.3720,-0.5405
0.0868,0.0000,0.0000,-1.3720,-0.5405
0.0879,0.0000,0.0000,-1.3720,-0.4865
0.0890,0.0000,0.0000,-1.3720,-0.4865
0.0903,0.0000,0.0000,-1.3328,-0.4324
0.0912,0.0000,0.0000,-1.3328,-0.4324
0.0924,0.0000,0.0000,-1.3328,-0.3784
0.0935,0.0000,0.0000,-1.3328,-0.3784
0.0947,0.0000,0.0000,-1.3328,-0.3243
0.0957,0.0000,0.0000,-1.3328,-0.3243
0.0968,0.0000,0.0000,-1.3328,-0.2703
0.0979,0.0000,0.0000,-1.2936,-0.2162
0.0990,0.0000,0.0000,-1.2936,-0.1622
0.1003,0.0000,0.0000,-1.2936,-0.1081
0.1012,0.0000,0.0000,-1.2936,-0.1081
0.1024,0.0000,0.0000,-1.2936,-0.0541
0.1035,0.0000,0.0000,-1.2936,-0.0541
0.1047,0.0000,0.0000,-1.2544,0.0000
0.1057,0.0000,0.0000,-1.2544,0.0000
0.1068,0.0000,0.0000,-1.2544,0.0541
0.1079,0.0000,0.0000,-1.2544,0.1081
0.1090,0.0000,0.0000,-1.2152,0.1622
0.1103,0.0000,0.0000,-1.2152,0.1622
0.1112,0.0000,0.0000,-1.2152,0.2162
0.1124,0.0000,0.0000,-1.2152,0.2162
0.1135,0.0000,0.0000,-1.1760,0.2703
0.1147,0.0000,0.0000,-1.1760,0.2703
0.1157,0.0000,0.0000,-1.0976,0.3243
0.1169,0.0000,0.0000,-1.0976,0.3784
0.1179,0.0000,0.0000,-1.0584,0.3784
0.1193,0.0000,0.0000,-1.0584,0.4324
0.1201,0.0000,0.0000,-1.0192,0.4324
0.1212,0.0000,0.0000,-1.0192,0.4865
0.1224,0.0000,0.0000,-1.0192,0.4865
0.1235,0.0000,0.0000,-1.0192,0.5405
0.1246,0.0000,0.0000,-0.9800,0.5405
0.1257,0.0000,0.0000,-0.9800,0.5946
0.1269,0.0000,0.0000,-0.9800,0.5946
0.1278,0.0000,0.0000,-0.9408,0.5946
0.1293,0.0000,0.0000,-0.9408,0.6486
0.1301,0.0000,0.0000,-0.9016,0.7027
0.1314,0.0000,0.0000,-0.9016,0.7027
0.1324,0.0000,0.0000,-0.9016,0.7567
0.1335,0.0000,0.0000,-0.9016,0.7567
0.1347,0.0000,0.0000,-0.8624,0.7567
0.1357,0.0000,0.0000,-0.8624,0.8108
0.1368,0.0000,0.0000,-0.8624,0.8108
0.1379,0.0000,0.0000,-0.8624,0.8108
0.1390,0.0000,0.0000,-0.8624,0.8108
0.1401,0.0000,0.0000,-0.8232,0.8649
0.1412,0.0000,0.0000,-0.8232,0.8649
0.1423,0.0000,0.0000,-0.8232,0.8649
0.1434,0.0000,0.0000,-0.8232,0.8649
0.1446,0.0000,0.0000,-0.8232,0.8649
0.1457,0.0000,0.0000,-0.7840,0.8649
0.1468,0.0000,0.0000,-0.7840,0.9189
0.1479,0.0000,0.0000,-0.7840,0.9189
0.1491,0.0000,0.0000,-0.7840,0.9189
0.1501,0.0000,0.0000,-0.7448,0.9189
0.1512,0.0000,0.0000,-0.7448,0.9189
0.1524,0.0000,0.0000,-0.7448,0.9189
0.1535,0.0000,0.0000,-0.7448,0.9189
0.1547,0.0000,0.0000,-0.7056,0.9189
0.1557,0.0000,0.0000,-0.7056,0.9189
0.1567,0.0000,0.0000,-0.7056,0.9189
0.1579,0.0000,0.0000,-0.7056,0.9189
0.1590,0.0000,0.0000,-0.6664,0.9189
0.1602,0.0000,0.0000,-0.6664,0.9189
0.1612,0.0000,0.0000,-0.6664,0.9189
0.1624,0.0000,0.0000,-0.6664,0.8649
0.1635,0.0000,0.0000,-0.6664,0.8649
0.1646,0.0000,0.0000,-0.6664,0.8649
0.1657,0.0000,0.0000,-0.6272,0.8649
0.1669,0.0000,0.0000,-0.6272,0.8649
0.1680,0.0000,0.0000,-0.6272,0.8649
0.1692,0.0000,0.0000,-0.6272,0.8649
0.1701,0.0000,0.0000,-0.6272,0.8649
0.1713,0.0000,0.0000,-0.5880,0.8108
0.1724,0.0000,0.0000,-0.5880,0.8108
0.1735,0.0000,0.0000,-0.5880,0.8108
0.1746,0.0000,0.0000,-0.5880,0.8108
0.1757,0.0000,0.0000,-0.5880,0.8108
0.1768,0.0000,0.0000,-0.5880,0.8108
0.1780,0.0000,0.0000,-0.5880,0.8108
0.1793,0.0000,0.0000,-0.5880,0.8108
0.1801,0.0000,0.0000,-0.5880,0.8108
0.1812,0.0000,0.0000,-0.5488,0.7567
0.1824,0.0000,0.0000,-0.5488,0.7567
0.1835,0.0000,0.0000,-0.5488,0.7567
0.1847,0.0000,0.0000,-0.5488,0.7567
0.1857,0.0000,0.0000,-0.5488,0.7567
0.1868,0.0000,0.0000,-0.5488,0.7567
0.1883,0.0000,0.0000,-0.5488,0.7027
0.1889,0.0000,0.0000,-0.5488,0.7027
0.1903,0.0000,0.0000,-0.5488,0.7027
0.1912,0.0000,0.0000,-0.5488,0.7027
0.1924,0.0000,0.0000,-0.5488,0.6486
0.1935,0.0000,0.0000,-0.5488,0.6486
0.1947,0.0000,0.0000,-0.5488,0.5946
0.1957,0.0000,0.0000,-0.5488,0.5946
0.1969,0.0000,0.0000,-0.5488,0.5405
0.1980,0.0000,0.0000,-0.5488,0.5405
0.1993,0.0000,0.0000,-0.5488,0.4865
0.2001,0.0000,0.0000,-0.5488,0.4865
0.2013,0.0000,0.0000,-0.5488,0.4324
0.2024,0.0000,0.0000,-0.5488,0.4324
0.2035,0.0000,0.0000,-0.5488,0.3784
0.2047,0.0000,0.0000,-0.5488,0.3784
0.2057,0.0000,0.0000,-0.5488,0.3784
