Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.0013,0.0000,0.0000,0.0000,0.0000
0.0023,0.0000,0.0000,0.0000,0.0000
0.0035,0.0000,0.0000,0.0000,0.0000
0.0046,0.0000,0.0000,0.0000,0.0000
0.0057,0.0000,0.0000,0.0000,0.0000
0.0068,0.0000,0.0000,0.0000,0.0000
0.0079,0.0000,0.0000,0.0000,0.0000
0.0090,0.0000,0.0000,0.0000,0.0000
0.0102,0.0000,0.0000,0.0000,0.0000
0.0113,0.0000,0.0000,0.0000,0.0000
0.0125,0.0000,0.0000,0.0000,0.0000
0.0135,0.0000,0.0000,0.0000,0.0000
0.0146,0.0000,0.0000,0.0000,0.0000
0.0158,0.0000,0.0000,0.0000,0.0000
0.0168,0.0000,0.0000,0.0000,0.0000
0.0179,0.0000,0.0000,0.0000,0.0000
0.0190,0.0000,0.0000,0.0000,0.0000
0.0201,0.0000,0.0000,0.0000,0.0000
0.0212,0.0000,0.0000,0.0000,0.0000
0.0223,0.0000,0.0000,0.0000,0.0000
0.0234,0.0000,0.0000,0.0000,0.0000
0.0246,0.0000,0.0000,0.0000,0.0000
0.0258,0.0000,0.0000,0.0000,0.0000
0.0268,0.0000,0.0000,0.0000,0.0000
0.0279,0.0000,0.0000,0.0000,0.0000
0.0290,0.0000,0.0000,0.0000,0.0000
0.0301,0.0000,0.0000,0.0000,0.0000
0.0312,0.0000,0.0000,0.0000,0.0000
0.0323,0.0000,0.0000,0.0000,0.0000
0.0335,0.0000,0.0000,0.0000,0.0000
0.0346,0.0000,0.0000,0.0000,0.0000
0.0358,0.0000,0.0000,0.0000,0.0000
0.0368,0.0000,0.0000,0.0000,0.0000
0.0379,0.0000,0.0000,0.0000,0.0000
0.0390,0.0000,0.0000,0.0000,0.0000
0.0401,0.0000,0.0000,0.0000,0.0000
0.0412,0.0000,0.0000,0.0000,0.0000
0.0423,0.0000,0.0000,0.0000,0.0000
0.0434,0.0000,0.0000,0.0000,0.0000
0.0446,0.0000,0.0000,0.0000,0.0000
0.0458,0.0000,0.0000,0.0000,0.0000
0.0467,0.0000,0.0000,0.0000,0.0000
0.0479,0.0000,0.0000,0.0000,0.0000
0.0490,0.0000,0.0000,0.0000,0.0000
0.0501,0.0000,0.0000,0.0000,0.0000
0.0512,0.0000,0.0000,0.0000,0.0000
0.0523,0.0000,0.0000,0.0000,0.0000
0.0534,0.0000,0.0000,0.0000,0.0000
0.0546,0.0000,0.0000,0.0000,0.0000
0.0558,0.0000,0.0000,0.0000,0.0000
0.0568,0.0000,0.0000,0.0000,0.0000
0.0579,0.0000,0.0000,0.0000,0.0000
0.0590,0.0000,0.0000,0.0000,0.0000
0.0601,0.0000,0.0000,0.0000,0.0000
0.0612,0.0000,0.0000,0.0000,0.0000
0.0623,0.0000,0.0000,0.0000,0.0000
0.0634,0.0000,0.0000,0.0000,0.0000
0.0646,0.0000,0.0000,0.0000,0.0000
0.0658,0.0000,0.0000,0.0000,0.0000
0.0668,0.0000,0.0000,0.0000,0.0000
0.0679,0.0000,0.0000,0.0000,0.0000
0.0690,0.0000,0.0000,0.0000,0.0000
0.0701,0.0000,0.0000,0.0000,0.0000
0.0712,0.0000,0.0000,0.0000,0.0000
0.0723,0.0000,0.0000,0.0000,0.0000
0.0735,0.0000,0.0000,0.0000,0.0000
0.0746,0.0000,0.0000,0.0000,0.0000
0.0759,0.0000,0.0000,0.0000,0.0000
0.0769,0.0000,0.0000,0.0000,0.0000
0.0779,0.0000,0.0000,0.0000,0.0000
0.0790,0.0000,0.0000,0.0000,0.0000
0.0801,0.0000,0.0000,0.0000,0.0000
0.0812,0.0000,0.0000,0.0000,0.0000
0.0823,0.0000,0.0000,0.0000,0.0000
0.0834,0.0000,0.0000,0.0000,0.0000
0.0846,0.0000,0.0000,0.0000,0.0000
0.0858,0.0000,0.0000,0.0000,0.0000
0.0868,0.0000,0.0000,0.0000,0.0000
0.0879,0.0000,0.0000,0.0000,0.0000
0.0890,0.0000,0.0000,0.0000,0.0000
0.0901,0.0000,0.0000,0.0000,0.0000
0.0912,0.0000,0.0000,0.0000,0.0000
0.0923,0.0000,0.0000,0.0000,0.0000
0.0934,0.0000,0.0000,0.0000,0.0000
0.0945,0.0000,0.0000,0.0000,0.0000
0.0957,0.0000,0.0000,0.0000,0.0000
0.0967,0.0000,0.0000,0.0000,0.0000
0.0979,0.0000,0.0000,0.0000,0.0000
0.0990,0.0000,0.0000,0.0000,0.0000
0.1001,0.0000,0.0000,0.0000,0.0000
0.1012,0.0000,0.0000,0.0000,0.0000
0.1023,0.0000,0.0000,0.0000,0.0000
0.1034,0.0000,0.0000,0.0000,0.0000
0.1046,0.0000,0.0000,0.0000,0.0000
0.1058,0.0000,0.0000,0.0000,0.0000
0.1068,0.0000,0.0000,0.0000,0.0000
0.1079,0.0000,0.0000,0.0000,0.0000
0.1090,0.0000,0.0000,0.0000,0.0000
0.1101,0.0000,0.0000,0.0000,0.0000
0.1112,0.0000,0.0000,0.0000,0.0000
0.1123,0.0000,0.0000,0.0000,0.0000
0.1134,0.0000,0.0000,0.0000,0.0000
0.1146,0.0000,0.0000,0.0000,0.0000
0.1158,0.0000,0.0000,0.0000,0.0000
0.1168,0.0000,0.0000,0.0000,0.0000
0.1179,0.0000,0.0000,0.0000,0.0000
0.1190,0.0000,0.0000,0.0000,0.0000
0.1201,0.0000,0.0000,0.0000,0.0000
0.1212,0.0000,0.0000,0.0000,0.0000
0.1223,0.0000,0.0000,0.0000,0.0000
0.1235,0.0000,0.0000,0.0000,0.0000
0.1246,0.0000,0.0000,0.0000,0.0000
0.1257,0.0000,0.0000,0.0000,0.0000
0.1268,0.0000,0.0000,0.0000,0.0000
0.1279,0.0000,0.0000,0.0000,0.0000
0.1290,0.0000,0.0000,0.0000,0.0000
0.1301,0.0000,0.0000,0.0000,0.0000
0.1312,0.0000,0.0000,0.0000,0.0000
0.1323,0.0000,0.0000,0.0000,0.0000
0.1334,0.0000,0.0000,0.0000,0.0000
0.1346,0.0000,0.0000,0.0000,0.0000
0.1358,0.0000,0.0000,0.0000,0.0000
0.1368,0.0000,0.0000,0.0000,0.0000
0.1379,0.0000,0.0000,0.0000,0.0000
0.1390,0.0000,0.0000,0.0000,0.0000
0.1401,0.0000,0.0000,0.0000,0.0000
0.1412,0.0000,0.0000,0.0000,0.0000
0.1423,0.0000,0.0000,0.0000,0.0000
0.1434,0.0000,0.0000,0.0000,0.0000
0.1446,0.0000,0.0000,0.0000,0.0000
0.1457,0.0000,0.0000,0.0000,0.0000
0.1467,0.0000,0.0000,0.0000,0.0000
0.1479,0.0000,0.0000,0.0000,0.0000
0.1490,0.0000,0.0000,0.0000,0.0000
0.1501,0.0000,0.0000,0.0000,0.0000
0.1512,0.0000,0.0000,0.0000,0.0000
0.1523,0.0000,0.0000,0.0000,0.0000
0.1534,0.0000,0.0000,0.0000,0.0000
0.1545,0.0000,0.0000,0.0000,0.0000
0.1557,0.0000,0.0000,0.0000,0.0000
0.1567,0.0000,0.0000,0.0000,0.0000
0.1579,0.0000,0.0000,0.0000,0.0000
0.1590,0.0000,0.0000,0.0000,0.0000
0.1601,0.0000,0.0000,0.0000,0.0000
0.1612,0.0000,0.0000,0.0000,0.0000
0.1623,0.0000,0.0000,0.0000,0.0000
0.1634,0.0000,0.0000,0.0000,0.0000
0.1645,0.0000,0.0000,0.0000,0.0000
0.1658,0.0000,0.0000,0.0000,0.0000
0.1667,0.0000,0.0000,0.0000,0.0000
0.1679,0.0000,0.0000,0.0000,0.0000
0.1690,0.0000,0.0000,0.0000,0.0000
0.1701,0.0000,0.0000,0.0000,0.0000
0.1712,0.0000,0.0000,0.0000,0.0000
0.1723,0.0000,0.0000,0.0000,0.0000
0.1735,0.0000,0.0000,0.0000,0.0000
0.1746,0.0000,0.0000,0.0000,0.0000
0.1757,0.0000,0.0000,0.0000,0.0000
0.1768,0.0000,0.0000,0.0000,0.0000
0.1779,0.0000,0.0000,0.0000,0.0000
0.1790,0.0000,0.0000,0.0000,0.0000
0.1801,0.0000,0.0000,0.0000,0.0000
0.1812,0.0000,0.0000,0.0000,0.0000
0.1823,0.0000,0.0000,0.0000,0.0000
0.1834,0.0000,0.0000,0.0000,0.0000
0.1846,0.0000,0.0000,0.0000,0.0000
0.1858,0.0000,0.0000,0.0000,0.0000
0.1868,0.0000,0.0000,0.0000,0.0000
0.1879,0.0000,0.0000,0.0000,0.0000
0.1890,0.0000,0.0000,0.0000,0.0000
0.1901,0.0000,0.0000,0.0000,0.0000
0.1912,0.0000,0.0000,0.0000,0.0000
0.1923,0.0000,0.0000,0.0000,0.0000
0.1934,0.0000,0.0000,0.0000,0.0000
0.1946,0.0000,0.0000,0.0000,0.0000
0.1958,0.0000,0.0000,0.0000,0.0000
0.1967,0.0000,0.0000,0.0000,0.0000
0.1979,0.0000,0.0000,0.0000,0.0000
0.1990,0.0000,0.0000,0.0000,0.0000
0.2001,0.0000,0.0000,0.0000,0.0000
0.2012,0.0000,0.0000,0.0000,0.0000
0.2023,0.0000,0.0000,0.0000,0.0000
0.2034,0.0000,0.0000,0.0000,0.0000
0.2046,0.0000,0.0000,0.0000,0.0000
0.2057,0.0000,0.0000,0.0000,0.0000
0.2068,0.0000,0.0000,0.0000,0.0000
0.2079,0.0000,0.0000,0.0000,0.0000
0.2090,0.0000,0.0000,0.0000,0.0000
0.2101,0.0000,0.0000,0.0000,0.0000
0.2112,0.0000,0.0000,0.0000,0.0000
0.2123,0.0000,0.0000,0.0000,0.0000
0.2134,0.0000,0.0000,0.0000,0.0000
0.2146,0.0000,0.0000,0.0000,0.0000
0.2158,0.0000,0.0000,0.0000,0.0000
0.2167,0.0000,0.0000,0.0000,0.0000
