Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.0013,0.0000,0.0000,0.0000,0.0541
0.0023,0.0000,0.0000,0.0000,0.0000
0.0034,0.0000,0.0000,0.0000,0.0541
0.0045,0.0000,0.0000,0.0000,0.0000
0.0058,0.0000,0.0000,0.0000,0.0541
0.0068,0.0000,0.0000,0.0000,0.0541
0.0082,0.0000,0.0000,0.0000,0.0541
0.0090,0.0000,0.0000,0.0000,0.0000
0.0101,0.0000,0.0000,0.0000,0.0000
0.0113,0.0000,0.0000,0.0000,0.0000
0.0124,0.0000,0.0000,0.0000,0.0000
0.0135,0.0000,0.0000,0.0000,0.0000
0.0146,0.0000,0.0000,0.0000,0.0000
0.0157,0.0000,0.0000,0.0000,0.0000
0.0168,0.0000,0.0000,0.0000,0.0000
0.0181,0.0000,0.0000,0.0000,-0.0541
0.0189,0.0000,0.0000,-0.0392,-0.1081
0.0201,0.0000,0.0000,-0.0392,-0.1081
0.0213,0.0000,0.0000,-0.0784,-0.1622
0.0224,0.0000,0.0000,-0.1176,-0.1622
0.0234,0.0000,0.0000,-0.1176,-0.2162
0.0245,0.0000,0.0000,-0.1568,-0.2162
0.0257,0.0000,0.0000,-0.1568,-0.2703
0.0268,0.0000,0.0000,-0.1960,-0.3243
0.0279,0.0000,0.0000,-0.2744,-0.4324
0.0291,0.0000,0.0000,-0.3136,-0.4324
0.0303,0.0000,0.0000,-0.3136,-0.4324
0.0312,0.0000,0.0000,-0.3528,-0.4865
0.0323,0.0000,0.0000,-0.4312,-0.4865
0.0334,0.0000,0.0000,-0.5096,-0.5946
0.0345,0.0000,0.0000,-0.5488,-0.6486
0.0357,0.0000,0.0000,-0.6272,-0.6486
0.0367,0.0000,0.0000,-0.6664,-0.7027
0.0379,0.0000,0.0000,-0.7448,-0.8108
0.0390,0.0000,0.0000,-0.8232,-0.8108
0.0401,0.0000,0.0000,-0.8624,-0.8649
0.0412,0.0000,0.0000,-0.9016,-0.8649
0.0423,0.0000,0.0000,-0.9408,-0.9189
0.0434,0.0000,0.0000,-0.9800,-0.9730
0.0445,0.0000,0.0000,-1.0192,-0.9730
0.0457,0.0000,0.0000,-1.0976,-1.0270
0.0468,0.0000,0.0000,-1.1368,-1.0811
0.0479,0.0000,0.0000,-1.2152,-1.1351
0.0489,0.0000,0.0000,-1.2544,-1.1351
0.0501,0.0000,0.0000,-1.2936,-1.1892
0.0512,0.0000,0.0000,-1.3328,-1.1892
0.0524,0.0000,0.0000,-1.3720,-1.1892
0.0534,0.0000,0.0000,-1.4112,-1.2432
0.0545,0.0000,0.0000,-1.4504,-1.2432
0.0557,0.0000,0.0000,-1.4896,-1.2432
0.0568,0.0000,0.0000,-1.5288,-1.2973
0.0579,0.0000,0.0000,-1.6072,-1.2973
0.0589,0.0000,0.0000,-1.6072,-1.3513
0.0601,0.0000,0.0000,-1.6464,-1.3513
0.0612,0.0000,0.0000,-1.6856,-1.3513
