Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_displacement_m,Press_type,Angle_deg
0.0008,descent,1.3737,0.1576,89.2969,43.0664,-4.1220,13.7400,0.039159,0.031998,-0.000001,vertical,-30
0.0018,descent,1.3737,0.1576,89.2969,42.9785,-5.4960,12.3660,0.038732,0.032233,-0.000001,vertical,-30
0.0029,descent,1.3737,0.1576,89.2090,42.9785,-6.8700,8.2440,0.038988,0.032604,-0.000007,vertical,-30
0.0041,descent,1.3737,0.1576,89.2090,42.9785,-8.2440,5.4960,0.039065,0.032769,0.000001,vertical,-30
0.0052,descent,1.3737,0.1576,89.2090,42.8906,-9.6180,4.1220,0.039268,0.033634,0.000001,vertical,-30
0.0063,descent,1.3737,0.1576,89.1211,42.8906,-10.9920,1.3740,0.039514,0.138867,-0.000004,vertical,-30
0.0074,descent,1.3737,0.1576,89.1211,42.8906,-12.3660,0.0000,0.039572,0.233389,-0.000004,vertical,-30
0.0085,descent,1.3737,0.1576,89.1211,42.8906,-13.7400,-1.3740,0.039629,0.139044,0.000007,vertical,-30
0.0096,descent,1.3737,0.1576,89.1211,42.8027,-13.7400,-2.7480,0.039794,0.049221,0.000007,vertical,-30
0.0107,descent,1.3737,0.1576,89.1211,42.8027,-13.7400,-4.1220,0.039814,0.034402,-0.000003,vertical,-30
0.0118,descent,1.3737,0.1576,89.1211,42.8027,-13.7400,-5.4960,0.039833,0.033843,0.000017,vertical,-30
0.0134,descent,1.3737,0.1576,89.1211,42.8027,-15.1140,-6.8700,0.039891,0.033924,0.000017,vertical,-30
0.0142,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-8.2440,0.040056,0.034144,0.000019,vertical,-30
0.0153,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-9.6180,0.040075,0.034213,0.000019,vertical,-30
0.0164,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-10.9920,0.040095,0.034283,0.000025,vertical,-30
0.0175,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-12.3660,0.040114,0.034352,0.000025,vertical,-30
0.0186,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-12.3660,0.040114,0.034352,0.000022,vertical,-30
0.0197,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-12.3660,0.040114,0.034352,0.000022,vertical,-30
0.0207,descent,1.3737,0.1576,89.1211,42.7148,-15.1140,-12.3660,0.040114,0.034352,0.000001,vertical,-30
0.0219,descent,1.3737,0.1576,89.1211,42.7148,-13.7400,-12.3660,0.040075,0.034333,-0.000001,vertical,-30
0.0229,descent,1.3737,0.1576,89.1211,42.7148,-13.7400,-12.3660,0.040075,0.034333,-0.000001,vertical,-30
0.0241,descent,1.3737,0.1576,89.1211,42.7148,-13.7400,-12.3660,0.040075,0.034333,0.000008,vertical,-30
0.0252,descent,1.3737,0.1576,89.1211,42.7148,-12.3660,-12.3660,0.040036,0.034314,0.000008,vertical,-30
0.0263,descent,1.3737,0.1576,89.1211,42.7148,-12.3660,-12.3660,0.040036,0.034314,0.000016,vertical,-30
0.0275,descent,1.3737,0.1576,89.1211,42.6270,-10.9920,-12.3660,0.040144,0.034446,0.000016,vertical,-30
0.0285,descent,1.3737,0.1576,89.1211,42.6270,-10.9920,-12.3660,0.040144,0.034446,0.000018,vertical,-30
0.0301,descent,1.3737,0.1576,89.1211,42.7148,-10.9920,-12.3660,0.039997,0.034294,0.000024,vertical,-30
0.0307,descent,1.3737,0.1576,89.1211,42.7148,-9.6180,-12.3660,0.039958,0.034275,0.000024,vertical,-30
0.0318,descent,1.3737,0.1576,89.1211,42.7148,-9.6180,-12.3660,0.039958,0.034275,0.000020,vertical,-30
0.0331,descent,1.3737,0.1576,89.1211,42.7148,-8.2440,-10.9920,0.039900,0.034187,0.000020,vertical,-30
0.0341,descent,1.3737,0.1576,89.1211,42.7148,-6.8700,-10.9920,0.039861,0.034168,0.000024,vertical,-30
0.0352,descent,1.3737,0.1576,89.1211,42.6270,-6.8700,-10.9920,0.040008,0.034319,0.000024,vertical,-30
0.0363,descent,1.3737,0.1576,89.0332,42.7148,-6.8700,-9.6180,0.040011,0.034245,0.000013,vertical,-30
0.0374,descent,1.3737,0.1576,89.0332,42.6270,-6.8700,-9.6180,0.040158,0.034396,0.000013,vertical,-30
0.0385,descent,1.3737,0.1576,89.0332,42.6270,-5.4960,-9.6180,0.040127,0.034377,0.000015,vertical,-30
0.0396,descent,1.3737,0.1576,89.0332,42.7148,-5.4960,-8.2440,0.039961,0.034156,0.000015,vertical,-30
0.0407,descent,1.3737,0.1576,89.0332,42.7148,-4.1220,-8.2440,0.040550,0.034137,0.000022,vertical,-30
0.0418,descent,1.3737,0.1576,89.0332,42.7148,-4.1220,-6.8700,0.040531,0.034068,0.000032,vertical,-30
