Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_displacement_m,Press_type,Angle_deg
0.0008,descent,1.6209,-0.7013,96.5918,32.6074,-21.9840,-24.7320,0.046578,0.027027,0.000005,vertical,0
0.0016,descent,1.6209,-0.7013,96.5918,32.6074,-21.9840,-24.7320,0.046578,0.027027,0.000014,vertical,0
0.0027,descent,1.6209,-0.7013,96.5039,32.6074,-21.9840,-24.7320,0.046691,0.027123,0.000014,vertical,0
0.0038,descent,1.6209,-0.7013,96.5039,32.5195,-21.9840,-24.7320,0.046787,0.027277,0.000001,vertical,0
0.0049,descent,1.6209,-0.7013,96.4160,32.5195,-21.9840,-24.7320,0.046901,0.027373,0.000001,vertical,0
0.0060,descent,1.6209,-0.7013,96.4160,32.5195,-21.9840,-24.7320,0.046901,0.027373,-0.000003,vertical,0
0.0071,descent,1.6209,-0.7013,96.4160,32.4316,-21.9840,-24.7320,0.046998,0.027528,0.000013,vertical,0
0.0082,descent,1.6209,-0.7013,96.3281,32.4316,-21.9840,-24.7320,0.047111,0.027625,0.000013,vertical,0
0.0093,descent,1.6209,-0.7013,96.3281,32.4316,-21.9840,-24.7320,0.047111,0.027625,0.000006,vertical,0
0.0105,descent,1.6209,-0.7013,96.3281,32.4316,-21.9840,-23.3580,0.047106,0.027567,0.000006,vertical,0
0.0116,descent,1.6209,-0.7013,96.3281,32.3438,-21.9840,-23.3580,0.047203,0.027722,0.000004,vertical,0
0.0131,descent,1.6209,-0.7013,96.3281,32.3438,-20.6100,-23.3580,0.047179,0.027717,0.000004,vertical,0
0.0138,descent,1.6209,-0.7013,96.2402,32.3438,-20.6100,-23.3580,0.047293,0.027814,0.000012,vertical,0
0.0149,descent,1.6209,-0.7013,96.2402,32.2559,-20.6100,-23.3580,0.047391,0.027969,0.000012,vertical,0
0.0162,descent,1.6209,-0.7013,96.2402,32.2559,-20.6100,-23.3580,0.047391,0.027969,0.000002,vertical,0
0.0172,descent,1.6209,-0.7013,96.1523,32.2559,-21.9840,-23.3580,0.047530,0.028072,0.000012,vertical,0
0.0182,descent,1.6209,-0.7013,96.1523,32.2559,-21.9840,-21.9840,0.047524,0.028015,0.000012,vertical,0
0.0193,descent,1.6209,-0.7013,96.1523,32.2559,-21.9840,-21.9840,0.047524,0.028015,0.000010,vertical,0
0.0205,descent,1.6209,-0.7013,96.1523,32.1680,-21.9840,-21.9840,0.047622,0.028171,0.000010,vertical,0
0.0216,descent,1.6209,-0.7013,96.0645,32.1680,-21.9840,-21.9840,0.047737,0.028269,0.000016,vertical,0
0.0227,descent,1.6209,-0.7013,96.0645,32.1680,-21.9840,-21.9840,0.047737,0.028269,0.000016,vertical,0
0.0238,descent,1.6209,-0.7013,95.9766,32.1680,-21.9840,-21.9840,0.047852,0.028367,0.000019,vertical,0
0.0249,descent,1.6209,-0.7013,95.9766,32.0801,-21.9840,-21.9840,0.047951,0.028524,0.000019,vertical,0
0.0260,descent,1.6209,-0.7013,95.9766,32.0801,-21.9840,-21.9840,0.047951,0.028524,-0.000011,vertical,0
0.0271,descent,1.6209,-0.7013,95.9766,32.0801,-21.9840,-21.9840,0.047951,0.028524,-0.000011,vertical,0
0.0282,descent,1.6209,-0.7013,95.8887,32.0801,-21.9840,-20.6100,0.048060,0.028565,0.000012,vertical,0
0.0297,descent,1.6209,-0.7013,95.8887,32.0801,-21.9840,-20.6100,0.048060,0.028565,0.000016,vertical,0
0.0305,descent,1.6209,-0.7013,95.8887,32.0801,-21.9840,-20.6100,0.048060,0.028565,0.000016,vertical,0
0.0316,descent,1.6209,-0.7013,95.8008,32.0801,-21.9840,-19.2360,0.048170,0.028606,0.000028,vertical,0
0.0327,descent,1.6209,-0.7013,95.8008,31.9922,-21.9840,-19.2360,0.048270,0.028763,0.000028,vertical,0
0.0338,descent,1.6209,-0.7013,95.8008,31.9922,-21.9840,-19.2360,0.048270,0.028763,0.000039,vertical,0
0.0349,descent,1.6209,-0.7013,95.8008,31.9922,-21.9840,-19.2360,0.048270,0.028763,0.000039,vertical,0
