Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Offset_mm
0.0007,descent,1.2503,52.2949,44.2969,-16.4880,-15.1140,0.023872,0.032642,0.084991,0.000009,0.6000,+0
0.0018,descent,1.2503,52.2949,44.2969,-17.8620,-15.1140,0.023886,0.032642,0.085009,-0.000009,0.6000,+0
0.0033,descent,1.2503,52.2070,44.2969,-20.6100,-13.7400,0.024094,0.032583,0.085009,-0.000009,0.6000,+0
0.0041,descent,1.2503,52.2070,44.2969,-20.6100,-13.7400,0.024094,0.032583,0.084984,0.000016,0.6000,+0
0.0053,descent,1.2503,52.2070,44.2969,-21.9840,-12.3660,0.024108,0.032529,0.084984,0.000016,0.6000,+0
0.0063,descent,1.2503,52.2070,44.2969,-21.9840,-12.3660,0.024108,0.032529,0.084994,0.000006,0.6000,+0
0.0074,descent,1.2503,52.1191,44.2969,-21.9840,-10.9920,0.024287,0.032470,0.084992,0.000008,0.6000,+0
0.0085,descent,1.2503,52.1191,44.2969,-23.3580,-10.9920,0.024301,0.032470,0.084992,0.000008,0.6000,+0
0.0096,descent,1.2503,52.1191,44.2969,-23.3580,-10.9920,0.024301,0.032470,0.085015,-0.000015,0.6000,+0
0.0109,descent,1.2503,52.1191,44.2969,-23.3580,-9.6180,0.024301,0.032415,0.085015,-0.000015,0.6000,+0
0.0119,descent,1.2503,52.1191,44.2969,-23.3580,-9.6180,0.024301,0.032415,0.084997,0.000003,0.6000,+0
0.0133,descent,1.2503,52.0312,44.2969,-23.3580,-8.2440,0.024480,0.032356,0.084980,0.000020,0.6000,+0
0.0141,descent,1.2503,52.0312,44.2969,-23.3580,-8.2440,0.024480,0.032356,0.084980,0.000020,0.6000,+0
0.0153,descent,1.2503,52.0312,44.2969,-23.3580,-6.8700,0.024480,0.032302,0.084980,0.000020,0.6000,+0
0.0163,descent,1.2503,52.0312,44.2969,-23.3580,-6.8700,0.024480,0.032302,0.084986,0.000014,0.6000,+0
0.0174,descent,1.2503,51.9434,44.2969,-23.3580,-6.8700,0.024659,0.032297,0.084993,0.000007,0.6000,+0
0.0185,descent,1.2503,51.9434,44.2969,-23.3580,-6.8700,0.024659,0.032297,0.084993,0.000007,0.6000,+0
0.0196,descent,1.2503,51.9434,44.2969,-23.3580,-5.4960,0.024659,0.032250,0.084999,0.000001,0.6000,+0
0.0209,descent,1.2503,51.9434,44.2969,-23.3580,-5.4960,0.024659,0.032250,0.084999,0.000001,0.6000,+0
0.0219,descent,1.2503,51.9434,44.2969,-21.9840,-4.1220,0.024645,0.032824,0.084973,0.000027,0.6000,+0
0.0233,descent,1.2503,51.8555,44.2969,-21.9840,-4.1220,0.024824,0.032819,0.084973,0.000027,0.6000,+0
0.0241,descent,1.2503,51.8555,44.2969,-21.9840,-4.1220,0.024824,0.032819,0.084994,0.000006,0.6000,+0
0.0253,descent,1.2503,51.8555,44.2969,-20.6100,-4.1220,0.024809,0.032819,0.084994,0.000006,0.6000,+0
0.0263,descent,1.2503,51.8555,44.2969,-20.6100,-2.7480,0.024809,0.047653,0.084982,0.000018,0.6000,+0
0.0274,descent,1.2503,51.7676,44.2969,-20.6100,-2.7480,0.024988,0.047648,0.084981,0.000019,0.6000,+0
0.0285,descent,1.2503,51.7676,44.2969,-20.6100,-2.7480,0.024988,0.047648,0.084981,0.000019,0.6000,+0
0.0296,descent,1.2503,51.7676,44.2969,-20.6100,-1.3740,0.024988,0.137636,0.084984,0.000016,0.6000,+0
0.0309,descent,1.2503,51.6797,44.2969,-20.6100,-1.3740,0.025167,0.137631,0.084984,0.000016,0.6000,+0
0.0319,descent,1.2503,51.6797,44.2969,-20.6100,-1.3740,0.025167,0.137631,0.084957,0.000043,0.6000,+0
