Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Offset_mm
0.0008,descent,1.0155,49.4824,44.2090,2.7480,0.0000,0.044917,0.232579,0.079996,0.000004,0.6000,-5
0.0020,descent,1.0155,49.5703,44.2090,4.1220,0.0000,0.029836,0.232584,0.080003,-0.000003,0.6000,-5
0.0031,descent,1.0155,49.6582,44.2090,5.4960,0.0000,0.029014,0.232589,0.080003,-0.000003,0.6000,-5
0.0043,descent,1.0155,49.7461,44.2090,6.8700,0.0000,0.028813,0.232593,0.080002,-0.000002,0.6000,-5
0.0052,descent,1.0155,49.7461,44.2969,8.2440,1.3740,0.028804,0.137419,0.080002,-0.000002,0.6000,-5
0.0065,descent,1.0155,49.8340,44.2969,9.6180,1.3740,0.028610,0.137423,0.080002,-0.000002,0.6000,-5
0.0074,descent,1.0155,49.9219,44.2969,10.9920,1.3740,0.028417,0.137428,0.080002,-0.000002,0.6000,-5
0.0085,descent,1.0155,50.0098,44.2969,12.3660,1.3740,0.028224,0.137433,0.079994,0.000006,0.6000,-5
0.0096,descent,1.0155,50.0977,44.3848,15.1140,2.7480,0.028021,0.046654,0.079991,0.000009,0.6000,-5
0.0109,descent,1.0155,50.1855,44.3848,16.4880,2.7480,0.027828,0.046659,0.079991,0.000009,0.6000,-5
0.0119,descent,1.0155,50.2734,44.4727,19.2360,4.1220,0.027625,0.031034,0.079996,0.000004,0.6000,-5
0.0132,descent,1.0155,50.3613,44.5605,23.3580,5.4960,0.027408,0.029669,0.079996,0.000004,0.6000,-5
0.0140,descent,1.0155,50.4492,44.5605,26.1060,6.8700,0.027200,0.029612,0.079994,0.000006,0.6000,-5
0.0152,descent,1.0155,50.5371,44.6484,27.4800,8.2440,0.027011,0.028875,0.079994,0.000006,0.6000,-5
0.0162,descent,1.0155,50.6250,44.7363,30.2280,9.6180,0.026809,0.028139,0.080003,-0.000003,0.6000,-5
0.0174,descent,1.0155,50.6250,44.8242,32.9760,10.9920,0.026785,0.027398,0.080003,-0.000003,0.6000,-5
0.0185,descent,1.0155,50.7129,44.8242,34.3500,12.3660,0.026591,0.027348,0.079996,0.000004,0.6000,-5
0.0196,descent,1.0155,50.8008,44.9121,37.0980,13.7400,0.026389,0.026612,0.079996,0.000004,0.6000,-5
0.0207,descent,1.0155,50.8008,45.0000,38.4720,15.1140,0.026379,0.025871,0.079999,0.000001,0.6000,-5
0.0218,descent,1.0155,50.8887,45.0000,41.2200,16.4880,0.026172,0.025821,0.079987,0.000013,0.6000,-5
0.0229,descent,1.0155,50.9766,45.1758,43.9680,19.2360,0.025974,0.024343,0.079987,0.000013,0.6000,-5
0.0240,descent,1.0155,51.0645,45.2637,45.3420,21.9840,0.025785,0.023553,0.079976,0.000024,0.6000,-5
0.0251,descent,1.0155,51.0645,45.3516,46.7160,23.3580,0.025775,0.022812,0.079976,0.000024,0.6000,-5
0.0262,descent,1.0155,51.1523,45.3516,49.4640,24.7320,0.025568,0.022762,0.079970,0.000030,0.6000,-5
0.0274,descent,1.0155,51.1523,45.3516,49.4640,26.1060,0.025568,0.022707,0.079970,0.000030,0.6000,-5
0.0285,descent,1.0155,51.1523,45.4395,50.8380,27.4800,0.025558,0.021966,0.079985,0.000015,0.6000,-5
0.0296,descent,1.0155,51.2402,45.4395,52.2120,28.8540,0.025365,0.021917,0.079975,0.000025,0.6000,-5
0.0307,descent,1.0155,51.2402,45.4395,52.2120,30.2280,0.025365,0.021862,0.079975,0.000025,0.6000,-5
0.0318,descent,1.0155,51.2402,45.4395,53.5860,31.6020,0.025351,0.021808,0.079980,0.000020,0.6000,-5
0.0329,descent,1.0155,51.3281,45.4395,54.9600,32.9760,0.025158,0.021758,0.079980,0.000020,0.6000,-5
0.0340,descent,1.0155,51.3281,45.4395,54.9600,32.9760,0.025158,0.021758,0.079986,0.000014,0.6000,-5
0.0351,descent,1.0155,51.3281,45.4395,53.5860,32.9760,0.025172,0.021758,0.079986,0.000014,0.6000,-5
0.0362,descent,1.0155,51.3281,45.4395,53.5860,34.3500,0.025172,0.021704,0.079984,0.000016,0.6000,-5
0.0374,descent,1.0155,51.3281,45.4395,53.5860,34.3500,0.025172,0.021704,0.079984,0.000016,0.6000,-5
0.0385,descent,1.0155,51.3281,45.4395,52.2120,34.3500,0.025186,0.021704,0.079987,0.000013,0.6000,-5
0.0396,descent,1.0155,51.4160,45.4395,52.2120,34.3500,0.025007,0.021709,0.079964,0.000036,0.6000,-5
0.0407,descent,1.0155,51.4160,45.4395,50.8380,34.3500,0.025022,0.021709,0.079964,0.000036,0.6000,-5
0.0418,descent,1.0155,51.4160,45.3516,49.4640,32.9760,0.025031,0.022450,0.079977,0.000023,0.6000,-5
0.0429,descent,1.0155,51.4160,45.3516,46.7160,31.6020,0.025060,0.022504,0.079977,0.000023,0.6000,-5
0.0440,descent,1.0155,51.4160,45.3516,43.9680,30.2280,0.025088,0.022559,0.079969,0.000031,0.6000,-5
0.0451,descent,1.0155,51.3281,45.3516,42.5940,28.8540,0.025282,0.022608,0.079969,0.000031,0.6000,-5
0.0462,descent,1.0155,51.3281,45.2637,39.8460,27.4800,0.025306,0.023349,0.079962,0.000038,0.6000,-5
0.0474,descent,1.0155,51.3281,45.2637,38.4720,26.1060,0.025320,0.023404,0.079962,0.000038,0.6000,-5
0.0485,descent,1.0155,51.3281,45.2637,35.7240,24.7320,0.025348,0.023458,0.079972,0.000028,0.6000,-5
0.0496,descent,1.0155,51.3281,45.1758,34.3500,21.9840,0.025358,0.024254,0.079961,0.000039,0.6000,-5
0.0507,descent,1.0155,51.3281,45.1758,31.6020,20.6100,0.025387,0.024308,0.079961,0.000039,0.6000,-5
0.0518,descent,1.0155,51.3281,45.1758,30.2280,17.8620,0.025401,0.024417,0.079963,0.000037,0.6000,-5
0.0529,descent,1.0155,51.3281,45.0000,26.1060,13.7400,0.025434,0.025954,0.079963,0.000037,0.6000,-5
0.0540,descent,1.0155,51.3281,45.0000,23.3580,10.9920,0.025463,0.026062,0.079948,0.000052,0.6000,-5
0.0551,descent,1.0155,51.3281,44.9121,21.9840,9.6180,0.025473,0.026804,0.079948,0.000052,0.6000,-5
0.0562,descent,1.0152,51.3281,44.9121,20.6100,6.8700,0.025487,0.026912,0.079953,0.000047,0.6000,-5
0.0573,descent,1.0152,51.2402,44.8242,17.8620,4.1220,0.025690,0.028339,0.079953,0.000047,0.6000,-5
0.0585,descent,1.0152,51.2402,44.8242,16.4880,1.3740,0.025704,0.133378,0.079955,0.000045,0.6000,-5
0.0596,descent,1.0152,51.2402,44.8242,13.7400,-1.3740,0.025733,0.133487,0.079955,0.000045,0.6000,-5
0.0607,descent,1.0152,51.2402,44.7363,12.3660,-2.7480,0.025742,0.044186,0.079952,0.000048,0.6000,-5
0.0618,descent,1.0152,51.2402,44.7363,10.9920,-5.4960,0.025756,0.028778,0.079960,0.000040,0.6000,-5
0.0629,descent,1.0152,51.1523,44.6484,6.8700,-9.6180,0.025974,0.029616,0.079960,0.000040,0.6000,-5
0.0640,descent,1.0152,51.1523,44.5605,5.4960,-12.3660,0.025990,0.030412,0.079950,0.000050,0.6000,-5
0.0651,descent,1.0152,51.1523,44.5605,4.1220,-13.7400,0.026633,0.030466,0.079950,0.000050,0.6000,-5
0.0662,descent,1.0152,51.1523,44.5605,2.7480,-15.1140,0.041536,0.030521,0.079942,0.000058,0.6000,-5
0.0674,descent,1.0152,51.0645,44.4727,1.3740,-16.4880,0.131767,0.031257,0.079942,0.000058,0.6000,-5
0.0685,descent,1.0152,51.0645,44.4727,0.0000,-17.8620,0.226215,0.031311,0.079929,0.000071,0.6000,-5
0.0696,descent,1.0152,51.0645,44.3848,-1.3740,-20.6100,0.131790,0.032107,0.079929,0.000071,0.6000,-5
0.0707,descent,1.0152,51.0645,44.3848,-2.7480,-21.9840,0.041763,0.032161,0.079942,0.000058,0.6000,-5
0.0718,descent,1.0152,50.9766,44.2969,-4.1220,-23.3580,0.027063,0.032898,0.079926,0.000074,0.6000,-5
0.0729,descent,1.0152,50.9766,44.2969,-6.8700,-24.7320,0.026456,0.032952,0.079926,0.000074,0.6000,-5
0.0740,descent,1.0152,50.8887,44.2090,-8.2440,-26.1060,0.026644,0.033689,0.079925,0.000075,0.6000,-5
0.0751,descent,1.0152,50.8887,44.2090,-8.2440,-27.4800,0.026644,0.033743,0.079925,0.000075,0.6000,-5
0.0762,descent,1.0152,50.8887,44.2090,-9.6180,-27.4800,0.026658,0.033743,0.079923,0.000077,0.6000,-5
0.0774,descent,1.0152,50.8887,44.1211,-9.6180,-28.8540,0.026654,0.034484,0.079923,0.000077,0.6000,-5
0.0785,descent,1.0152,50.8887,44.1211,-10.9920,-28.8540,0.026668,0.034484,0.079919,0.000081,0.6000,-5
0.0796,descent,1.0152,50.8008,44.1211,-10.9920,-30.2280,0.026847,0.034534,0.079914,0.000086,0.6000,-5
0.0807,descent,1.0152,50.8008,44.1211,-12.3660,-30.2280,0.026861,0.034534,0.079914,0.000086,0.6000,-5
0.0818,descent,1.0152,50.8008,44.0332,-12.3660,-30.2280,0.026857,0.035221,0.079928,0.000072,0.6000,-5
0.0829,descent,1.0152,50.8008,44.0332,-13.7400,-31.6020,0.026871,0.035275,0.079928,0.000072,0.6000,-5
0.0840,descent,1.0152,50.8008,44.0332,-13.7400,-31.6020,0.026871,0.035275,0.079910,0.000090,0.6000,-5
0.0851,descent,1.0152,50.8008,43.9453,-13.7400,-31.6020,0.026866,0.035962,0.079910,0.000090,0.6000,-5
0.0862,descent,1.0152,50.8008,43.9453,-13.7400,-31.6020,0.026866,0.035962,0.079927,0.000073,0.6000,-5
0.0874,descent,1.0152,50.8008,43.9453,-15.1140,-31.6020,0.026880,0.035962,0.079927,0.000073,0.6000,-5
0.0885,descent,1.0152,50.8008,43.8574,-15.1140,-31.6020,0.026876,0.036649,0.079927,0.000073,0.6000,-5
0.0896,descent,1.0152,50.8008,43.8574,-13.7400,-31.6020,0.026861,0.036649,0.079898,0.000102,0.6000,-5
0.0907,descent,1.0152,50.8008,43.8574,-13.7400,-30.2280,0.026861,0.036594,0.079898,0.000102,0.6000,-5
0.0918,descent,1.0152,50.8008,43.8574,-13.7400,-30.2280,0.026861,0.036594,0.079919,0.000081,0.6000,-5
0.0929,descent,1.0152,50.8008,43.7695,-13.7400,-30.2280,0.026857,0.037281,0.079919,0.000081,0.6000,-5
0.0940,descent,1.0152,50.8008,43.7695,-13.7400,-30.2280,0.026857,0.037281,0.079898,0.000102,0.6000,-5
0.0951,descent,1.0152,50.8008,43.7695,-12.3660,-28.8540,0.026842,0.037227,0.079898,0.000102,0.6000,-5
0.0962,descent,1.0152,50.8008,43.5937,-12.3660,-28.8540,0.026833,0.038600,0.079898,0.000102,0.6000,-5
0.0974,descent,1.0152,50.8008,43.5937,-12.3660,-28.8540,0.026833,0.038600,0.079898,0.000102,0.6000,-5
0.0985,descent,1.0152,50.8008,43.5937,-12.3660,-28.8540,0.026833,0.038600,0.079895,0.000105,0.6000,-5
0.0996,descent,1.0152,50.8008,43.5937,-10.9920,-27.4800,0.026819,0.038546,0.079895,0.000105,0.6000,-5
0.1007,descent,1.0152,50.7129,43.5937,-10.9920,-27.4800,0.026998,0.038541,0.079880,0.000120,0.6000,-5
0.1018,descent,1.0152,50.7129,43.5059,-10.9920,-26.1060,0.026993,0.039173,0.079897,0.000103,0.6000,-5
0.1029,descent,1.0152,50.7129,43.5059,-10.9920,-26.1060,0.026993,0.039173,0.079897,0.000103,0.6000,-5
0.1040,descent,1.0152,50.7129,43.5059,-9.6180,-24.7320,0.026979,0.039119,0.079885,0.000115,0.6000,-5
0.1051,descent,1.0152,50.7129,43.4180,-9.6180,-24.7320,0.026974,0.039806,0.079885,0.000115,0.6000,-5
0.1062,descent,1.0152,50.7129,43.4180,-9.6180,-24.7320,0.026974,0.039806,0.079874,0.000126,0.6000,-5
0.1074,descent,1.0152,50.7129,43.4180,-8.2440,-23.3580,0.026960,0.039751,0.079874,0.000126,0.6000,-5
0.1085,descent,1.0152,50.7129,43.4180,-8.2440,-23.3580,0.026960,0.039751,0.079880,0.000120,0.6000,-5
0.1096,descent,1.0152,50.7129,43.3301,-6.8700,-23.3580,0.026941,0.040438,0.079880,0.000120,0.6000,-5
0.1107,descent,1.0152,50.7129,43.3301,-6.8700,-23.3580,0.026941,0.040438,0.079879,0.000121,0.6000,-5
0.1118,descent,1.0152,50.7129,43.3301,-6.8700,-21.9840,0.026941,0.040384,0.079880,0.000120,0.6000,-5
0.1129,descent,1.0152,50.7129,43.3301,-5.4960,-21.9840,0.026934,0.040384,0.079880,0.000120,0.6000,-5
0.1140,descent,1.0152,50.7129,43.3301,-4.1220,-21.9840,0.027548,0.040384,0.079884,0.000116,0.6000,-5
0.1151,descent,1.0152,50.6250,43.3301,-4.1220,-20.6100,0.027727,0.040325,0.079884,0.000116,0.6000,-5
0.1162,descent,1.0152,50.6250,43.3301,-4.1220,-20.6100,0.027727,0.040325,0.079880,0.000120,0.6000,-5
0.1173,descent,1.0152,50.6250,43.3301,-4.1220,-19.2360,0.027727,0.040270,0.079880,0.000120,0.6000,-5
0.1185,descent,1.0152,50.6250,43.2422,-4.1220,-19.2360,0.027722,0.040957,0.079869,0.000131,0.6000,-5
0.1196,descent,1.0152,50.6250,43.2422,-4.1220,-19.2360,0.027722,0.040957,0.079862,0.000138,0.6000,-5
0.1207,descent,1.0152,50.6250,43.2422,-4.1220,-19.2360,0.027722,0.040957,0.079862,0.000138,0.6000,-5
0.1218,descent,1.0152,50.6250,43.2422,-4.1220,-17.8620,0.027722,0.040903,0.079871,0.000129,0.6000,-5
0.1229,descent,1.0152,50.5371,43.2422,-5.4960,-17.8620,0.027287,0.040898,0.079871,0.000129,0.6000,-5
0.1240,descent,1.0152,50.5371,43.2422,-5.4960,-16.4880,0.027287,0.040843,0.079857,0.000143,0.6000,-5
0.1251,descent,1.0152,50.5371,43.2422,-5.4960,-16.4880,0.027287,0.040843,0.079857,0.000143,0.6000,-5
0.1262,descent,1.0152,50.5371,43.2422,-5.4960,-16.4880,0.027287,0.040843,0.079853,0.000147,0.6000,-5
0.1274,descent,1.0152,50.5371,43.2422,-6.8700,-15.1140,0.027294,0.040789,0.079853,0.000147,0.6000,-5
0.1285,descent,1.0152,50.5371,43.2422,-6.8700,-15.1140,0.027294,0.040789,0.079849,0.000151,0.6000,-5
0.1296,descent,1.0152,50.4492,43.2422,-6.8700,-13.7400,0.027473,0.040730,0.079849,0.000151,0.6000,-5
0.1307,descent,1.0152,50.4492,43.2422,-6.8700,-13.7400,0.027473,0.040730,0.079855,0.000145,0.6000,-5
0.1317,descent,1.0152,50.4492,43.2422,-8.2440,-12.3660,0.027487,0.040676,0.079849,0.000151,0.6000,-5
0.1329,descent,1.0152,50.4492,43.2422,-8.2440,-12.3660,0.027487,0.040676,0.079849,0.000151,0.6000,-5
0.1340,descent,1.0152,50.4492,43.2422,-8.2440,-10.9920,0.027487,0.040621,0.079852,0.000148,0.6000,-5
0.1351,descent,1.0152,50.3613,43.2422,-8.2440,-10.9920,0.027666,0.040616,0.079852,0.000148,0.6000,-5
0.1362,descent,1.0152,50.3613,43.2422,-8.2440,-9.6180,0.027666,0.040562,0.079849,0.000151,0.6000,-5
0.1374,descent,1.0152,50.3613,43.2422,-8.2440,-9.6180,0.027666,0.040562,0.079849,0.000151,0.6000,-5
0.1385,descent,1.0152,50.3613,43.2422,-9.6180,-8.2440,0.027680,0.040508,0.079845,0.000155,0.6000,-5
