Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Run
0.0007,descent,0.2278,10.1074,30.8496,-5.4960,-2.7480,0.000412,0.020856,0.084992,0.000008,0.0500,5
0.0018,descent,0.2278,10.1074,30.8496,-5.4960,-4.1220,0.000412,0.006022,0.084992,0.000008,0.0500,5
0.0029,descent,0.2278,10.1074,30.8496,-5.4960,-4.1220,0.000412,0.006022,0.084976,0.000024,0.0500,5
0.0040,descent,0.2278,10.1074,30.8496,-5.4960,-4.1220,0.000412,0.006022,0.084976,0.000024,0.0500,5
0.0051,descent,0.2278,10.1074,30.8496,-5.4960,-5.4960,0.000412,0.005448,0.084987,0.000013,0.0500,5
0.0062,descent,0.2278,10.1074,30.8496,-5.4960,-5.4960,0.000412,0.005448,0.084990,0.000010,0.0500,5
0.0074,descent,0.2278,10.1074,30.8496,-4.1220,-6.8700,0.001027,0.005495,0.084990,0.000010,0.0500,5
0.0085,descent,0.2278,10.1074,30.8496,-4.1220,-6.8700,0.001027,0.005495,0.084991,0.000009,0.0500,5
0.0096,descent,0.2278,10.1074,30.8496,-4.1220,-6.8700,0.001027,0.005495,0.084991,0.000009,0.0500,5
0.0107,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084970,0.000030,0.0500,5
0.0118,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084970,0.000030,0.0500,5
0.0129,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084994,0.000006,0.0500,5
0.0140,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084994,0.000006,0.0500,5
0.0152,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084984,0.000016,0.0500,5
0.0165,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084981,0.000019,0.0500,5
0.0174,descent,0.2278,10.1074,30.8496,-2.7480,-8.2440,0.015901,0.005549,0.084981,0.000019,0.0500,5
0.0184,descent,0.2278,10.1074,30.8496,-2.7480,-6.8700,0.015901,0.005495,0.084990,0.000010,0.0500,5
0.0196,descent,0.2278,10.1074,30.8496,-2.7480,-6.8700,0.015901,0.005495,0.084990,0.000010,0.0500,5
0.0207,descent,0.2278,10.1074,30.8496,-2.7480,-6.8700,0.015901,0.005495,0.084988,0.000012,0.0500,5
0.0218,descent,0.2278,10.1074,30.8496,-2.7480,-6.8700,0.015901,0.005495,0.084988,0.000012,0.0500,5
0.0229,descent,0.2278,10.1074,30.8496,-2.7480,-6.8700,0.015901,0.005495,0.084992,0.000008,0.0500,5
0.0240,descent,0.2278,10.1953,30.8496,-1.3740,-6.8700,0.105915,0.005498,0.084992,0.000008,0.0500,5
0.0251,descent,0.2278,10.1953,30.8496,-1.3740,-6.8700,0.105915,0.005498,0.084976,0.000024,0.0500,5
0.0262,descent,0.2278,10.1074,30.8496,-1.3740,-5.4960,0.105929,0.005448,0.084978,0.000022,0.0500,5
0.0274,descent,0.2278,10.1074,30.8496,0.0000,-5.4960,0.200348,0.005448,0.084978,0.000022,0.0500,5
0.0285,descent,0.2278,10.1074,30.8496,0.0000,-5.4960,0.200348,0.005448,0.084976,0.000024,0.0500,5
0.0296,descent,0.2278,10.1074,30.8496,0.0000,-5.4960,0.200348,0.005448,0.084976,0.000024,0.0500,5
0.0307,descent,0.2278,10.1074,30.8496,0.0000,-5.4960,0.200348,0.005448,0.085004,-0.000004,0.0500,5
0.0318,descent,0.2278,10.1074,30.8496,0.0000,-5.4960,0.200348,0.005448,0.085004,-0.000004,0.0500,5
0.0334,descent,0.2278,10.1074,30.8496,0.0000,-4.1220,0.200348,0.006022,0.084976,0.000024,0.0500,5
0.0343,descent,0.2278,10.1074,30.8496,0.0000,-4.1220,0.200348,0.006022,0.084976,0.000024,0.0500,5
0.0355,descent,0.2278,10.1074,30.8496,0.0000,-4.1220,0.200348,0.006022,0.084973,0.000027,0.0500,5
0.0363,descent,0.2278,10.1074,30.8496,0.0000,-4.1220,0.200348,0.006022,0.084974,0.000026,0.0500,5
0.0376,descent,0.2278,10.1953,30.8496,1.3740,-2.7480,0.105887,0.020859,0.084974,0.000026,0.0500,5
0.0385,descent,0.2278,10.1953,30.8496,1.3740,-2.7480,0.105887,0.020859,0.084976,0.000024,0.0500,5
0.0400,descent,0.2278,10.1953,30.8496,1.3740,-2.7480,0.105887,0.020859,0.084976,0.000024,0.0500,5
0.0408,descent,0.2278,10.1953,30.8496,2.7480,-1.3740,0.015830,0.110846,0.084965,0.000035,0.0500,5
0.0418,descent,0.2278,10.1953,30.8496,2.7480,-1.3740,0.015830,0.110846,0.084965,0.000035,0.0500,5
0.0429,descent,0.2278,10.2832,30.7617,2.7480,-1.3740,0.015814,0.110901,0.084974,0.000026,0.0500,5
0.0440,descent,0.2278,10.3711,30.7617,4.1220,-1.3740,0.000898,0.110904,0.084974,0.000026,0.0500,5
0.0451,descent,0.2278,10.3711,30.7617,4.1220,-1.3740,0.000898,0.110904,0.084968,0.000032,0.0500,5
0.0463,descent,0.2278,10.4590,30.7617,5.4960,-1.3740,0.000242,0.110907,0.084980,0.000020,0.0500,5
0.0474,descent,0.2278,10.5469,30.7617,8.2440,-2.7480,0.000192,0.020922,0.084980,0.000020,0.0500,5
0.0485,descent,0.2278,10.6348,30.7617,9.6180,-2.7480,0.000165,0.020925,0.084966,0.000034,0.0500,5
0.0496,descent,0.2278,10.8105,30.7617,10.9920,-2.7480,0.000124,0.020931,0.084966,0.000034,0.0500,5
0.0507,descent,0.2278,10.8984,30.7617,13.7400,-2.7480,0.000082,0.020934,0.084964,0.000036,0.0500,5
0.0518,descent,0.2278,10.9863,30.7617,15.1140,-2.7480,0.000054,0.020937,0.084964,0.000036,0.0500,5
0.0529,descent,0.2278,11.1621,30.7617,17.8620,-2.7480,-0.000001,0.020943,0.084969,0.000031,0.0500,5
0.0540,descent,0.2278,11.2500,30.7617,20.6100,-2.7480,-0.000043,0.020946,0.084969,0.000031,0.0500,5
0.0551,descent,0.2278,11.3379,30.7617,23.3580,-2.7480,-0.000085,0.020949,0.084976,0.000024,0.0500,5
0.0563,descent,0.2278,11.4258,30.7617,26.1060,-2.7480,-0.000127,0.020952,0.084976,0.000024,0.0500,5
0.0574,descent,0.2278,11.4258,30.7617,26.1060,-2.7480,-0.000127,0.020952,0.084976,0.000024,0.0500,5
0.0584,descent,0.2278,11.6016,30.7617,28.8540,-2.7480,-0.000182,0.020958,0.084966,0.000034,0.0500,5
0.0596,descent,0.2278,11.7773,30.8496,34.3500,-1.3740,-0.000263,0.110900,0.084966,0.000034,0.0500,5
