Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm,Run
0.0009,descent,0.3292,-0.2402,38.8477,17.3145,79.6920,-10.9920,0.003215,0.006448,0.084983,0.000017,8.40,3
0.0017,descent,0.3292,-0.2402,38.9355,17.3145,76.9440,-9.6180,0.003320,0.006465,0.084983,0.000017,8.40,3
0.0027,descent,0.3292,-0.2402,39.0234,17.3145,76.9440,-9.6180,0.003304,0.006449,0.084989,0.000011,8.40,3
0.0038,descent,0.3292,-0.2402,39.0234,17.3145,75.5700,-9.6180,0.003406,0.006532,0.084989,0.000011,8.40,3
0.0049,descent,0.3292,-0.2402,39.1113,17.3145,74.1960,-8.2440,0.003409,0.006466,0.084991,0.000009,8.40,3
0.0060,descent,0.3292,-0.2402,39.1113,17.3145,72.8220,-8.2440,0.003511,0.006549,0.084991,0.000009,8.40,3
0.0072,descent,0.3292,-0.2402,39.1992,17.2266,70.0740,-8.2440,0.003716,0.006718,0.084989,0.000011,8.40,3
0.0083,descent,0.3292,-0.2402,39.2871,17.2266,68.7000,-8.2440,0.003801,0.006784,0.084986,0.000014,8.40,3
0.0093,descent,0.3001,-0.2433,39.2871,17.2266,67.3260,-8.2440,0.003903,0.006867,0.084986,0.000014,8.40,3
0.0105,descent,0.3001,-0.2433,39.2871,17.2266,65.9520,-8.2440,0.004005,0.006950,0.084998,0.000002,8.40,3
0.0116,descent,0.3001,-0.2433,39.3750,17.2266,64.5780,-8.2440,0.004091,0.007017,0.084998,0.000002,8.40,3
0.0127,descent,0.3001,-0.2433,39.3750,17.2266,61.8300,-6.8700,0.004212,0.007050,0.084984,0.000016,8.40,3
0.0138,descent,0.3001,-0.2433,39.3750,17.2266,60.4560,-6.8700,0.004314,0.007132,0.084984,0.000016,8.40,3
0.0151,descent,0.3001,-0.2433,39.3750,17.2266,59.0820,-6.8700,0.004416,0.007215,0.085005,-0.000005,8.40,3
0.0162,descent,0.3001,-0.2433,39.3750,17.2266,59.0820,-6.8700,0.004416,0.007215,0.085005,-0.000005,8.40,3
0.0173,descent,0.3001,-0.2433,39.3750,17.2266,59.0820,-6.8700,0.004416,0.007215,0.084972,0.000028,8.40,3
0.0184,descent,0.3001,-0.2433,39.3750,17.1387,57.7080,-6.8700,0.004534,0.007319,0.084999,0.000001,8.40,3
0.0193,descent,0.3001,-0.2433,39.4629,17.1387,52.2120,-6.8700,0.004926,0.007634,0.084999,0.000001,8.40,3
0.0204,descent,0.3001,-0.2433,39.4629,17.1387,49.4640,-6.8700,0.005129,0.007800,0.084976,0.000024,8.40,3
0.0215,descent,0.3001,-0.2433,39.5508,17.1387,48.0900,-6.8700,0.005215,0.007866,0.084976,0.000024,8.40,3
0.0226,descent,0.3001,-0.2433,39.5508,17.0508,45.3420,-8.2440,0.005519,0.008186,0.084979,0.000021,8.40,3
0.0237,descent,0.3001,-0.2433,39.5508,17.0508,43.9680,-8.2440,0.005621,0.008269,0.084979,0.000021,8.40,3
