Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0007,descent,0.4609,25.3125,37.0020,-68.7000,-19.2360,0.020918,0.026335,0.085003,-0.000003,0.2000
0.0018,descent,0.4609,25.3125,37.0020,-68.7000,-19.2360,0.020918,0.026335,0.085003,-0.000003,0.2000
0.0029,descent,0.4609,25.2246,36.9141,-68.7000,-19.2360,0.020972,0.026556,0.084992,0.000008,0.2000
0.0040,descent,0.4609,25.1367,36.9141,-68.7000,-19.2360,0.021031,0.026552,0.084993,0.000007,0.2000
0.0052,descent,0.4609,25.0488,36.9141,-68.7000,-19.2360,0.021089,0.026548,0.084993,0.000007,0.2000
0.0063,descent,0.4609,25.0488,36.9141,-68.7000,-17.8620,0.021089,0.026494,0.084994,0.000006,0.2000
0.0074,descent,0.4609,24.9609,36.9141,-68.7000,-17.8620,0.021147,0.026490,0.084994,0.000006,0.2000
0.0085,descent,0.4609,24.7852,36.8262,-68.7000,-17.8620,0.021260,0.026707,0.084991,0.000009,0.2000
0.0096,descent,0.4609,24.6973,36.8262,-68.7000,-17.8620,0.021318,0.026703,0.084991,0.000009,0.2000
0.0107,descent,0.4609,24.6094,36.8262,-70.0740,-17.8620,0.021391,0.026699,0.084983,0.000017,0.2000
0.0121,descent,0.4609,24.5215,36.8262,-70.0740,-17.8620,0.021449,0.026695,0.084987,0.000013,0.2000
0.0130,descent,0.4609,24.5215,36.8262,-70.0740,-16.4880,0.021449,0.026641,0.084987,0.000013,0.2000
0.0142,descent,0.4609,24.4336,36.8262,-70.0740,-16.4880,0.021507,0.026637,0.084982,0.000018,0.2000
0.0153,descent,0.4609,24.3457,36.7383,-70.0740,-16.4880,0.021561,0.026858,0.084982,0.000018,0.2000
0.0164,descent,0.4609,24.2578,36.7383,-70.0740,-16.4880,0.021620,0.026854,0.084969,0.000031,0.2000
0.0175,descent,0.4609,24.1699,36.7383,-70.0740,-16.4880,0.021678,0.026850,0.084969,0.000031,0.2000
0.0186,descent,0.4609,24.0820,36.7383,-71.4480,-16.4880,0.021751,0.026846,0.084991,0.000009,0.2000
0.0196,descent,0.4609,23.9941,36.7383,-71.4480,-15.1140,0.021809,0.026788,0.084991,0.000009,0.2000
0.0208,descent,0.4609,23.9062,36.7383,-71.4480,-15.1140,0.021867,0.026784,0.084995,0.000005,0.2000
0.0219,descent,0.4609,23.8184,36.7383,-71.4480,-15.1140,0.021925,0.026781,0.084995,0.000005,0.2000
