Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0008,descent,1.4627,-0.5456,99.9316,31.9043,-9.6180,20.6100,0.042771,0.022761,0.084987,0.000013,100.00
0.0019,descent,1.4627,-0.5456,99.9316,31.9922,-9.6180,23.3580,0.042671,0.022502,0.084987,0.000013,100.00
0.0029,descent,1.4627,-0.5456,99.9316,32.0801,-9.6180,24.7320,0.042577,0.022300,0.085010,-0.000010,100.00
0.0040,descent,1.4627,-0.5456,99.9316,32.1680,-9.6180,27.4800,0.042478,0.022041,0.085010,-0.000010,100.00
0.0052,descent,1.4627,-0.5456,99.9316,32.1680,-9.6180,30.2280,0.042469,0.021927,0.084996,0.000004,100.00
0.0063,descent,1.4627,-0.5456,99.9316,32.2559,-8.2440,31.6020,0.042352,0.021721,0.084996,0.000004,100.00
0.0074,descent,1.4627,-0.5456,99.9316,32.3438,-8.2440,34.3500,0.042254,0.021463,0.084985,0.000015,100.00
0.0085,descent,1.4627,-0.5456,99.9316,32.4316,-8.2440,37.0980,0.042157,0.021206,0.084998,0.000002,100.00
0.0096,descent,1.4627,-0.5456,99.9316,32.5195,-8.2440,38.4720,0.042064,0.021005,0.084998,0.000002,100.00
0.0107,descent,1.4627,-0.5456,99.9316,32.6074,-6.8700,42.5940,0.041940,0.020687,0.085001,-0.000001,100.00
0.0118,descent,1.4627,-0.5456,99.9316,32.6074,-6.8700,45.3420,0.041930,0.020574,0.085001,-0.000001,100.00
0.0130,descent,1.4732,-0.5445,99.9316,32.6953,-6.8700,46.7160,0.041839,0.020374,0.085007,-0.000007,100.00
0.0142,descent,1.4732,-0.5445,99.9316,32.6953,-6.8700,48.0900,0.041834,0.020317,0.085007,-0.000007,100.00
0.0152,descent,1.4732,-0.5445,99.9316,32.6953,-6.8700,48.0900,0.041834,0.020317,0.085013,-0.000013,100.00
0.0163,descent,1.4732,-0.5445,99.9316,32.7832,-5.4960,50.8380,0.041722,0.020056,0.085013,-0.000013,100.00
0.0174,descent,1.4732,-0.5445,99.9316,32.7832,-4.1220,53.5860,0.042319,0.019938,0.084988,0.000012,100.00
0.0185,descent,1.4732,-0.5445,99.9316,32.8711,-4.1220,54.9600,0.042228,0.019739,0.084993,0.000007,100.00
0.0196,descent,1.4732,-0.5445,99.9316,32.8711,-4.1220,54.9600,0.042228,0.019739,0.084993,0.000007,100.00
0.0208,descent,1.4732,-0.5445,99.9316,32.8711,-2.7480,56.3340,0.057089,0.019678,0.085000,-0.000000,100.00
0.0219,descent,1.4732,-0.5445,99.9316,32.8711,-2.7480,56.3340,0.057089,0.019678,0.085000,-0.000000,100.00
0.0230,descent,1.4732,-0.5445,99.9316,32.8711,-2.7480,56.3340,0.057089,0.019678,0.084981,0.000019,100.00
0.0241,descent,1.4732,-0.5445,99.9316,32.8711,-1.3740,56.3340,0.147108,0.019674,0.084981,0.000019,100.00
0.0252,descent,1.4732,-0.5445,99.9316,32.8711,-1.3740,56.3340,0.147108,0.019674,0.084996,0.000004,100.00
0.0263,descent,1.4732,-0.5445,99.9316,32.8711,-1.3740,56.3340,0.147108,0.019674,0.084996,0.000004,100.00
0.0274,descent,1.4732,-0.5445,99.9316,32.8711,-1.3740,54.9600,0.147112,0.019731,0.084983,0.000017,100.00
0.0285,descent,1.4732,-0.5445,99.9316,32.8711,0.0000,52.2120,0.241532,0.019839,0.084972,0.000028,100.00
0.0296,descent,1.4732,-0.5445,99.9316,32.8711,0.0000,50.8380,0.241536,0.019896,0.084972,0.000028,100.00
0.0312,descent,1.4732,-0.5445,99.9316,32.7832,0.0000,48.0900,0.241632,0.020152,0.084977,0.000023,100.00
0.0318,descent,1.4732,-0.5445,99.9316,32.7832,0.0000,46.7160,0.241636,0.020209,0.084977,0.000023,100.00
0.0329,descent,1.4732,-0.5445,99.9316,32.7832,0.0000,41.2200,0.241654,0.020436,0.084988,0.000012,100.00
0.0340,descent,1.4732,-0.5445,99.9316,32.7832,0.0000,39.8460,0.241659,0.020492,0.084988,0.000012,100.00
0.0352,descent,1.4732,-0.5445,99.9316,32.7832,0.0000,37.0980,0.241668,0.020606,0.084971,0.000029,100.00
0.0363,descent,1.4732,-0.5445,99.9316,32.6953,0.0000,34.3500,0.241764,0.020862,0.084971,0.000029,100.00
0.0374,descent,1.4732,-0.5445,99.9316,32.6953,0.0000,31.6020,0.241773,0.020975,0.084977,0.000023,100.00
0.0385,descent,1.4732,-0.5445,99.9316,32.6953,0.0000,28.8540,0.241782,0.021089,0.084976,0.000024,100.00
0.0396,descent,1.4732,-0.5445,99.9316,32.6953,0.0000,26.1060,0.241791,0.021202,0.084976,0.000024,100.00
0.0407,descent,1.4732,-0.5445,100.0195,32.6074,1.3740,20.6100,0.147335,0.021480,0.084969,0.000031,100.00
0.0418,descent,1.4732,-0.5445,100.0195,32.6074,1.3740,17.8620,0.147344,0.021594,0.084969,0.000031,100.00
0.0434,descent,1.4732,-0.5445,100.1074,32.6074,1.3740,15.1140,0.147248,0.021619,0.084965,0.000035,100.00
0.0441,descent,1.4732,-0.5445,100.1074,32.5195,2.7480,12.3660,0.057280,0.021871,0.084965,0.000035,100.00
0.0452,descent,1.4732,-0.5445,100.1074,32.5195,2.7480,10.9920,0.057284,0.021928,0.084989,0.000011,100.00
0.0463,descent,1.4732,-0.5445,100.1953,32.5195,4.1220,8.2440,0.042277,0.021949,0.084989,0.000011,100.00
0.0478,descent,1.4732,-0.5445,100.2832,32.4316,5.4960,5.4960,0.041617,0.022120,0.084983,0.000017,100.00
0.0485,descent,1.4732,-0.5445,100.3711,32.4316,6.8700,2.7480,0.041491,0.037658,0.084983,0.000017,100.00
0.0496,descent,1.4732,-0.5445,100.3711,32.4316,8.2440,1.3740,0.041472,0.127753,0.084950,0.000050,100.00
0.0507,descent,1.4732,-0.5445,100.5469,32.3438,10.9920,-4.1220,0.041323,0.023008,0.084951,0.000049,100.00
0.0519,descent,1.4732,-0.5445,100.6348,32.2559,12.3660,-5.4960,0.041287,0.022486,0.084951,0.000049,100.00
0.0529,descent,1.4732,-0.5445,100.6348,32.2559,13.7400,-8.2440,0.041273,0.022588,0.084966,0.000034,100.00
0.0540,descent,1.4732,-0.5445,100.8105,32.2559,16.4880,-9.6180,0.041023,0.022460,0.084966,0.000034,100.00
0.0551,descent,1.4732,-0.5445,100.8105,32.1680,17.8620,-10.9920,0.041092,0.022655,0.084947,0.000053,100.00
0.0563,descent,1.4732,-0.5445,100.8984,32.1680,19.2360,-12.3660,0.040969,0.022620,0.084947,0.000053,100.00
0.0574,descent,1.4732,-0.5445,100.9863,32.1680,21.9840,-13.7400,0.040823,0.022580,0.084954,0.000046,100.00
0.0585,descent,1.4732,-0.5445,100.9863,32.0801,23.3580,-15.1140,0.040892,0.022774,0.084951,0.000049,100.00
0.0596,descent,1.4732,-0.5445,101.0742,32.0801,24.7320,-16.4880,0.040770,0.022739,0.084951,0.000049,100.00
0.0607,descent,1.4732,-0.5445,101.1621,31.9922,28.8540,-19.2360,0.040693,0.022894,0.084947,0.000053,100.00
0.0618,descent,1.4732,-0.5445,101.1621,31.9922,30.2280,-20.6100,0.040675,0.022946,0.084947,0.000053,100.00
0.0629,descent,1.4732,-0.5445,101.2500,31.9043,31.6020,-20.6100,0.040635,0.022996,0.084949,0.000051,100.00
0.0641,descent,1.4732,-0.5445,101.2500,31.9043,34.3500,-21.9840,0.040594,0.023044,0.084949,0.000051,100.00
0.0652,descent,1.4732,-0.5445,101.2500,31.8164,34.3500,-23.3580,0.040686,0.023242,0.084937,0.000063,100.00
0.0663,descent,1.4732,-0.5445,101.2500,31.8164,35.7240,-23.3580,0.040663,0.023238,0.084937,0.000063,100.00
0.0674,descent,1.4732,-0.5445,101.3379,31.8164,37.0980,-24.7320,0.040540,0.023203,0.084940,0.000060,100.00
0.0685,descent,1.4732,-0.5445,101.3379,31.7285,38.4720,-26.1060,0.040609,0.023397,0.084941,0.000059,100.00
0.0696,descent,1.4732,-0.5445,101.3379,31.7285,39.8460,-26.1060,0.040586,0.023392,0.084941,0.000059,100.00
0.0707,descent,1.4732,-0.5445,101.3379,31.6406,41.2200,-27.4800,0.040656,0.023587,0.084935,0.000065,100.00
0.0718,descent,1.4732,-0.5445,101.3379,31.5527,41.2200,-28.8540,0.040749,0.023786,0.084935,0.000065,100.00
0.0729,descent,1.4732,-0.5445,101.3379,31.5527,41.2200,-28.8540,0.040749,0.023786,0.084933,0.000067,100.00
0.0740,descent,1.4732,-0.5445,101.3379,31.5527,41.2200,-28.8540,0.040749,0.023786,0.084933,0.000067,100.00
0.0751,descent,1.4732,-0.5445,101.3379,31.4648,41.2200,-30.2280,0.040842,0.023985,0.084937,0.000063,100.00
0.0764,descent,1.4732,-0.5445,101.3379,31.4648,41.2200,-30.2280,0.040842,0.023985,0.084937,0.000063,100.00
0.0774,descent,1.4732,-0.5445,101.3379,31.4648,41.2200,-30.2280,0.040842,0.023985,0.084925,0.000075,100.00
0.0785,descent,1.4732,-0.5445,101.2500,31.3770,39.8460,-31.6020,0.041063,0.024279,0.084924,0.000076,100.00
0.0796,descent,1.4732,-0.5445,101.2500,31.3770,38.4720,-31.6020,0.041086,0.024283,0.084924,0.000076,100.00
0.0807,descent,1.4732,-0.5445,101.2500,31.2891,35.7240,-32.9760,0.041227,0.024493,0.084918,0.000082,100.00
0.0818,descent,1.4732,-0.5445,101.2500,31.2012,34.3500,-32.9760,0.041339,0.024642,0.084918,0.000082,100.00
0.0830,descent,1.4732,-0.5445,101.2500,31.2012,32.9760,-32.9760,0.041362,0.024647,0.084907,0.000093,100.00
0.0841,descent,1.4732,-0.5445,101.2500,31.1133,30.2280,-32.9760,0.041499,0.024800,0.084907,0.000093,100.00
0.0852,descent,1.4732,-0.5445,101.1621,31.1133,28.8540,-32.9760,0.041628,0.024895,0.084916,0.000084,100.00
0.0863,descent,1.4732,-0.5445,101.1621,31.0254,26.1060,-34.3500,0.041769,0.025106,0.084916,0.000084,100.00
0.0874,descent,1.4732,-0.5445,101.1621,31.0254,24.7320,-34.3500,0.041793,0.025111,0.084921,0.000079,100.00
0.0885,descent,1.4732,-0.5445,101.1621,31.0254,21.9840,-34.3500,0.041839,0.025121,0.084894,0.000106,100.00
0.0896,descent,1.4732,-0.5445,101.0742,30.8496,19.2360,-34.3500,0.042174,0.025512,0.084894,0.000106,100.00
