Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_displacement_m,Press_type,Angle_deg
0.0007,descent,1.1905,0.6209,101.3379,47.7246,2.7480,13.7400,0.059000,0.043893,0.000010,vertical,-60
0.0018,descent,1.1905,0.6209,101.3379,47.8125,4.1220,15.1140,0.043842,0.043579,0.000010,vertical,-60
0.0029,descent,1.1905,0.6209,101.4258,47.9004,4.1220,16.4880,0.043424,0.043100,-0.000007,vertical,-60
0.0042,descent,1.1905,0.6209,101.4258,47.9883,5.4960,19.2360,0.042498,0.042707,-0.000002,vertical,-60
0.0052,descent,1.1905,0.6209,101.5137,47.9883,5.4960,20.6100,0.042276,0.042431,-0.000002,vertical,-60
0.0063,descent,1.1905,0.6209,101.6895,48.0762,8.2440,24.7320,0.041511,0.041542,0.000004,vertical,-60
0.0073,descent,1.1905,0.6209,101.6895,48.1641,9.6180,26.1060,0.041244,0.041232,0.000004,vertical,-60
0.0085,descent,1.1905,0.6209,101.7773,48.1641,10.9920,27.4800,0.040977,0.040929,0.000012,vertical,-60
0.0096,descent,1.1905,0.6209,101.8652,48.1641,13.7400,28.8540,0.040665,0.040598,0.000012,vertical,-60
0.0107,descent,1.1905,0.6209,101.9531,48.2520,15.1140,30.2280,0.040205,0.040097,-0.000000,vertical,-60
0.0119,descent,1.1905,0.6209,101.9531,48.2520,16.4880,31.6020,0.040132,0.039988,-0.000000,vertical,-60
0.0130,descent,1.1905,0.6209,102.0410,48.2520,17.8620,32.9760,0.039865,0.039687,0.000011,vertical,-60
0.0143,descent,1.1905,0.6209,102.1289,48.2520,20.6100,34.3500,0.039554,0.039357,-0.000003,vertical,-60
0.0153,descent,1.1905,0.6209,102.1289,48.2520,21.9840,34.3500,0.039509,0.039328,-0.000003,vertical,-60
0.0165,descent,1.1905,0.6209,102.2168,48.2520,24.7320,35.7240,0.039197,0.038999,-0.000004,vertical,-60
0.0175,descent,1.1905,0.6209,102.2168,48.2520,26.1060,35.7240,0.039153,0.038971,-0.000004,vertical,-60
0.0186,descent,1.1905,0.6209,102.3047,48.2520,27.4800,37.0980,0.038886,0.038670,0.000001,vertical,-60
0.0197,descent,1.1905,0.6209,102.3047,48.2520,28.8540,37.0980,0.038841,0.038641,0.000001,vertical,-60
0.0209,descent,1.1905,0.6209,102.3926,48.2520,30.2280,37.0980,0.038603,0.038421,0.000001,vertical,-60
0.0219,descent,1.1905,0.6209,102.3926,48.2520,31.6020,37.0980,0.038558,0.038393,0.000001,vertical,-60
0.0230,descent,1.1905,0.6209,102.3926,48.2520,32.9760,37.0980,0.038513,0.038365,0.000020,vertical,-60
0.0241,descent,1.1905,0.6209,102.3926,48.2520,34.3500,37.0980,0.038468,0.038336,-0.000012,vertical,-60
0.0252,descent,1.1905,0.6209,102.3926,48.2520,34.3500,35.7240,0.038497,0.038417,-0.000012,vertical,-60
0.0263,descent,1.1905,0.6209,102.3926,48.1641,35.7240,32.9760,0.038700,0.038747,0.000022,vertical,-60
0.0274,descent,1.1905,0.6209,102.3926,48.1641,35.7240,32.9760,0.038700,0.038747,0.000022,vertical,-60
0.0285,descent,1.1905,0.6209,102.3926,48.1641,35.7240,31.6020,0.038728,0.038827,0.000010,vertical,-60
0.0296,descent,1.1905,0.6209,102.3926,48.1641,35.7240,28.8540,0.038785,0.038988,0.000010,vertical,-60
0.0308,descent,1.1905,0.6209,102.3926,48.1641,35.7240,27.4800,0.038813,0.039069,0.000006,vertical,-60
0.0318,descent,1.1905,0.6209,102.3047,48.1641,35.7240,26.1060,0.039035,0.039342,0.000006,vertical,-60
0.0329,descent,1.1905,0.6209,102.3047,48.0762,34.3500,23.3580,0.039328,0.039729,0.000020,vertical,-60
0.0340,descent,1.1905,0.6209,102.3047,48.0762,34.3500,21.9840,0.039357,0.039810,0.000020,vertical,-60
0.0352,descent,1.1905,0.6209,102.3047,48.0762,32.9760,19.2360,0.039458,0.040000,0.000010,vertical,-60
0.0362,descent,1.1905,0.6209,102.3047,48.0762,32.9760,16.4880,0.039515,0.040161,0.000019,vertical,-60
0.0375,descent,1.1905,0.6209,102.3047,47.9883,31.6020,15.1140,0.039781,0.040469,0.000019,vertical,-60
0.0387,descent,1.1905,0.6209,102.3047,47.9883,30.2280,12.3660,0.039883,0.040658,0.000031,vertical,-60
0.0398,descent,1.1905,0.6209,102.3047,47.9883,30.2280,12.3660,0.039883,0.040658,0.000031,vertical,-60
0.0407,descent,1.1905,0.6209,102.2168,47.9883,26.1060,8.2440,0.040297,0.041179,0.000027,vertical,-60
0.0418,descent,1.1905,0.6209,102.2168,47.9004,23.3580,4.1220,0.040665,0.042314,0.000027,vertical,-60
0.0429,descent,1.1905,0.6209,102.1289,47.9004,20.6100,1.3740,0.041006,0.147657,0.000032,vertical,-60
0.0440,descent,1.1905,0.6209,102.1289,47.8125,17.8620,0.0000,0.041319,0.242429,0.000048,vertical,-60
0.0452,descent,1.1905,0.6209,102.1289,47.8125,16.4880,-2.7480,0.041421,0.058144,0.000048,vertical,-60
0.0463,descent,1.1905,0.6209,102.0410,47.7246,10.9920,-5.4960,0.042048,0.043299,0.000031,vertical,-60
0.0473,descent,1.1905,0.6209,102.0410,47.7246,9.6180,-6.8700,0.042121,0.043402,0.000031,vertical,-60
0.0485,descent,1.1905,0.6209,102.0410,47.7246,6.8700,-8.2440,0.042240,0.043540,0.000033,vertical,-60
0.0496,descent,1.1905,0.6209,102.0410,47.7246,5.4960,-9.6180,0.042321,0.043649,0.000033,vertical,-60
0.0507,descent,1.1905,0.6209,101.9531,47.6367,2.7480,-10.9920,0.058347,0.044186,0.000048,vertical,-60
0.0519,descent,1.1905,0.6209,101.9531,47.6367,1.3740,-12.3660,0.148462,0.044295,0.000048,vertical,-60
0.0529,descent,1.1905,0.6209,101.9531,47.6367,-1.3740,-12.3660,0.148553,0.044353,0.000060,vertical,-60
0.0541,descent,1.1905,0.6209,101.9531,47.5488,-2.7480,-13.7400,0.058780,0.044666,0.000062,vertical,-60
0.0552,descent,1.1905,0.6209,101.9531,47.5488,-4.1220,-15.1140,0.043966,0.044776,0.000062,vertical,-60
0.0564,descent,1.1905,0.6209,101.8652,47.5488,-6.8700,-16.4880,0.043644,0.045110,0.000042,vertical,-60
0.0574,descent,1.1905,0.6209,101.7773,47.5488,-9.6180,-16.4880,0.043929,0.045364,0.000042,vertical,-60
0.0585,descent,1.1905,0.6209,101.7773,47.5488,-10.9920,-17.8620,0.044003,0.045474,0.000061,vertical,-60
0.0596,descent,1.1905,0.6209,101.7773,47.5488,-10.9920,-17.8620,0.044003,0.045474,0.000061,vertical,-60
0.0607,descent,1.1905,0.6209,101.7773,47.4609,-12.3660,-17.8620,0.044245,0.045707,0.000063,vertical,-60
0.0618,descent,1.1905,0.6209,101.6895,47.4609,-13.7400,-17.8620,0.044485,0.045933,0.000063,vertical,-60
0.0629,descent,1.1905,0.6209,101.6895,47.4609,-15.1140,-19.2360,0.044559,0.046043,0.000078,vertical,-60
0.0641,descent,1.1905,0.6200,101.6895,47.4609,-15.1140,-19.2360,0.044559,0.046043,0.000062,vertical,-60
0.0652,descent,1.2148,0.6200,101.6895,47.4609,-16.4880,-19.2360,0.044604,0.046072,0.000062,vertical,-60
0.0663,descent,1.2148,0.6200,101.6016,47.3730,-17.8620,-19.2360,0.045043,0.046504,0.000070,vertical,-60
0.0674,descent,1.2148,0.6200,101.6016,47.3730,-17.8620,-19.2360,0.045043,0.046504,0.000070,vertical,-60
0.0685,descent,1.2148,0.6200,101.6016,47.3730,-17.8620,-19.2360,0.045043,0.046504,0.000075,vertical,-60
0.0696,descent,1.2148,0.6200,101.6016,47.3730,-19.2360,-19.2360,0.045088,0.046532,0.000075,vertical,-60
0.0707,descent,1.2148,0.6200,101.5137,47.3730,-19.2360,-19.2360,0.045283,0.046730,0.000078,vertical,-60
0.0718,descent,1.2148,0.6200,101.5137,47.3730,-19.2360,-19.2360,0.045283,0.046730,0.000078,vertical,-60
0.0729,descent,1.2148,0.6200,101.5137,47.3730,-19.2360,-19.2360,0.045283,0.046730,0.000080,vertical,-60
