Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_displacement_m,Press_type,Angle_deg
0.0007,descent,1.5617,-0.6617,97.0312,31.6406,-10.9920,-12.3660,0.046836,0.027681,0.000006,vertical,0
0.0017,descent,1.5617,-0.6617,97.0312,31.6406,-10.9920,-10.9920,0.046831,0.027623,0.000006,vertical,0
0.0028,descent,1.5617,-0.6617,97.0312,31.6406,-10.9920,-10.9920,0.046831,0.027623,-0.000004,vertical,0
0.0039,descent,1.5617,-0.6617,97.0312,31.6406,-10.9920,-10.9920,0.046831,0.027623,0.000009,vertical,0
0.0050,descent,1.5617,-0.6617,97.0312,31.6406,-9.6180,-10.9920,0.046807,0.027618,0.000009,vertical,0
0.0061,descent,1.5617,-0.6617,97.0312,31.6406,-9.6180,-9.6180,0.046801,0.027560,0.000010,vertical,0
0.0072,descent,1.5617,-0.6617,97.0312,31.6406,-9.6180,-9.6180,0.046801,0.027560,0.000010,vertical,0
0.0084,descent,1.5617,-0.6617,97.0312,31.6406,-8.2440,-9.6180,0.046777,0.027555,0.000001,vertical,0
0.0095,descent,1.5617,-0.6617,97.0312,31.6406,-8.2440,-9.6180,0.046777,0.027555,0.000001,vertical,0
0.0106,descent,1.5617,-0.6617,97.0312,31.6406,-8.2440,-8.2440,0.046772,0.027497,-0.000015,vertical,0
0.0117,descent,1.5617,-0.6617,97.0312,31.6406,-8.2440,-8.2440,0.046772,0.027497,-0.000015,vertical,0
0.0128,descent,1.5617,-0.6617,97.0312,31.6406,-6.8700,-8.2440,0.046748,0.027492,0.000014,vertical,0
0.0139,descent,1.5617,-0.6617,97.0312,31.6406,-6.8700,-8.2440,0.046748,0.027492,0.000010,vertical,0
0.0150,descent,1.5617,-0.6617,97.0312,31.6406,-6.8700,-6.8700,0.046742,0.027434,0.000010,vertical,0
0.0166,descent,1.5617,-0.6617,97.0312,31.6406,-6.8700,-6.8700,0.046742,0.027434,0.000028,vertical,0
0.0174,descent,1.5617,-0.6617,97.0312,31.6406,-6.8700,-6.8700,0.046742,0.027434,0.000028,vertical,0
0.0185,descent,1.5617,-0.6617,97.0312,31.6406,-5.4960,-6.8700,0.046725,0.027429,0.000005,vertical,0
0.0196,descent,1.5617,-0.6617,97.0312,31.6406,-5.4960,-5.4960,0.046720,0.027379,0.000005,vertical,0
0.0207,descent,1.5617,-0.6617,97.0312,31.6406,-5.4960,-5.4960,0.046720,0.027379,0.000020,vertical,0
0.0218,descent,1.5617,-0.6617,97.0312,31.6406,-5.4960,-4.1220,0.046714,0.027950,0.000020,vertical,0
0.0229,descent,1.5617,-0.6617,97.0312,31.6406,-4.1220,-4.1220,0.047319,0.027944,0.000029,vertical,0
0.0242,descent,1.5617,-0.6617,97.0312,31.6406,-4.1220,-4.1220,0.047319,0.027944,-0.000001,vertical,0
0.0251,descent,1.5617,-0.6617,97.0312,31.6406,-4.1220,-2.7480,0.047313,0.042775,-0.000001,vertical,0
0.0263,descent,1.5617,-0.6617,97.0312,31.6406,-2.7480,-2.7480,0.062178,0.042770,0.000014,vertical,0
0.0273,descent,1.5617,-0.6617,97.0312,31.6406,-2.7480,-2.7480,0.062178,0.042770,0.000014,vertical,0
0.0285,descent,1.5617,-0.6617,97.0312,31.6406,-2.7480,-2.7480,0.062178,0.042770,0.000008,vertical,0
0.0296,descent,1.5617,-0.6617,97.0312,31.6406,-2.7480,-2.7480,0.062178,0.042770,0.000008,vertical,0
0.0311,descent,1.5617,-0.6617,97.0312,31.6406,-2.7480,-2.7480,0.062178,0.042770,0.000028,vertical,0
0.0318,descent,1.5617,-0.6617,97.0312,31.6406,-1.3740,-2.7480,0.152196,0.042764,0.000028,vertical,0
0.0330,descent,1.5617,-0.6617,97.0312,31.6406,-1.3740,-1.3740,0.152190,0.132749,0.000021,vertical,0
0.0340,descent,1.5617,-0.6617,97.0312,31.6406,-1.3740,-1.3740,0.152190,0.132749,0.000013,vertical,0
0.0350,descent,1.5617,-0.6617,97.0312,31.6406,-1.3740,-1.3740,0.152190,0.132749,0.000013,vertical,0
0.0361,descent,1.5617,-0.6617,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000024,vertical,0
0.0372,descent,1.5617,-0.6617,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000024,vertical,0
0.0384,descent,1.5617,-0.6617,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000025,vertical,0
0.0395,descent,1.5617,-0.6617,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000025,vertical,0
0.0406,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000038,vertical,0
0.0417,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000038,vertical,0
0.0428,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000012,vertical,0
0.0439,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000012,vertical,0
0.0450,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000035,vertical,0
0.0461,descent,1.6032,-0.6478,97.0312,31.6406,0.0000,0.0000,0.246594,0.227119,0.000048,vertical,0
0.0473,descent,1.6032,-0.6478,97.0312,31.7285,0.0000,1.3740,0.246492,0.132474,0.000048,vertical,0
0.0484,descent,1.6032,-0.6478,97.0312,31.7285,0.0000,1.3740,0.246492,0.132474,0.000028,vertical,0
0.0495,descent,1.6032,-0.6478,97.1191,31.7285,1.3740,1.3740,0.151921,0.132372,0.000028,vertical,0
0.0507,descent,1.6032,-0.6478,97.1191,31.7285,1.3740,1.3740,0.151921,0.132372,0.000042,vertical,0
0.0517,descent,1.6032,-0.6478,97.1191,31.8164,1.3740,2.7480,0.151819,0.042119,0.000042,vertical,0
0.0528,descent,1.6032,-0.6478,97.2070,31.9043,2.7480,4.1220,0.061539,0.026919,0.000031,vertical,0
0.0539,descent,1.6032,-0.6478,97.2949,31.9922,4.1220,5.4960,0.046414,0.025980,0.000031,vertical,0
0.0550,descent,1.6032,-0.6478,97.4707,32.1680,5.4960,8.2440,0.045339,0.025359,0.000050,vertical,0
0.0561,descent,1.6032,-0.6478,97.5586,32.2559,8.2440,9.6180,0.045074,0.025047,0.000033,vertical,0
0.0572,descent,1.6032,-0.6478,97.6465,32.3438,9.6180,12.3660,0.044835,0.024683,0.000033,vertical,0
0.0584,descent,1.6032,-0.6478,97.7344,32.4316,10.9920,13.7400,0.044603,0.024378,0.000048,vertical,0
0.0595,descent,1.6032,-0.6478,97.8223,32.6074,13.7400,16.4880,0.044252,0.023863,0.000048,vertical,0
