Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Offset_mm
0.0008,descent,0.4697,15.7324,30.6738,-23.3580,-34.3500,0.008683,0.018834,0.079999,0.000001,0.1000,-5
0.0018,descent,0.4697,15.7324,30.5859,-23.3580,-34.3500,0.008680,0.018944,0.080004,-0.000004,0.1000,-5
0.0031,descent,0.4697,15.6445,30.4980,-23.3580,-35.7240,0.008706,0.019104,0.079994,0.000006,0.1000,-5
0.0040,descent,0.4697,15.6445,30.4980,-23.3580,-35.7240,0.008706,0.019104,0.079994,0.000006,0.1000,-5
0.0053,descent,0.4697,15.6445,30.4102,-23.3580,-35.7240,0.008702,0.019214,0.080004,-0.000004,0.1000,-5
0.0063,descent,0.4697,15.6445,30.4102,-21.9840,-35.7240,0.008688,0.019214,0.080004,-0.000004,0.1000,-5
0.0073,descent,0.4697,15.5566,30.3223,-21.9840,-35.7240,0.008713,0.019320,0.079987,0.000013,0.1000,-5
0.0086,descent,0.4697,15.5566,30.3223,-21.9840,-35.7240,0.008713,0.019320,0.079987,0.000013,0.1000,-5
0.0096,descent,0.4697,15.5566,30.2344,-20.6100,-37.0980,0.008696,0.019484,0.079994,0.000006,0.1000,-5
0.0107,descent,0.4697,15.5566,30.2344,-20.6100,-37.0980,0.008696,0.019484,0.079994,0.000006,0.1000,-5
0.0119,descent,0.4697,15.4687,30.1465,-20.6100,-37.0980,0.008721,0.019590,0.079997,0.000003,0.1000,-5
0.0130,descent,0.4697,15.4687,30.1465,-20.6100,-37.0980,0.008721,0.019590,0.079983,0.000017,0.1000,-5
0.0140,descent,0.4697,15.4687,30.1465,-20.6100,-37.0980,0.008721,0.019590,0.079983,0.000017,0.1000,-5
0.0152,descent,0.4697,15.4687,30.0586,-20.6100,-37.0980,0.008718,0.019700,0.079985,0.000015,0.1000,-5
0.0162,descent,0.4697,15.4687,29.9707,-20.6100,-37.0980,0.008715,0.019809,0.079985,0.000015,0.1000,-5
0.0176,descent,0.4697,15.4687,29.9707,-19.2360,-37.0980,0.008701,0.019809,0.079984,0.000016,0.1000,-5
0.0185,descent,0.4697,15.4687,29.8828,-19.2360,-37.0980,0.008698,0.019919,0.079984,0.000016,0.1000,-5
0.0196,descent,0.4697,15.4687,29.8828,-17.8620,-37.0980,0.008683,0.019919,0.079983,0.000017,0.1000,-5
0.0207,descent,0.4697,15.3809,29.7949,-17.8620,-37.0980,0.008709,0.020025,0.079983,0.000017,0.1000,-5
0.0219,descent,0.4697,15.3809,29.7949,-17.8620,-37.0980,0.008709,0.020025,0.079990,0.000010,0.1000,-5
0.0230,descent,0.4697,15.3809,29.7949,-17.8620,-37.0980,0.008709,0.020025,0.079992,0.000008,0.1000,-5
0.0240,descent,0.4697,15.3809,29.7070,-17.8620,-37.0980,0.008706,0.020135,0.079992,0.000008,0.1000,-5
0.0253,descent,0.4697,15.3809,29.7070,-16.4880,-37.0980,0.008691,0.020135,0.079986,0.000014,0.1000,-5
0.0263,descent,0.4697,15.2930,29.6191,-16.4880,-38.4720,0.008717,0.020296,0.079986,0.000014,0.1000,-5
0.0273,descent,0.4697,15.2930,29.6191,-16.4880,-37.0980,0.008717,0.020241,0.079988,0.000012,0.1000,-5
0.0285,descent,0.4697,15.2930,29.5312,-16.4880,-37.0980,0.008714,0.020351,0.079988,0.000012,0.1000,-5
0.0296,descent,0.4697,15.2930,29.5312,-15.1140,-37.0980,0.008699,0.020351,0.079982,0.000018,0.1000,-5
0.0307,descent,0.4697,15.2930,29.4434,-15.1140,-37.0980,0.008696,0.020461,0.079982,0.000018,0.1000,-5
0.0319,descent,0.4697,15.2051,29.4434,-15.1140,-37.0980,0.008725,0.020458,0.079980,0.000020,0.1000,-5
0.0330,descent,0.4697,15.2051,29.4434,-15.1140,-37.0980,0.008725,0.020458,0.079984,0.000016,0.1000,-5
