Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Offset_mm
0.0008,descent,0.9295,49.3945,43.5937,-50.8380,-8.2440,0.030097,0.037709,0.089996,0.000004,0.6000,+5
0.0018,descent,0.9295,49.3945,43.5937,-50.8380,-8.2440,0.030097,0.037709,0.089996,0.000004,0.6000,+5
0.0029,descent,0.9295,49.3066,43.5937,-50.8380,-6.8700,0.030276,0.037650,0.090003,-0.000003,0.6000,+5
0.0040,descent,0.9295,49.2188,43.5937,-50.8380,-6.8700,0.030456,0.037645,0.089989,0.000011,0.6000,+5
0.0051,descent,0.9295,49.2188,43.5937,-50.8380,-5.4960,0.030456,0.037598,0.089989,0.000011,0.6000,+5
0.0062,descent,0.9295,49.1309,43.5937,-50.8380,-5.4960,0.030635,0.037593,0.089998,0.000002,0.6000,+5
0.0073,descent,0.9295,49.0430,43.5937,-52.2120,-4.1220,0.030828,0.038163,0.089998,0.000002,0.6000,+5
0.0084,descent,0.9295,48.9551,43.5937,-52.2120,-4.1220,0.031007,0.038158,0.090000,0.000000,0.6000,+5
0.0096,descent,0.9295,48.8672,43.5937,-52.2120,-4.1220,0.031186,0.038154,0.090000,0.000000,0.6000,+5
0.0107,descent,0.9295,48.8672,43.5937,-52.2120,-4.1220,0.031186,0.038154,0.089996,0.000004,0.6000,+5
0.0118,descent,0.9295,48.7793,43.5937,-52.2120,-2.7480,0.031365,0.052983,0.089996,0.000004,0.6000,+5
0.0129,descent,0.9295,48.7793,43.5937,-52.2120,-2.7480,0.031365,0.052983,0.089989,0.000011,0.6000,+5
0.0140,descent,0.9295,48.6914,43.5937,-53.5860,-1.3740,0.031558,0.142966,0.089993,0.000007,0.6000,+5
0.0151,descent,0.9295,48.6914,43.5937,-52.2120,-1.3740,0.031544,0.142966,0.089993,0.000007,0.6000,+5
