Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad,Run
0.0008,descent,1.2286,52.3828,44.5605,72.8220,-32.9760,0.022777,0.031295,0.084984,0.000016,0.6000,3
0.0018,descent,1.2286,52.3828,44.4727,72.8220,-32.9760,0.022773,0.031981,0.084984,0.000016,0.6000,3
0.0029,descent,1.2286,52.3828,44.4727,72.8220,-32.9760,0.022773,0.031981,0.085007,-0.000007,0.6000,3
0.0040,descent,1.2286,52.4707,44.3848,74.1960,-34.3500,0.022575,0.032727,0.085007,-0.000007,0.6000,3
0.0052,descent,1.2286,52.4707,44.3848,72.8220,-34.3500,0.022589,0.032727,0.085001,-0.000001,0.6000,3
0.0063,descent,1.2286,52.5586,44.2969,72.8220,-34.3500,0.022405,0.033419,0.085001,-0.000001,0.6000,3
0.0074,descent,1.2286,52.5586,44.2969,72.8220,-34.3500,0.022405,0.033419,0.084990,0.000010,0.6000,3
0.0085,descent,1.2286,52.5586,44.2090,71.4480,-35.7240,0.022415,0.034160,0.085001,-0.000001,0.6000,3
0.0096,descent,1.2286,52.5586,44.2090,70.0740,-35.7240,0.022429,0.034160,0.085001,-0.000001,0.6000,3
0.0107,descent,1.2286,52.5586,44.2090,68.7000,-35.7240,0.022443,0.034160,0.084993,0.000007,0.6000,3
0.0120,descent,1.2286,52.5586,44.2090,65.9520,-35.7240,0.022472,0.034160,0.084993,0.000007,0.6000,3
0.0129,descent,1.2286,52.5586,44.1211,64.5780,-34.3500,0.022482,0.034792,0.085009,-0.000009,0.6000,3
0.0140,descent,1.2286,52.5586,44.0332,59.0820,-34.3500,0.022534,0.035479,0.085009,-0.000009,0.6000,3
0.0152,descent,1.2286,52.5586,44.0332,57.7080,-34.3500,0.022548,0.035479,0.084984,0.000016,0.6000,3
0.0163,descent,1.2286,52.5586,44.0332,54.9600,-34.3500,0.022577,0.035479,0.084997,0.000003,0.6000,3
0.0174,descent,1.2286,52.5586,43.9453,52.2120,-34.3500,0.022601,0.036165,0.084997,0.000003,0.6000,3
0.0185,descent,1.2286,52.5586,43.9453,49.4640,-34.3500,0.022630,0.036165,0.084984,0.000016,0.6000,3
0.0196,descent,1.2286,52.5586,43.9453,46.7160,-32.9760,0.022658,0.036111,0.084984,0.000016,0.6000,3
0.0207,descent,1.2286,52.5586,43.9453,43.9680,-32.9760,0.022687,0.036111,0.084995,0.000005,0.6000,3
0.0218,descent,1.2286,52.5586,43.8574,41.2200,-32.9760,0.022711,0.036798,0.084995,0.000005,0.6000,3
0.0229,descent,1.2286,52.5586,43.8574,39.8460,-32.9760,0.022725,0.036798,0.085000,-0.000000,0.6000,3
0.0240,descent,1.2351,52.4707,43.7695,34.3500,-32.9760,0.022956,0.037480,0.085000,-0.000000,0.6000,3
0.0252,descent,1.2351,52.4707,43.7695,31.6020,-32.9760,0.022985,0.037480,0.084995,0.000005,0.6000,3
0.0263,descent,1.2351,52.4707,43.6816,28.8540,-32.9760,0.023009,0.038166,0.084981,0.000019,0.6000,3
0.0274,descent,1.2351,52.4707,43.6816,26.1060,-32.9760,0.023037,0.038166,0.084981,0.000019,0.6000,3
0.0287,descent,1.2351,52.4707,43.6816,24.7320,-31.6020,0.023052,0.038112,0.084981,0.000019,0.6000,3
0.0297,descent,1.2351,52.4707,43.5937,21.9840,-31.6020,0.023076,0.038799,0.084984,0.000016,0.6000,3
0.0308,descent,1.2351,52.4707,43.5937,21.9840,-31.6020,0.023076,0.038799,0.084972,0.000028,0.6000,3
0.0319,descent,1.2351,52.3828,43.5937,16.4880,-31.6020,0.023312,0.038794,0.084972,0.000028,0.6000,3
0.0329,descent,1.2351,52.3828,43.5059,15.1140,-31.6020,0.023321,0.039481,0.084976,0.000024,0.6000,3
0.0340,descent,1.2351,52.2949,43.5059,10.9920,-31.6020,0.023543,0.039476,0.084976,0.000024,0.6000,3
0.0352,descent,1.2351,52.2949,43.4180,8.2440,-31.6020,0.023567,0.040163,0.084974,0.000026,0.6000,3
0.0363,descent,1.2351,52.2949,43.4180,6.8700,-31.6020,0.023581,0.040163,0.084979,0.000021,0.6000,3
0.0374,descent,1.2351,52.2949,43.4180,4.1220,-30.2280,0.024246,0.040108,0.084979,0.000021,0.6000,3
0.0385,descent,1.2351,52.2070,43.3301,2.7480,-31.6020,0.039323,0.040845,0.084982,0.000018,0.6000,3
0.0397,descent,1.2351,52.2070,43.3301,0.0000,-30.2280,0.223827,0.040790,0.084982,0.000018,0.6000,3
0.0407,descent,1.2351,52.2070,43.3301,-1.3740,-30.2280,0.129408,0.040790,0.084985,0.000015,0.6000,3
0.0418,descent,1.2351,52.1191,43.3301,-2.7480,-30.2280,0.039559,0.040786,0.084985,0.000015,0.6000,3
0.0429,descent,1.2351,52.1191,43.3301,-4.1220,-28.8540,0.024685,0.040731,0.084964,0.000036,0.6000,3
