Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm,Run
0.0006,descent,1.8445,-0.9499,135.3516,21.0937,87.9360,24.7320,0.054780,0.027852,0.084985,0.000015,280.00,3
0.0019,descent,1.8445,-0.9499,135.3516,21.0937,87.9360,24.7320,0.054780,0.027852,0.084985,0.000015,280.00,3
0.0030,descent,1.8445,-0.9499,135.3516,21.0937,87.9360,24.7320,0.054780,0.027852,0.084985,0.000015,280.00,3
0.0041,descent,1.8445,-0.9499,135.3516,21.0937,87.9360,24.7320,0.054780,0.027852,0.084993,0.000007,280.00,3
0.0051,descent,1.8445,-0.9499,135.2637,21.1816,76.9440,27.4800,0.055008,0.027674,0.084993,0.000007,280.00,3
0.0062,descent,1.8445,-0.9499,135.2637,21.3574,64.5780,30.2280,0.054935,0.027083,0.084997,0.000003,280.00,3
0.0073,descent,1.8445,-0.9499,135.2637,21.3574,60.4560,31.6020,0.055009,0.027044,0.084999,0.000001,280.00,3
0.0084,descent,1.8445,-0.9499,135.1758,21.4453,52.2120,32.9760,0.055190,0.026909,0.084999,0.000001,280.00,3
0.0096,descent,1.8445,-0.9499,135.1758,21.5332,48.0900,32.9760,0.055120,0.026661,0.085005,-0.000005,280.00,3
0.0106,descent,1.8445,-0.9499,135.1758,21.5332,43.9680,34.3500,0.055193,0.026622,0.085005,-0.000005,280.00,3
0.0117,descent,1.8445,-0.9499,135.1758,21.5332,39.8460,35.7240,0.055267,0.026583,0.084991,0.000009,280.00,3
0.0129,descent,1.8445,-0.9499,135.1758,21.6211,37.0980,35.7240,0.055170,0.026329,0.084991,0.000009,280.00,3
0.0139,descent,1.8445,-0.9499,135.1758,21.6211,32.9760,35.7240,0.055250,0.026347,0.084993,0.000007,280.00,3
0.0151,descent,1.8445,-0.9499,135.0879,21.6211,30.2280,37.0980,0.055475,0.026453,0.084993,0.000007,280.00,3
0.0165,descent,1.8445,-0.9499,135.0879,21.6211,26.1060,37.0980,0.055555,0.026471,0.084981,0.000019,280.00,3
