Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,Stiffness_Nmrad
0.0007,descent,0.3229,25.8398,32.5195,-1.3740,65.9520,0.110864,0.012960,0.084995,0.000005,0.1000
0.0017,descent,0.3229,25.8398,32.5195,-2.7480,64.5780,0.020836,0.013014,0.084991,0.000009,0.1000
0.0028,descent,0.3229,25.7520,32.6074,-4.1220,63.2040,0.005993,0.012956,0.084991,0.000009,0.1000
0.0039,descent,0.3229,25.7520,32.6074,-4.1220,61.8300,0.005993,0.013011,0.084977,0.000023,0.1000
0.0050,descent,0.3229,25.7520,32.6074,-5.4960,60.4560,0.005379,0.013065,0.084977,0.000023,0.1000
0.0061,descent,0.3229,25.7520,32.6074,-5.4960,57.7080,0.005379,0.013174,0.084990,0.000010,0.1000
0.0073,descent,0.3229,25.7520,32.6953,-6.8700,56.3340,0.005389,0.013120,0.084990,0.000010,0.1000
0.0084,descent,0.3229,25.6641,32.6953,-6.8700,54.9600,0.005417,0.013171,0.085001,-0.000001,0.1000
0.0095,descent,0.3229,25.6641,32.6953,-8.2440,50.8380,0.005432,0.013334,0.085001,-0.000001,0.1000
0.0106,descent,0.3229,25.6641,32.6953,-8.2440,49.4640,0.005432,0.013388,0.085003,-0.000003,0.1000
0.0118,descent,0.3229,25.6641,32.6953,-8.2440,48.0900,0.005432,0.013443,0.084988,0.000012,0.1000
0.0131,descent,0.3229,25.6641,32.6953,-9.6180,45.3420,0.005446,0.013552,0.084988,0.000012,0.1000
0.0139,descent,0.3229,25.6641,32.6953,-9.6180,43.9680,0.005446,0.013606,0.084983,0.000017,0.1000
0.0150,descent,0.3229,25.6641,32.6953,-9.6180,42.5940,0.005446,0.013660,0.084983,0.000017,0.1000
0.0161,descent,0.3229,25.6641,32.6953,-9.6180,39.8460,0.005446,0.013769,0.084983,0.000017,0.1000
0.0173,descent,0.3229,25.6641,32.6953,-9.6180,38.4720,0.005446,0.013824,0.084983,0.000017,0.1000
0.0184,descent,0.3229,25.6641,32.6953,-9.6180,34.3500,0.005446,0.013987,0.084979,0.000021,0.1000
0.0195,descent,0.3229,25.6641,32.6953,-9.6180,32.9760,0.005446,0.014041,0.084979,0.000021,0.1000
0.0206,descent,0.3229,25.6641,32.6953,-9.6180,30.2280,0.005446,0.014150,0.084985,0.000015,0.1000
0.0217,descent,0.3229,25.6641,32.6953,-9.6180,28.8540,0.005446,0.014205,0.084997,0.000003,0.1000
0.0228,descent,0.3229,25.6641,32.6953,-9.6180,27.4800,0.005446,0.014259,0.084997,0.000003,0.1000
0.0239,descent,0.3229,25.6641,32.6953,-8.2440,26.1060,0.005432,0.014313,0.084990,0.000010,0.1000
0.0250,descent,0.3229,25.6641,32.6953,-8.2440,24.7320,0.005432,0.014368,0.084990,0.000010,0.1000
0.0262,descent,0.3229,25.6641,32.6953,-8.2440,23.3580,0.005432,0.014422,0.084985,0.000015,0.1000
0.0274,descent,0.3229,25.6641,32.6074,-8.2440,20.6100,0.005428,0.014640,0.084985,0.000015,0.1000
0.0284,descent,0.3229,25.6641,32.6074,-6.8700,17.8620,0.005414,0.014749,0.085000,0.000000,0.1000
0.0295,descent,0.3229,25.6641,32.6074,-6.8700,17.8620,0.005414,0.014749,0.085000,0.000000,0.1000
0.0306,descent,0.3229,25.6641,32.6074,-6.8700,16.4880,0.005414,0.014803,0.084978,0.000022,0.1000
0.0317,descent,0.3229,25.6641,32.6074,-6.8700,12.3660,0.005414,0.014966,0.084991,0.000009,0.1000
0.0328,descent,0.3229,25.6641,32.6074,-5.4960,10.9920,0.005407,0.015021,0.084991,0.000009,0.1000
0.0339,descent,0.3229,25.6641,32.6074,-5.4960,10.9920,0.005407,0.015021,0.084963,0.000037,0.1000
0.0350,descent,0.3229,25.6641,32.6074,-5.4960,9.6180,0.005407,0.015075,0.084963,0.000037,0.1000
0.0361,descent,0.3229,25.6641,32.5195,-5.4960,6.8700,0.005403,0.015293,0.084993,0.000007,0.1000
0.0372,descent,0.3229,25.6641,32.5195,-4.1220,5.4960,0.006017,0.015354,0.084993,0.000007,0.1000
0.0383,descent,0.3229,25.6641,32.5195,-4.1220,2.7480,0.006017,0.030980,0.084979,0.000021,0.1000
0.0394,descent,0.3229,25.5762,32.5195,-4.1220,2.7480,0.006045,0.030977,0.084979,0.000021,0.1000
