Time_s,Phase,Force_normal_N,Force_shear_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStiffness_Npm
0.0008,descent,1.5915,-0.6269,98.7891,30.7617,-8.2440,-20.6100,0.045533,0.027619,0.084983,0.000017,100.00
0.0019,descent,1.5915,-0.6269,98.7891,30.7617,-8.2440,-20.6100,0.045533,0.027619,0.085003,-0.000003,100.00
0.0029,descent,1.5915,-0.6269,98.7891,30.7617,-8.2440,-20.6100,0.045533,0.027619,0.085003,-0.000003,100.00
0.0040,descent,1.5915,-0.6269,98.7891,30.6738,-8.2440,-19.2360,0.045624,0.027714,0.084992,0.000008,100.00
0.0051,descent,1.5915,-0.6269,98.7891,30.6738,-6.8700,-19.2360,0.045600,0.027708,0.084999,0.000001,100.00
0.0062,descent,1.5915,-0.6269,98.7012,30.6738,-6.8700,-19.2360,0.045712,0.027805,0.084999,0.000001,100.00
0.0074,descent,1.5915,-0.6269,98.7012,30.6738,-6.8700,-19.2360,0.045712,0.027805,0.084999,0.000001,100.00
0.0085,descent,1.5915,-0.6269,98.7012,30.5859,-6.8700,-19.2360,0.045809,0.027958,0.084999,0.000001,100.00
0.0096,descent,1.5915,-0.6269,98.7012,30.5859,-6.8700,-19.2360,0.045809,0.027958,0.084980,0.000020,100.00
0.0107,descent,1.5915,-0.6269,98.7012,30.5859,-6.8700,-19.2360,0.045809,0.027958,0.084980,0.000020,100.00
0.0118,descent,1.5915,-0.6269,98.7012,30.5859,-6.8700,-17.8620,0.045804,0.027900,0.084995,0.000005,100.00
0.0129,descent,1.5915,-0.6269,98.7012,30.5859,-6.8700,-17.8620,0.045804,0.027900,0.084995,0.000005,100.00
0.0140,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-17.8620,0.045901,0.028053,0.085005,-0.000005,100.00
0.0152,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-17.8620,0.045901,0.028053,0.084999,0.000001,100.00
0.0162,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-17.8620,0.045901,0.028053,0.084999,0.000001,100.00
0.0174,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-17.8620,0.045901,0.028053,0.084992,0.000008,100.00
0.0185,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-17.8620,0.045901,0.028053,0.084992,0.000008,100.00
0.0196,descent,1.5915,-0.6269,98.7012,30.4980,-6.8700,-16.4880,0.045895,0.027996,0.084982,0.000018,100.00
0.0207,descent,1.5915,-0.6269,98.7012,30.4980,-5.4960,-16.4880,0.045878,0.027990,0.084982,0.000018,100.00
0.0218,descent,1.5915,-0.6269,98.7012,30.4102,-5.4960,-16.4880,0.045975,0.028144,0.084996,0.000004,100.00
0.0229,descent,1.5915,-0.6269,98.7012,30.4102,-5.4960,-16.4880,0.045975,0.028144,0.084996,0.000004,100.00
0.0240,descent,1.5915,-0.6269,98.7012,30.4102,-5.4960,-16.4880,0.045975,0.028144,0.084996,0.000004,100.00
0.0251,descent,1.5915,-0.6269,98.7012,30.4102,-5.4960,-16.4880,0.045975,0.028144,0.084987,0.000013,100.00
0.0262,descent,1.5915,-0.6269,98.7012,30.4102,-4.1220,-15.1140,0.046575,0.028080,0.084987,0.000013,100.00
0.0274,descent,1.5915,-0.6269,98.7012,30.4102,-4.1220,-15.1140,0.046575,0.028080,0.084965,0.000035,100.00
0.0285,descent,1.5915,-0.6269,98.7012,30.4102,-4.1220,-15.1140,0.046575,0.028080,0.084965,0.000035,100.00
0.0296,descent,1.5915,-0.6269,98.7012,30.4102,-4.1220,-15.1140,0.046575,0.028080,0.084977,0.000023,100.00
0.0307,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-13.7400,0.061433,0.028017,0.084977,0.000023,100.00
0.0318,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-12.3660,0.061428,0.027959,0.084976,0.000024,100.00
0.0335,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-12.3660,0.061428,0.027959,0.084979,0.000021,100.00
0.0340,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-12.3660,0.061428,0.027959,0.084979,0.000021,100.00
0.0351,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-12.3660,0.061428,0.027959,0.084974,0.000026,100.00
0.0363,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-10.9920,0.061422,0.027902,0.084974,0.000026,100.00
0.0374,descent,1.5915,-0.6269,98.7012,30.4102,-2.7480,-10.9920,0.061422,0.027902,0.084982,0.000018,100.00
0.0385,descent,1.5915,-0.6269,98.7012,30.3223,-1.3740,-10.9920,0.151537,0.028049,0.084982,0.000018,100.00
