time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
0.0333,1,0,0.821694,-0.031270,0.783471,0.630075,-0.010636,-0.000000,0.010636,0.015953,0.831000,1.022419,1.022419,0.771310,1.095701,1.095701,0.952246,1.075898,1.075898,0.954112,1.051737,1.051737,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.0667,1,0,0.841068,-0.003474,0.789810,0.638051,-0.010584,-0.000000,0.010584,0.015877,0.843125,1.029456,1.029456,0.776906,1.095020,1.095020,0.955044,1.078712,1.078712,0.954112,1.073945,1.073945,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1008,1,0,0.858733,0.015635,0.822772,0.632734,-0.010584,-0.000000,0.010584,0.015877,0.853384,1.051269,1.051269,0.776906,1.093659,1.093659,0.954112,1.080823,1.080823,0.954112,1.088222,1.088222,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1333,1,0,0.874118,0.027796,0.843056,0.620770,-0.010687,-0.000000,0.010687,0.016030,0.858980,1.065343,1.065343,0.776906,1.092978,1.092978,0.952246,1.087156,1.087156,0.956909,1.089808,1.089808,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.1667,1,0,0.887224,0.032139,0.840520,0.616783,-0.011607,-0.000000,0.011607,0.017411,0.859913,1.067454,1.067454,0.776906,1.097062,1.097062,0.953179,1.087156,1.087156,0.963438,1.086636,1.086636,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2000,1,0,0.897481,0.032139,0.834181,0.615453,-0.011709,-0.000000,0.011709,0.017564,0.859913,1.066046,1.066046,0.776906,1.098423,1.098423,0.967169,1.085045,1.085045,0.964371,1.081877,1.081877,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2333,1,0,0.902610,0.031270,0.829110,0.615453,-0.011351,-0.000000,0.011351,0.017027,0.859913,1.063232,1.063232,0.778771,1.097062,1.097062,0.979293,1.087860,1.087860,0.964371,1.081877,1.081877,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.2667,1,0,0.903180,0.031270,0.827843,0.615453,-0.011045,-0.000000,0.011045,0.016567,0.859913,1.064639,1.064639,0.785300,1.097742,1.097742,0.982091,1.092082,1.092082,0.964371,1.081877,1.081877,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.3000,1,0,0.903180,0.026059,0.826575,0.615453,-0.010942,-0.000000,0.010942,0.016414,0.864576,1.065343,1.065343,0.786233,1.100464,1.100464,0.981159,1.092785,1.092785,0.964371,1.081877,1.081877,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.3333,1,0,0.903180,-0.002606,0.824039,0.627417,-0.010891,-0.000000,0.010891,0.016337,0.871105,1.079416,1.079416,0.786233,1.101145,1.101145,0.979293,1.091378,1.091378,0.963438,1.082670,1.082670,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
