Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0012,0.4000,1.039507,1.145964,1.150659,0.103843,43.8574,43.1543,0.499895,0.499986,0.499986
0.0022,0.4000,1.039229,1.145964,1.150659,0.103843,43.8574,43.1543,0.499790,0.499972,0.499972
0.0033,0.4000,1.037201,1.145964,1.150659,0.103843,43.8574,43.2422,0.499685,0.499958,0.499958
0.0045,0.4000,1.036925,1.145964,1.150659,0.103843,43.8574,43.2422,0.499580,0.499945,0.499945
0.0056,0.4000,1.036649,1.145964,1.150659,0.103843,43.8574,43.2422,0.499475,0.499931,0.499931
0.0067,0.4000,1.036373,1.145964,1.150659,0.103843,43.8574,43.2422,0.499371,0.499917,0.499917
0.0078,0.4000,1.036097,1.145964,1.150659,0.103843,43.8574,43.2422,0.499266,0.499904,0.499904
0.0089,0.4000,1.035821,1.145964,1.150659,0.103843,43.8574,43.2422,0.499161,0.499890,0.499890
0.0100,0.4000,1.035545,1.145964,1.150659,0.103843,43.8574,43.2422,0.499056,0.499877,0.499877
0.0112,0.4000,1.033043,1.145964,1.150659,0.103843,43.9453,43.2422,0.498953,0.499863,0.499863
0.0122,0.4000,1.032770,1.145964,1.150659,0.103843,43.9453,43.2422,0.498849,0.499849,0.499849
0.0133,0.4000,1.030267,1.145964,1.150659,0.103843,44.0332,43.2422,0.498745,0.499836,0.499836
0.0145,0.4000,1.029996,1.145964,1.150659,0.103843,44.0332,43.2422,0.498642,0.499822,0.499822
0.0156,0.4000,1.027493,1.145964,1.150659,0.103843,44.1211,43.2422,0.498540,0.499809,0.499809
0.0167,0.4000,1.024989,1.145964,1.150659,0.103843,44.2090,43.2422,0.498438,0.499795,0.499795
0.0178,0.4000,1.026486,1.145964,1.150659,0.103843,44.2090,43.1543,0.498336,0.499782,0.499782
0.0189,0.4000,1.022217,1.145964,1.150659,0.103843,44.2969,43.2422,0.498235,0.499768,0.499768
0.0200,0.4000,1.019710,1.145964,1.150659,0.103843,44.3848,43.2422,0.498135,0.499755,0.499755
0.0212,0.4000,1.014951,1.145964,1.150659,0.103843,44.5605,43.2422,0.498036,0.499742,0.499742
0.0222,0.4000,1.012440,1.145964,1.150659,0.103843,44.6484,43.2422,0.497938,0.499729,0.499729
0.0233,0.4000,1.009927,1.145964,1.150659,0.103843,44.7363,43.2422,0.497840,0.499716,0.499716
0.0245,0.4000,1.007412,1.145964,1.150659,0.103843,44.8242,43.2422,0.497743,0.499702,0.499702
0.0256,0.4000,1.004896,1.145964,1.150659,0.103843,44.9121,43.2422,0.497647,0.499689,0.499689
