Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.0009,0.4000,0.928944,0.835303,0.868978,0.239566,47.8125,43.4180,29.992812,29.997226,29.997226
0.0020,0.4000,0.930618,0.835303,0.868978,0.239566,47.7246,43.4180,29.985609,29.994445,29.994445
0.0024,0.4000,0.938158,0.835303,0.868978,0.239566,47.6367,43.1543,29.978356,29.991625,29.991625
0.0035,0.4000,0.941764,0.835303,0.868978,0.239566,47.5488,43.0664,29.971077,29.988787,29.988787
0.0046,0.4000,0.940987,0.835303,0.868978,0.239566,47.5488,43.0664,29.963808,29.985953,29.985953
0.0057,0.4000,0.944585,0.835303,0.868978,0.239566,47.4609,42.9785,29.956513,29.983102,29.983102
0.0068,0.4000,0.945774,0.835303,0.868978,0.239566,47.4609,42.8906,29.949217,29.980245,29.980245
0.0079,0.4000,0.949362,0.835303,0.868978,0.239566,47.3730,42.8027,29.941895,29.977369,29.977369
0.0091,0.4000,0.948584,0.835303,0.868978,0.239566,47.3730,42.8027,29.934584,29.974498,29.974498
0.0102,0.4000,0.952164,0.835303,0.868978,0.239566,47.2852,42.7148,29.927248,29.971610,29.971610
0.0113,0.4000,0.951386,0.835303,0.868978,0.239566,47.2852,42.7148,29.919922,29.968725,29.968725
0.0124,0.4000,0.950609,0.835303,0.868978,0.239566,47.2852,42.7148,29.912606,29.965845,29.965845
0.0135,0.4000,0.954184,0.835303,0.868978,0.239566,47.1973,42.6270,29.905265,29.962947,29.962947
0.0146,0.4000,0.955380,0.835303,0.868978,0.239566,47.1973,42.5391,29.897923,29.960043,29.960043
0.0157,0.4000,0.956972,0.835303,0.868978,0.239566,47.1094,42.5391,29.890567,29.957131,29.957131
0.0169,0.4000,0.960527,0.835303,0.868978,0.239566,47.0215,42.4512,29.883187,29.954203,29.954203
0.0179,0.4000,0.961721,0.835303,0.868978,0.239566,47.0215,42.3633,29.875805,29.951268,29.951268
0.0190,0.4000,0.967241,0.834621,0.868379,0.239771,46.9336,42.1875,29.868389,29.948306,29.948306
0.0202,0.4000,0.966462,0.834621,0.868379,0.239771,46.9336,42.1875,29.860983,29.945348,29.945348
0.0213,0.4000,0.968021,0.834621,0.868379,0.239771,46.8457,42.1875,29.853563,29.942384,29.942384
0.0224,0.4000,0.969219,0.834621,0.868379,0.239771,46.8457,42.0996,29.846143,29.939413,29.939413
0.0235,0.4000,0.970770,0.834621,0.868379,0.239771,46.7578,42.0996,29.838710,29.936435,29.936435
0.0246,0.4000,0.971968,0.834621,0.868379,0.239771,46.7578,42.0117,29.831276,29.933451,29.933451
0.0257,0.4000,0.971190,0.834621,0.868379,0.239771,46.7578,42.0117,29.823852,29.930471,29.930471
0.0269,0.4000,0.974711,0.834621,0.868379,0.239771,46.6699,41.9238,29.816405,29.927475,29.927475
0.0280,0.4000,0.973933,0.834621,0.868379,0.239771,46.6699,41.9238,29.808968,29.924482,29.924482
0.0291,0.4000,0.975469,0.834621,0.868379,0.239771,46.5820,41.9238,29.801518,29.921483,29.921483
0.0302,0.4000,0.976670,0.834621,0.868379,0.239771,46.5820,41.8359,29.794067,29.918477,29.918477
0.0313,0.4000,0.978197,0.834621,0.868379,0.239771,46.4941,41.8359,29.786604,29.915465,29.915465
0.0324,0.4000,0.979720,0.834621,0.868379,0.239771,46.4063,41.8359,29.779129,29.912445,29.912445
0.0335,0.4000,0.980917,0.834621,0.868379,0.239771,46.4063,41.7480,29.771653,29.909420,29.909420
0.0346,0.4000,0.982432,0.834621,0.868379,0.239771,46.3184,41.7480,29.764165,29.906388,29.906388
0.0357,0.4000,0.983629,0.834621,0.868379,0.239771,46.3184,41.6602,29.756676,29.903351,29.903351
0.0369,0.4000,0.987416,0.834621,0.868379,0.239771,46.1426,41.6602,29.749153,29.900295,29.900295
0.0380,0.4000,0.988607,0.834621,0.868379,0.239771,46.1426,41.5723,29.741629,29.897234,29.897234
0.0390,0.4000,0.987827,0.834621,0.868379,0.239771,46.1426,41.5723,29.734116,29.894177,29.894177
0.0402,0.4000,0.991590,0.834621,0.868379,0.239771,45.9668,41.5723,29.726569,29.891103,29.891103
0.0413,0.4000,0.993074,0.834621,0.868379,0.239771,45.8789,41.5723,29.719010,29.888022,29.888022
0.0424,0.4000,0.994257,0.834621,0.868379,0.239771,45.8789,41.4844,29.711451,29.884935,29.884935
0.0435,0.4000,0.995733,0.834621,0.868379,0.239771,45.7910,41.4844,29.703881,29.881842,29.881842
0.0446,0.4000,0.994951,0.834621,0.868379,0.239771,45.7910,41.4844,29.696320,29.878752,29.878752
0.0457,0.4000,0.996425,0.834621,0.868379,0.239771,45.7031,41.4844,29.688748,29.875657,29.875657
0.0468,0.4000,0.997894,0.834621,0.868379,0.239771,45.6152,41.4844,29.681165,29.872554,29.872554
0.0480,0.4000,0.999359,0.834621,0.868379,0.239771,45.5273,41.4844,29.673570,29.869445,29.869445
0.0490,0.4000,0.998576,0.834621,0.868379,0.239771,45.5273,41.4844,29.665985,29.866340,29.866340
0.0502,0.4000,1.000038,0.834621,0.868379,0.239771,45.4395,41.4844,29.658389,29.863229,29.863229
0.0513,0.4000,0.999256,0.834621,0.868379,0.239771,45.4395,41.4844,29.650802,29.860121,29.860121
0.0524,0.4000,1.000428,0.834621,0.868379,0.239771,45.4395,41.3965,29.643216,29.857008,29.857008
0.0535,0.4000,0.999934,0.834621,0.868379,0.239771,45.3516,41.4844,29.635628,29.853899,29.853899
0.0546,0.4000,1.001391,0.834621,0.868379,0.239771,45.2637,41.4844,29.628029,29.850782,29.850782
0.0557,0.4000,1.002558,0.834621,0.868379,0.239771,45.2637,41.3965,29.620431,29.847660,29.847660
0.0569,0.4000,1.006234,0.834621,0.868379,0.239771,45.0879,41.3965,29.612800,29.844522,29.844522
