Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0007,descent,0.2829,43.5938,12.0410,-10.9920,42.5940,0.008596,0.010163,0.084996,0.000004,10.000000,0,polynomial
0.0015,descent,0.2829,43.5059,11.9531,-10.9920,37.0980,0.009061,0.010606,0.084996,0.000004,10.000000,0,polynomial
0.0027,descent,0.2829,43.5059,11.9531,-10.9920,34.3500,0.009264,0.010791,0.084988,0.000012,10.000000,0,polynomial
0.0038,descent,0.2829,43.5059,11.9531,-10.9920,31.6020,0.009467,0.010977,0.084988,0.000012,10.000000,0,polynomial
0.0049,descent,0.2829,43.5059,11.9531,-10.9920,30.2280,0.009569,0.011069,0.084992,0.000008,10.000000,0,polynomial
0.0062,descent,0.2829,43.5059,11.9531,-10.9920,27.4800,0.009771,0.011255,0.084992,0.000008,10.000000,0,polynomial
0.0071,descent,0.2829,43.5059,11.9531,-10.9920,26.1060,0.009873,0.011347,0.084984,0.000016,10.000000,0,polynomial
0.0083,descent,0.2829,43.5059,11.9531,-10.9920,23.3580,0.010076,0.011533,0.084984,0.000016,10.000000,0,polynomial
0.0095,descent,0.2829,43.5059,11.8652,-9.6180,19.2360,0.010277,0.011751,0.084988,0.000012,10.000000,0,polynomial
0.0105,descent,0.2829,43.5059,11.8652,-9.6180,16.4880,0.010480,0.011936,0.084988,0.000012,10.000000,0,polynomial
0.0116,descent,0.2829,43.5059,11.8652,-9.6180,15.1140,0.010581,0.012029,0.084978,0.000022,10.000000,0,polynomial
0.0127,descent,0.2829,43.4180,11.8652,-9.6180,13.7400,0.010712,0.012152,0.084990,0.000010,10.000000,0,polynomial
0.0138,descent,0.2829,43.4180,11.8652,-9.6180,12.3660,0.010813,0.012245,0.084990,0.000010,10.000000,0,polynomial
0.0149,descent,0.2829,43.5059,11.7773,-9.6180,9.6180,0.011018,0.012441,0.084979,0.000021,10.000000,0,polynomial
0.0160,descent,0.2829,43.4180,11.7773,-9.6180,8.2440,0.011148,0.012564,0.084979,0.000021,10.000000,0,polynomial
0.0171,descent,0.2829,43.4180,11.7773,-9.6180,6.8700,0.011250,0.012657,0.084978,0.000022,10.000000,0,polynomial
0.0182,descent,0.2829,43.4180,11.7773,-9.6180,5.4960,0.011351,0.012757,0.084978,0.000022,10.000000,0,polynomial
0.0193,descent,0.2829,43.4180,11.6895,-9.6180,1.3740,0.011687,0.118635,0.084980,0.000020,10.000000,0,polynomial
0.0205,descent,0.2829,43.4180,11.6895,-8.2440,0.0000,0.011654,0.213060,0.084980,0.000020,10.000000,0,polynomial
0.0215,descent,0.2829,43.4180,11.6895,-8.2440,-1.3740,0.011756,0.118719,0.084976,0.000024,10.000000,0,polynomial
0.0227,descent,0.2829,43.4180,11.6895,-8.2440,-2.7480,0.011857,0.028770,0.084952,0.000048,10.000000,0,polynomial
0.0238,descent,0.2829,43.4180,11.6895,-8.2440,-4.1220,0.011959,0.013974,0.084952,0.000048,10.000000,0,polynomial
0.0250,descent,0.2829,43.4180,11.6016,-8.2440,-5.4960,0.012091,0.013479,0.084983,0.000017,10.000000,0,polynomial
0.0262,descent,0.2829,43.4180,11.6016,-6.8700,-6.8700,0.012059,0.013463,0.084983,0.000017,10.000000,0,polynomial
0.0273,descent,0.2829,43.4180,11.6016,-6.8700,-6.8700,0.012059,0.013463,0.084982,0.000018,10.000000,0,polynomial
0.0284,descent,0.2829,43.4180,11.6016,-6.8700,-6.8700,0.012059,0.013463,0.084982,0.000018,10.000000,0,polynomial
0.0297,descent,0.2829,43.4180,11.5137,-6.8700,-9.6180,0.012293,0.013690,0.084981,0.000019,10.000000,0,polynomial
0.0305,descent,0.2572,43.4180,11.5137,-6.8700,-9.6180,0.012293,0.013690,0.084981,0.000019,10.000000,0,polynomial
0.0315,descent,0.2572,43.4180,11.5137,-5.4960,-10.9920,0.012267,0.013681,0.084974,0.000026,10.000000,0,polynomial
0.0327,descent,0.2572,43.4180,11.5137,-5.4960,-12.3660,0.012369,0.013774,0.084973,0.000027,10.000000,0,polynomial
0.0338,descent,0.2572,43.4180,11.5137,-4.1220,-12.3660,0.012863,0.013672,0.084973,0.000027,10.000000,0,polynomial
0.0349,descent,0.2572,43.4180,11.4258,-4.1220,-12.3660,0.012895,0.013713,0.084992,0.000008,10.000000,0,polynomial
0.0360,descent,0.2572,43.4180,11.4258,-4.1220,-12.3660,0.012895,0.013713,0.084992,0.000008,10.000000,0,polynomial
0.0371,descent,0.2572,43.4180,11.4258,-4.1220,-13.7400,0.012996,0.013806,0.084981,0.000019,10.000000,0,polynomial
0.0382,descent,0.2572,43.4180,11.4258,-4.1220,-13.7400,0.012996,0.013806,0.084981,0.000019,10.000000,0,polynomial
0.0394,descent,0.2572,43.4180,11.4258,-2.7480,-13.7400,0.027750,0.013705,0.084977,0.000023,10.000000,0,polynomial
0.0405,descent,0.2572,43.4180,11.4258,-2.7480,-13.7400,0.027750,0.013705,0.084977,0.000023,10.000000,0,polynomial
0.0416,descent,0.2572,43.4180,11.4258,-2.7480,-13.7400,0.027750,0.013705,0.084991,0.000009,10.000000,0,polynomial
0.0427,descent,0.2572,43.4180,11.3379,-2.7480,-13.7400,0.027782,0.013746,0.084972,0.000028,10.000000,0,polynomial
0.0438,descent,0.2572,43.4180,11.3379,-2.7480,-15.1140,0.027883,0.013838,0.084972,0.000028,10.000000,0,polynomial
0.0449,descent,0.2572,43.4180,11.3379,-2.7480,-15.1140,0.027883,0.013838,0.084989,0.000011,10.000000,0,polynomial
0.0460,descent,0.2572,43.4180,11.3379,-1.3740,-15.1140,0.117791,0.013737,0.084989,0.000011,10.000000,0,polynomial
0.0471,descent,0.2572,43.4180,11.3379,-1.3740,-15.1140,0.117791,0.013737,0.084978,0.000022,10.000000,0,polynomial
0.0482,descent,0.2572,43.4180,11.3379,-1.3740,-13.7400,0.117689,0.013644,0.084978,0.000022,10.000000,0,polynomial
0.0493,descent,0.2572,43.4180,11.3379,-1.3740,-13.7400,0.117689,0.013644,0.084962,0.000038,10.000000,0,polynomial
0.0504,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084962,0.000038,10.000000,0,polynomial
0.0515,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084978,0.000022,10.000000,0,polynomial
0.0527,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084964,0.000036,10.000000,0,polynomial
0.0538,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084964,0.000036,10.000000,0,polynomial
0.0549,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084972,0.000028,10.000000,0,polynomial
0.0560,descent,0.2572,43.4180,11.2500,0.0000,-13.7400,0.212020,0.013584,0.084972,0.000028,10.000000,0,polynomial
0.0572,descent,0.2572,43.4180,11.1621,0.0000,-13.7400,0.212051,0.013625,0.084971,0.000029,10.000000,0,polynomial
0.0582,descent,0.2572,43.4180,11.1621,0.0000,-13.7400,0.212051,0.013625,0.084971,0.000029,10.000000,0,polynomial
0.0598,descent,0.2572,43.4180,11.1621,0.0000,-13.7400,0.212051,0.013625,0.084970,0.000030,10.000000,0,polynomial
0.0609,descent,0.2572,43.4180,11.1621,0.0000,-12.3660,0.211950,0.013532,0.084970,0.000030,10.000000,0,polynomial
0.0617,descent,0.2572,43.5059,11.1621,1.3740,-12.3660,0.117353,0.013399,0.084956,0.000044,10.000000,0,polynomial
0.0627,descent,0.2572,43.5938,11.0742,1.3740,-12.3660,0.117355,0.013409,0.084949,0.000051,10.000000,0,polynomial
0.0638,descent,0.2572,43.5938,11.0742,2.7480,-12.3660,0.027179,0.013308,0.084949,0.000051,10.000000,0,polynomial
0.0649,descent,0.2572,43.6816,11.0742,2.7480,-12.3660,0.027150,0.013277,0.084964,0.000036,10.000000,0,polynomial
0.0660,descent,0.2572,43.7695,11.0742,4.1220,-12.3660,0.012098,0.013144,0.084964,0.000036,10.000000,0,polynomial
0.0671,descent,0.2572,43.7695,11.0742,5.4960,-12.3660,0.011335,0.013042,0.084956,0.000044,10.000000,0,polynomial
0.0683,descent,0.2572,43.9453,10.9863,8.2440,-12.3660,0.011032,0.012818,0.084956,0.000044,10.000000,0,polynomial
0.0693,descent,0.2572,44.1211,10.9863,10.9920,-12.3660,0.010705,0.012553,0.084959,0.000041,10.000000,0,polynomial
0.0704,descent,0.2572,44.2090,10.9863,12.3660,-12.3660,0.010542,0.012420,0.084959,0.000041,10.000000,0,polynomial
0.0715,descent,0.2572,44.3848,10.9863,15.1140,-12.3660,0.010215,0.012155,0.084937,0.000063,10.000000,0,polynomial
0.0728,descent,0.2572,44.4727,10.9863,17.8620,-12.3660,0.009918,0.011920,0.084944,0.000056,10.000000,0,polynomial
0.0739,descent,0.2572,44.5605,10.8984,20.6100,-12.3660,0.009651,0.011727,0.084944,0.000056,10.000000,0,polynomial
0.0751,descent,0.2572,44.7363,10.8984,23.3580,-12.3660,0.009324,0.011461,0.084954,0.000046,10.000000,0,polynomial
0.0761,descent,0.2572,44.8242,10.8984,27.4800,-12.3660,0.008892,0.011125,0.084954,0.000046,10.000000,0,polynomial
0.0771,descent,0.2572,44.8242,10.8984,27.4800,-12.3660,0.008892,0.011125,0.084954,0.000046,10.000000,0,polynomial
0.0782,descent,0.2572,45.0000,10.8984,30.2280,-12.3660,0.008566,0.010860,0.084954,0.000046,10.000000,0,polynomial
0.0794,descent,0.2572,45.3516,10.8105,37.0980,-13.7400,0.007910,0.010361,0.084957,0.000043,10.000000,0,polynomial
0.0804,descent,0.2572,45.3516,10.8105,39.8460,-13.7400,0.007642,0.010158,0.084957,0.000043,10.000000,0,polynomial
0.0816,descent,0.2572,45.4395,10.8105,43.9680,-13.7400,0.007209,0.009822,0.084955,0.000045,10.000000,0,polynomial
0.0827,descent,0.2572,45.7031,10.7227,50.8380,-15.1140,0.006583,0.009353,0.084938,0.000062,10.000000,0,polynomial
0.0838,descent,0.2572,45.8789,10.7227,54.9600,-15.1140,0.006122,0.008986,0.084938,0.000062,10.000000,0,polynomial
0.0849,descent,0.2572,45.9668,10.7227,59.0820,-15.1140,0.005690,0.008650,0.084936,0.000064,10.000000,0,polynomial
0.0860,descent,0.2572,46.2305,10.7227,63.2040,-15.1140,0.005199,0.008252,0.084936,0.000064,10.000000,0,polynomial
0.0871,descent,0.2572,46.3184,10.6348,65.9520,-15.1140,0.004932,0.008058,0.084949,0.000051,10.000000,0,polynomial
0.0882,descent,0.2572,46.4941,10.6348,70.0740,-16.4880,0.004572,0.007783,0.084949,0.000051,10.000000,0,polynomial
0.0899,descent,0.2572,46.7578,10.6348,78.3180,-16.4880,0.003679,0.007080,0.084934,0.000066,10.000000,0,polynomial
0.0906,descent,0.2572,46.8457,10.5469,82.4400,-16.4880,0.003277,0.006784,0.084934,0.000066,10.000000,0,polynomial
0.0917,descent,0.2572,46.8457,10.5469,82.4400,-16.4880,0.003277,0.006784,0.084934,0.000066,10.000000,0,polynomial
0.0927,descent,0.2572,47.0215,10.5469,86.5620,-16.4880,0.002816,0.006417,0.084944,0.000056,10.000000,0,polynomial
