Config,Sample_Num,K_task_Npm,K_finger_Nmrad,Time_s,Force_Normal_Mean_N,Force_Normal_Std_N,Force_Pred_Mean_N,Force_Pred_Std_N,Pred_Error_Mean_N,Motor1_pos_Mean_deg,Motor2_pos_Mean_deg,UR5_Z_m
combined_space,1,33.218681,0.093387,4.5012,0.989082,0.012278,0.860456,0.068518,0.128627,45.7627,40.0049,0.085020
combined_space,2,35.757938,0.142500,11.0055,1.015255,0.004722,0.901914,0.071987,0.113340,51.4343,38.4476,0.085005
combined_space,3,12.825320,0.195368,17.5077,0.769874,0.022307,0.772279,0.058459,-0.002405,40.7548,37.9344,0.084993
combined_space,4,32.834191,0.159352,24.0122,0.876361,0.002948,0.918410,0.059964,-0.042049,48.3388,40.6591,0.085010
combined_space,5,13.843409,0.095573,30.5155,0.465394,0.036729,0.628127,0.034378,-0.162733,35.0328,34.7387,0.085001
combined_space,6,21.123941,0.186085,37.0200,0.714431,0.030625,0.842735,0.045674,-0.128304,44.3031,40.2323,0.085000
combined_space,7,29.315954,0.166325,43.5233,0.731860,0.001630,0.902754,0.068830,-0.170894,46.4548,41.1324,0.085002
combined_space,8,23.302426,0.053175,50.0267,0.635179,0.021385,0.686356,0.037628,-0.051177,42.1880,32.8666,0.085002
combined_space,9,26.637544,0.022125,56.5311,0.583473,0.075052,0.688781,0.048127,-0.105308,41.1925,33.5271,0.085014
combined_space,10,34.828935,0.130016,63.0355,1.025290,0.007824,0.892434,0.067974,0.132856,51.5087,36.7802,0.085004
combined_space,11,32.742632,0.077360,69.5400,0.766449,0.020797,0.816460,0.060483,-0.050010,47.7741,37.1986,0.085014
combined_space,12,39.120941,0.179693,76.0444,0.838235,0.012629,0.964091,0.089485,-0.125856,51.1508,41.5477,0.084996
combined_space,13,33.351505,0.046981,82.5500,0.793160,0.005314,0.788092,0.054003,0.005067,47.2437,35.8365,0.084994
combined_space,14,24.001630,0.018323,89.0533,0.535982,0.032893,0.644884,0.028346,-0.108902,39.3874,31.9748,0.085007
combined_space,15,14.628685,0.139779,95.5577,0.601272,0.006399,0.714332,0.039347,-0.113059,38.4739,36.9741,0.085004
combined_space,16,32.342865,0.193827,102.0626,0.818565,0.003147,0.935282,0.054461,-0.116717,48.9488,41.8288,0.085000
combined_space,17,19.774761,0.080387,108.5655,0.645978,0.033314,0.689051,0.045683,-0.043073,39.4251,34.9729,0.085015
combined_space,18,24.086674,0.046000,115.0690,0.618623,0.024314,0.690780,0.035480,-0.072157,41.2316,33.6778,0.084995
combined_space,19,13.897645,0.100384,121.5733,0.502250,0.030608,0.641462,0.039350,-0.139212,33.9820,36.2561,0.085007
combined_space,20,16.807280,0.137265,128.0766,0.622135,0.002372,0.733410,0.040877,-0.111275,40.8601,36.6789,0.085009
combined_space,21,23.114558,0.168209,134.5801,0.733972,0.001815,0.835547,0.056549,-0.101574,45.1968,39.6751,0.085019
combined_space,22,31.007953,0.069350,141.0844,0.747761,0.007389,0.804972,0.045199,-0.057212,45.6299,37.1092,0.085003
combined_space,23,34.967794,0.162905,147.5866,0.791256,0.048531,0.943454,0.104373,-0.152198,49.1380,40.4991,0.084995
combined_space,24,21.624351,0.064782,154.0900,0.577777,0.012783,0.681890,0.043029,-0.104113,40.8684,34.2089,0.085000
combined_space,25,30.474865,0.036553,160.5934,0.712067,0.010685,0.755107,0.040792,-0.043040,45.7979,33.1767,0.085001
combined_space,26,15.997246,0.011399,167.0977,0.281701,0.043312,0.478108,0.017394,-0.196407,36.1935,23.1905,0.085009
combined_space,27,33.607731,0.136322,173.6011,0.811806,0.002804,0.895607,0.059268,-0.083801,48.3523,40.1849,0.085008
combined_space,28,31.154961,0.158339,180.1055,0.717401,0.001803,0.908434,0.049179,-0.191032,46.9512,41.2546,0.085021
combined_space,29,23.767473,0.118061,186.6100,0.782838,0.004572,0.779255,0.050323,0.003583,44.3153,37.7304,0.085004
combined_space,30,14.193910,0.031761,193.1144,0.314732,0.049300,0.504114,0.023946,-0.189382,30.7580,29.4772,0.085002
combined_space,31,30.052089,0.099508,199.6178,0.754376,0.003184,0.824220,0.049772,-0.069844,46.0748,38.6560,0.085024
combined_space,32,26.957083,0.155350,206.1222,0.987661,0.003752,0.850834,0.056976,0.136826,47.7225,38.6167,0.085009
combined_space,33,29.041550,0.115180,212.6256,0.876663,0.005511,0.837567,0.056925,0.039097,47.2906,37.0864,0.085003
combined_space,34,26.776215,0.067751,219.1300,0.729885,0.032564,0.753446,0.040118,-0.023560,43.2735,36.7060,0.084994
combined_space,35,10.924535,0.092976,225.6334,0.395446,0.027874,0.576191,0.031622,-0.180745,30.3111,35.3018,0.085001
combined_space,36,16.437540,0.087620,232.1367,0.503597,0.055310,0.653220,0.051381,-0.149622,36.4008,35.5086,0.085001
combined_space,37,35.602092,0.054449,238.6411,0.686369,0.008512,0.821772,0.058306,-0.135403,47.8198,37.2041,0.085008
combined_space,38,11.749082,0.063463,245.1444,0.367123,0.055418,0.528696,0.027425,-0.161573,28.9885,33.4384,0.085003
combined_space,39,18.807813,0.135764,251.6477,0.697679,0.026492,0.768735,0.052983,-0.071056,39.7123,38.6875,0.084996
combined_space,40,26.710965,0.158941,258.1512,0.671245,0.040078,0.854367,0.061516,-0.183122,45.7369,41.0570,0.085011
