Config,Sample_Num,K_task_Npm,K_finger_Nmrad,Time_s,Force_Normal_Mean_N,Force_Normal_Std_N,Force_Pred_Mean_N,Force_Pred_Std_N,Pred_Error_Mean_N,Motor1_pos_Mean_deg,Motor2_pos_Mean_deg,UR5_Z_m
task_space,1,33.218681,0.000000,4.5022,0.875617,0.031306,0.725172,0.048610,0.150445,46.9132,30.9053,0.085013
task_space,2,23.166353,0.000000,11.0055,0.463016,0.032917,0.581175,0.031349,-0.118160,42.9345,23.1391,0.085000
task_space,3,35.757938,0.000000,17.5100,0.695660,0.066065,0.773457,0.049286,-0.077797,46.9696,31.6306,0.085004
task_space,4,30.921041,0.000000,24.0123,0.666245,0.063102,0.719932,0.034826,-0.053687,43.0880,31.7335,0.085016
task_space,5,12.825320,0.000000,30.5155,0.248605,0.085602,0.362092,0.025524,-0.113486,37.2084,16.3404,0.084994
task_space,6,39.268671,0.000000,37.0200,0.907275,0.010584,0.797617,0.044598,0.109658,48.6688,33.7794,0.085013
task_space,7,32.834191,0.000000,43.5233,0.764681,0.026053,0.718547,0.035660,0.046134,48.1510,28.5419,0.085010
task_space,8,33.581929,0.000000,50.0277,0.770237,0.018424,0.730294,0.035580,0.039943,47.4620,30.3424,0.084992
task_space,9,13.843409,0.000000,56.5311,0.339052,0.085941,0.381043,0.026722,-0.041990,39.6339,15.7116,0.085014
task_space,10,23.511578,0.000000,63.0356,0.420059,0.045306,0.592514,0.029094,-0.172455,41.2615,25.8777,0.085012
task_space,11,21.123941,0.000000,69.5400,0.358159,0.047533,0.557346,0.033552,-0.199187,38.8186,24.2184,0.085004
task_space,12,37.802950,0.000000,76.0433,0.819103,0.008549,0.792973,0.049800,0.026130,47.2350,33.7339,0.085007
task_space,13,29.315954,0.000000,82.5477,0.569874,0.032637,0.694661,0.043931,-0.124787,41.9405,31.8906,0.085003
task_space,14,34.682848,0.000000,89.0533,0.661319,0.027094,0.749484,0.040699,-0.088165,46.6311,32.3682,0.084997
task_space,15,23.302426,0.000000,95.5566,0.433143,0.048241,0.598385,0.035310,-0.165242,39.5850,26.6466,0.085000
task_space,16,16.817162,0.000000,102.0611,0.337924,0.062469,0.462894,0.023628,-0.124970,37.2304,20.8087,0.085010
task_space,17,26.637544,0.000000,108.5655,0.506145,0.053195,0.643357,0.033724,-0.137212,43.1753,27.4490,0.085013
task_space,18,11.914518,0.000000,115.0700,0.297744,0.038935,0.329444,0.019949,-0.031700,38.5024,17.3733,0.085013
task_space,19,34.828935,0.000000,121.5733,0.672531,0.009079,0.760982,0.050449,-0.088452,45.3327,33.6613,0.085006
task_space,20,28.949932,0.000000,128.0777,0.630939,0.014350,0.671773,0.029286,-0.040834,45.9775,26.7206,0.085003
task_space,21,32.742632,0.000000,134.5822,0.770107,0.014215,0.701581,0.042361,0.068526,49.8217,27.4482,0.085000
task_space,22,20.635779,0.000000,141.0866,0.396305,0.057696,0.556999,0.031089,-0.160694,35.9634,26.5839,0.085016
task_space,23,39.120941,0.000000,147.5911,0.810862,0.034547,0.776961,0.045438,0.033901,51.8102,30.1141,0.085003
task_space,24,36.793634,0.000000,154.0933,0.731450,0.003829,0.785255,0.049594,-0.053805,45.3145,35.7010,0.085009
task_space,25,33.351505,0.000000,160.5977,0.701851,0.036561,0.716580,0.044461,-0.014729,49.1786,28.3477,0.085000
task_space,26,15.839161,0.000000,167.1022,0.327189,0.057888,0.434760,0.023091,-0.107571,39.4003,16.8437,0.085008
task_space,27,24.001630,0.000000,173.6066,0.500175,0.057119,0.614504,0.031098,-0.114329,38.2875,29.6523,0.084991
task_space,28,11.314113,0.000000,180.1088,0.310024,0.056152,0.308721,0.013285,0.001303,40.3276,15.9926,0.085005
task_space,29,14.628685,0.000000,186.6132,0.430471,0.073224,0.403399,0.020382,0.027072,38.3553,18.2090,0.084991
task_space,30,30.491469,0.000000,193.1166,0.629485,0.040331,0.705338,0.038619,-0.075853,43.9113,30.8015,0.084990
task_space,31,32.342865,0.000000,199.6211,0.698187,0.017930,0.719351,0.042907,-0.021164,45.6474,31.5042,0.084993
task_space,32,39.025292,0.000000,206.1244,0.683987,0.009477,0.806017,0.045940,-0.122030,47.3383,34.7560,0.085003
task_space,33,19.774761,0.000000,212.6278,0.333009,0.057679,0.521669,0.028072,-0.188660,39.4013,23.1121,0.085009
task_space,34,21.113791,0.000000,219.1322,0.402492,0.048128,0.547331,0.026927,-0.144839,39.4043,25.6750,0.084999
task_space,35,24.086674,0.000000,225.6355,0.447386,0.038117,0.597965,0.037050,-0.150578,42.2213,25.8529,0.085005
task_space,36,15.684141,0.000000,232.1399,0.294239,0.050290,0.430976,0.024153,-0.136737,39.4706,16.4908,0.084996
task_space,37,13.897645,0.000000,238.6433,0.312262,0.076430,0.382900,0.022221,-0.070638,39.0660,16.8178,0.084998
task_space,38,24.271148,0.000000,245.1467,0.509045,0.028413,0.608737,0.036818,-0.099691,41.0258,26.8740,0.084999
task_space,39,16.807280,0.000000,251.6511,0.324879,0.077209,0.467401,0.025100,-0.142523,36.5681,20.4441,0.084998
task_space,40,30.094420,0.000000,258.1555,0.628410,0.008852,0.694543,0.038683,-0.066134,44.9037,29.2174,0.085012
