Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_task_Nm,Param,Mode
0.0007,descent,0.5363,84.9902,12.2168,-8.2440,-1.3740,0.034016,0.124597,0.084981,0.000019,99.995835,1000,sigmoid
0.0018,descent,0.5363,84.9902,12.2168,-8.2440,-1.3740,0.034016,0.124597,0.084981,0.000019,99.995835,1000,sigmoid
0.0029,descent,0.5363,84.9902,12.2168,-8.2440,0.0000,0.033915,0.218938,0.084997,0.000003,99.995902,1000,sigmoid
0.0041,descent,0.5363,84.9902,12.2168,-8.2440,1.3740,0.033814,0.124412,0.084997,0.000003,99.995902,1000,sigmoid
0.0052,descent,0.5363,84.9902,12.2168,-8.2440,1.3740,0.033814,0.124412,0.085004,-0.000004,99.995930,1000,sigmoid
0.0061,descent,0.5363,84.9902,12.2168,-6.8700,1.3740,0.033680,0.124310,0.085004,-0.000004,99.995930,1000,sigmoid
0.0075,descent,0.4948,84.9902,12.2168,-6.8700,2.7480,0.033578,0.034175,0.084993,0.000007,99.995887,1000,sigmoid
0.0085,descent,0.4948,84.9902,12.2168,-6.8700,4.1220,0.033477,0.019195,0.084989,0.000011,99.995870,1000,sigmoid
0.0096,descent,0.4948,84.9902,12.2168,-5.4960,4.1220,0.033350,0.019093,0.084989,0.000011,99.995870,1000,sigmoid
0.0108,descent,0.4948,84.9902,12.2168,-5.4960,4.1220,0.033350,0.019093,0.084998,0.000002,99.995905,1000,sigmoid
0.0118,descent,0.4948,84.9902,12.2168,-5.4960,4.1220,0.033350,0.019093,0.084998,0.000002,99.995905,1000,sigmoid
0.0129,descent,0.4948,84.9902,12.2168,-5.4960,4.1220,0.033350,0.019093,0.084982,0.000018,99.995839,1000,sigmoid
0.0140,descent,0.4948,84.9902,12.3047,-5.4960,5.4960,0.032896,0.017879,0.084982,0.000018,99.995839,1000,sigmoid
0.0151,descent,0.4948,84.9902,12.3047,-5.4960,5.4960,0.032896,0.017879,0.084984,0.000016,99.995849,1000,sigmoid
0.0164,descent,0.4948,84.9902,12.3047,-5.4960,5.4960,0.032896,0.017879,0.084984,0.000016,99.995849,1000,sigmoid
0.0173,descent,0.4948,84.9902,12.3047,-5.4960,5.4960,0.032896,0.017879,0.084975,0.000025,99.995811,1000,sigmoid
0.0183,descent,0.4948,84.9902,12.3926,-4.1220,6.8700,0.032937,0.017185,0.085004,-0.000004,99.995929,1000,sigmoid
0.0195,descent,0.4948,84.9902,12.4805,-4.1220,6.8700,0.032584,0.016693,0.085004,-0.000004,99.995929,1000,sigmoid
0.0206,descent,0.4948,84.9902,12.4805,-4.1220,8.2440,0.032483,0.016600,0.084995,0.000005,99.995895,1000,sigmoid
0.0217,descent,0.4948,84.9902,12.4805,-2.7480,8.2440,0.047237,0.016499,0.084995,0.000005,99.995895,1000,sigmoid
0.0228,descent,0.4948,84.9902,12.5684,-2.7480,9.6180,0.046783,0.015914,0.084988,0.000012,99.995864,1000,sigmoid
0.0239,descent,0.4948,84.9902,12.5684,-2.7480,9.6180,0.046783,0.015914,0.084988,0.000012,99.995864,1000,sigmoid
0.0250,descent,0.4948,84.9902,12.5684,-2.7480,9.6180,0.046783,0.015914,0.084987,0.000013,99.995862,1000,sigmoid
0.0261,descent,0.4948,84.9902,12.6562,-2.7480,10.9920,0.046329,0.015329,0.084987,0.000013,99.995862,1000,sigmoid
