Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.0006,descent,1.3609,48.7793,42.8027,83.8140,-15.1140,0.019150,0.030903,0.085001,-0.000001,0.432399,0.3
0.0014,descent,1.3609,48.8672,42.8027,83.8140,-13.7400,0.019022,0.030854,0.084992,0.000008,0.432399,0.3
0.0025,descent,1.3609,48.8672,42.8027,83.8140,-13.7400,0.019022,0.030854,0.084992,0.000008,0.432399,0.3
0.0036,descent,1.3609,48.8672,42.8027,83.8140,-12.3660,0.019022,0.030799,0.085003,-0.000003,0.432399,0.3
0.0047,descent,1.3609,48.9551,42.8027,82.4400,-10.9920,0.018909,0.030750,0.085003,-0.000003,0.432399,0.3
0.0058,descent,1.3609,49.0430,42.8027,81.0660,-9.6180,0.018795,0.030700,0.084994,0.000006,0.432399,0.3
0.0069,descent,1.3609,49.1309,42.8027,81.0660,-9.6180,0.018667,0.030704,0.085006,-0.000006,0.432399,0.3
0.0081,descent,1.3609,49.1309,42.8027,79.6920,-8.2440,0.018682,0.030650,0.085006,-0.000006,0.432399,0.3
0.0092,descent,1.3609,49.2188,42.8027,78.3180,-6.8700,0.018568,0.030600,0.085003,-0.000003,0.432399,0.3
0.0103,descent,1.3609,49.2188,42.8027,76.9440,-5.4960,0.018582,0.030553,0.085003,-0.000003,0.432399,0.3
0.0115,descent,1.3609,49.3066,42.8027,75.5700,-5.4960,0.018469,0.030558,0.084990,0.000010,0.432399,0.3
0.0125,descent,1.3609,49.3066,42.8027,74.1960,-4.1220,0.018483,0.031132,0.084990,0.000010,0.432399,0.3
0.0136,descent,1.3609,49.3066,42.8027,71.4480,-4.1220,0.018512,0.031132,0.084996,0.000004,0.432399,0.3
0.0147,descent,1.3609,49.3066,42.8027,70.0740,-2.7480,0.018526,0.045966,0.084996,0.000004,0.432399,0.3
0.0158,descent,1.3609,49.3945,42.8027,68.7000,-2.7480,0.018412,0.045971,0.084992,0.000008,0.432399,0.3
