Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.0006,descent,1.0759,49.5703,44.2090,-1.3740,1.3740,0.134823,0.138096,0.085012,-0.000012,0.600000,0
0.0017,descent,1.0759,49.5703,44.2969,0.0000,2.7480,0.229247,0.047313,0.085021,-0.000021,0.600000,0
0.0028,descent,1.0759,49.5703,44.2969,0.0000,2.7480,0.229247,0.047313,0.085021,-0.000021,0.600000,0
0.0039,descent,1.0759,49.5703,44.3848,0.0000,4.1220,0.229252,0.031683,0.085009,-0.000009,0.600000,0
0.0052,descent,1.0759,49.5703,44.4727,0.0000,5.4960,0.229257,0.030313,0.085009,-0.000009,0.600000,0
0.0062,descent,1.0759,49.5703,44.5605,0.0000,6.8700,0.229262,0.029565,0.085020,-0.000020,0.600000,0
0.0073,descent,1.0759,49.5703,44.6484,0.0000,9.6180,0.229266,0.028769,0.085020,-0.000020,0.600000,0
0.0084,descent,1.0759,49.5703,44.7363,0.0000,10.9920,0.229271,0.028028,0.085012,-0.000012,0.600000,0
0.0095,descent,1.0759,49.5703,44.8242,0.0000,12.3660,0.229276,0.027287,0.085012,-0.000012,0.600000,0
0.0106,descent,1.0759,49.5703,44.9121,0.0000,13.7400,0.229280,0.026546,0.085010,-0.000010,0.600000,0
0.0117,descent,1.0759,49.5703,45.0000,0.0000,16.4880,0.229285,0.025750,0.085009,-0.000009,0.600000,0
0.0128,descent,1.0759,49.5703,45.0879,0.0000,17.8620,0.229290,0.025009,0.085009,-0.000009,0.600000,0
0.0148,descent,1.0759,49.6582,45.1758,1.3740,20.6100,0.134668,0.024218,0.084997,0.000003,0.600000,0
0.0151,descent,1.0759,49.6582,45.1758,1.3740,20.6100,0.134668,0.024218,0.084997,0.000003,0.600000,0
0.0162,descent,1.0759,49.7461,45.3516,2.7480,27.4800,0.044442,0.022577,0.084997,0.000003,0.600000,0
0.0173,descent,1.0759,49.9219,45.4395,4.1220,28.8540,0.029186,0.021845,0.084997,0.000003,0.600000,0
0.0184,descent,1.0751,50.0098,45.4395,5.4960,31.6020,0.028364,0.021741,0.085003,-0.000003,0.600000,0
0.0195,descent,1.0751,50.0977,45.5273,8.2440,32.9760,0.028154,0.021005,0.085003,-0.000003,0.600000,0
0.0206,descent,1.0751,50.1855,45.6152,9.6180,35.7240,0.027965,0.020214,0.085019,-0.000019,0.600000,0
0.0217,descent,1.0751,50.1855,45.6152,10.9920,37.0980,0.027951,0.020160,0.085000,0.000000,0.600000,0
0.0228,descent,1.0751,50.3613,45.6152,13.7400,38.4720,0.027565,0.020115,0.085000,0.000000,0.600000,0
0.0239,descent,1.0751,50.5371,45.7031,16.4880,39.8460,0.027183,0.019383,0.084999,0.000001,0.600000,0
0.0250,descent,1.0751,50.5371,45.7031,16.4880,41.2200,0.027183,0.019329,0.084999,0.000001,0.600000,0
0.0262,descent,1.0751,50.7129,45.7031,24.7320,43.9680,0.026739,0.019229,0.084984,0.000016,0.600000,0
0.0273,descent,1.0751,50.9766,45.7910,27.4800,45.3420,0.026179,0.018503,0.084984,0.000016,0.600000,0
0.0284,descent,1.0751,51.1523,45.7910,30.2280,46.7160,0.025792,0.018458,0.084996,0.000004,0.600000,0
0.0295,descent,1.0751,51.1523,45.7910,34.3500,46.7160,0.025749,0.018458,0.084996,0.000004,0.600000,0
0.0306,descent,1.0751,51.3281,45.7910,37.0980,48.0900,0.025363,0.018413,0.085001,-0.000001,0.600000,0
0.0323,descent,1.0751,51.3281,45.7910,37.0980,48.0900,0.025363,0.018413,0.084989,0.000011,0.600000,0
0.0331,descent,1.0751,51.5039,45.7910,39.8460,48.0900,0.024976,0.018422,0.084989,0.000011,0.600000,0
0.0340,descent,1.0751,51.6797,45.7910,46.7160,48.0900,0.024547,0.018432,0.084976,0.000024,0.600000,0
0.0350,descent,1.0751,51.6797,45.7031,46.7160,48.0900,0.024542,0.019119,0.084976,0.000024,0.600000,0
0.0361,descent,1.0751,52.0312,45.7031,54.9600,46.7160,0.023741,0.019192,0.084977,0.000023,0.600000,0
0.0373,descent,1.0751,52.0312,45.7031,61.8300,43.9680,0.023669,0.019301,0.084977,0.000023,0.600000,0
0.0384,descent,1.0751,52.1191,45.7031,64.5780,42.5940,0.023462,0.019360,0.084964,0.000036,0.600000,0
0.0395,descent,1.0751,52.3828,45.7031,68.7000,41.2200,0.022882,0.019429,0.084964,0.000036,0.600000,0
0.0406,descent,1.0751,52.4707,45.7031,71.4480,39.8460,0.022675,0.019488,0.084977,0.000023,0.600000,0
0.0417,descent,1.0751,52.5586,45.6152,75.5700,38.4720,0.022448,0.020234,0.084959,0.000041,0.600000,0
0.0428,descent,1.0751,52.6465,45.6152,78.3180,35.7240,0.022241,0.020348,0.084959,0.000041,0.600000,0
0.0439,descent,1.0751,52.7344,45.6152,81.0660,32.9760,0.022033,0.020461,0.084956,0.000044,0.600000,0
0.0450,descent,1.0751,52.8223,45.6152,83.8140,31.6020,0.021826,0.020521,0.084956,0.000044,0.600000,0
0.0461,descent,1.0751,52.9102,45.5273,89.3100,26.1060,0.021585,0.021430,0.084955,0.000045,0.600000,0
0.0473,descent,1.0751,52.9102,45.5273,90.6840,23.3580,0.021571,0.021539,0.084955,0.000045,0.600000,0
0.0484,descent,1.0751,52.9980,45.4395,92.0580,20.6100,0.021373,0.022339,0.084955,0.000045,0.600000,0
0.0495,descent,1.0751,53.1738,45.4395,93.4320,17.8620,0.021001,0.022457,0.084955,0.000045,0.600000,0
0.0507,descent,1.0751,53.1738,45.4395,94.8060,15.1140,0.020986,0.022566,0.084949,0.000051,0.600000,0
0.0517,descent,1.0751,53.1738,45.3516,96.1800,12.3660,0.020967,0.023362,0.084933,0.000067,0.600000,0
0.0528,descent,1.0751,53.3496,45.3516,96.1800,9.6180,0.020610,0.023480,0.084933,0.000067,0.600000,0
0.0539,descent,1.0751,53.3496,45.3516,96.1800,6.8700,0.020610,0.023589,0.084938,0.000062,0.600000,0
0.0550,descent,1.0751,53.4375,45.2637,96.1800,4.1220,0.020426,0.025025,0.084938,0.000062,0.600000,0
0.0561,descent,1.0751,53.4375,45.2637,94.8060,0.0000,0.020440,0.224553,0.084927,0.000073,0.600000,0
0.0573,descent,1.0751,53.5254,45.1758,94.8060,-2.7480,0.020257,0.040877,0.084927,0.000073,0.600000,0
0.0584,descent,1.0751,53.5254,45.1758,92.0580,-4.1220,0.020285,0.026043,0.084923,0.000077,0.600000,0
0.0595,descent,1.0751,53.6133,45.0879,90.6840,-6.8700,0.020116,0.026208,0.084923,0.000077,0.600000,0
0.0606,descent,1.0751,53.6133,45.0879,89.3100,-9.6180,0.020130,0.026316,0.084926,0.000074,0.600000,0
0.0617,descent,1.0751,53.6133,45.0000,86.5620,-10.9920,0.020154,0.027057,0.084920,0.000080,0.600000,0
0.0628,descent,1.0751,53.6133,45.0000,86.5620,-13.7400,0.020154,0.027166,0.084920,0.000080,0.600000,0
0.0639,descent,1.0751,53.7012,44.9121,85.1880,-15.1140,0.019985,0.027912,0.084903,0.000097,0.600000,0
0.0650,descent,1.0751,53.7012,44.9121,81.0660,-16.4880,0.020028,0.027967,0.084903,0.000097,0.600000,0
0.0661,descent,1.0751,53.7012,44.8242,75.5700,-19.2360,0.020080,0.028762,0.084910,0.000090,0.600000,0
0.0672,descent,1.0751,53.7012,44.8242,75.5700,-20.6100,0.020080,0.028816,0.084910,0.000090,0.600000,0
0.0684,descent,1.0751,53.7012,44.7363,70.0740,-21.9840,0.020133,0.029557,0.084906,0.000094,0.600000,0
0.0695,descent,1.0751,53.7012,44.6484,70.0740,-23.3580,0.020128,0.030299,0.084906,0.000094,0.600000,0
0.0706,descent,1.0751,53.7012,44.6484,67.3260,-24.7320,0.020157,0.030353,0.084914,0.000086,0.600000,0
0.0717,descent,1.0751,53.6133,44.6484,63.2040,-26.1060,0.020378,0.030403,0.084893,0.000107,0.600000,0
0.0728,descent,1.0751,53.7012,44.5605,60.4560,-27.4800,0.020223,0.031148,0.084893,0.000107,0.600000,0
0.0739,descent,1.0751,53.7012,44.5605,56.3340,-27.4800,0.020266,0.031148,0.084893,0.000107,0.600000,0
0.0750,descent,1.0751,53.6133,44.5605,50.8380,-28.8540,0.020502,0.031198,0.084893,0.000107,0.600000,0
0.0765,descent,1.0751,53.6133,44.4727,46.7160,-30.2280,0.020540,0.031939,0.084883,0.000117,0.600000,0
0.0773,descent,1.0751,53.5254,44.3848,39.8460,-31.6020,0.020786,0.032676,0.084883,0.000117,0.600000,0
0.0784,descent,1.0751,53.5254,44.3848,37.0980,-31.6020,0.020815,0.032676,0.084876,0.000124,0.600000,0
0.0795,descent,1.0751,53.5254,44.3848,37.0980,-31.6020,0.020815,0.032676,0.084882,0.000118,0.600000,0
0.0806,descent,1.0751,53.5254,44.2969,31.6020,-32.9760,0.020867,0.033417,0.084882,0.000118,0.600000,0
0.0818,descent,1.0751,53.5254,44.2969,31.6020,-32.9760,0.020867,0.033417,0.084872,0.000128,0.600000,0
0.0829,descent,1.0751,53.4375,44.2090,28.8540,-32.9760,0.021070,0.034099,0.084872,0.000128,0.600000,0
0.0840,descent,1.0751,53.4375,44.2090,24.7320,-34.3500,0.021113,0.034153,0.084866,0.000134,0.600000,0
0.0851,descent,1.0751,53.4375,44.1211,21.9840,-34.3500,0.021137,0.034840,0.084866,0.000134,0.600000,0
0.0863,descent,1.0751,53.3496,44.0332,16.4880,-35.7240,0.021368,0.035576,0.084870,0.000130,0.600000,0
0.0874,descent,1.0751,53.3496,44.0332,13.7400,-35.7240,0.021397,0.035576,0.084870,0.000130,0.600000,0
0.0884,descent,1.0751,53.3496,43.9453,12.3660,-35.7240,0.021406,0.036263,0.084856,0.000144,0.600000,0
0.0895,descent,1.0751,53.2617,43.9453,9.6180,-37.0980,0.021614,0.036312,0.084857,0.000143,0.600000,0
0.0906,descent,1.0751,53.2617,43.9453,6.8700,-37.0980,0.021642,0.036312,0.084857,0.000143,0.600000,0
0.0918,descent,1.0751,53.2617,43.9453,4.1220,-35.7240,0.022307,0.036258,0.084857,0.000143,0.600000,0
0.0929,descent,1.0751,53.1738,43.8574,1.3740,-37.0980,0.127440,0.036994,0.084857,0.000143,0.600000,0
0.0940,descent,1.0751,53.1738,43.8574,0.0000,-35.7240,0.221888,0.036940,0.084841,0.000159,0.600000,0
0.0951,descent,1.0751,53.1738,43.7695,-2.7480,-37.0980,0.037436,0.037681,0.084841,0.000159,0.600000,0
0.0963,descent,1.0751,53.0859,43.6816,-6.8700,-37.0980,0.022129,0.038363,0.084837,0.000163,0.600000,0
0.0974,descent,1.0751,53.0859,43.6816,-8.2440,-35.7240,0.022143,0.038308,0.084837,0.000163,0.600000,0
0.0984,descent,1.0751,52.9980,43.6816,-9.6180,-35.7240,0.022336,0.038304,0.084837,0.000163,0.600000,0
0.0995,descent,1.0751,52.9980,43.5937,-10.9920,-35.7240,0.022346,0.038990,0.084833,0.000167,0.600000,0
0.1006,descent,1.0751,52.9102,43.5937,-13.7400,-35.7240,0.022553,0.038986,0.084833,0.000167,0.600000,0
0.1018,descent,1.0751,52.9102,43.5937,-15.1140,-35.7240,0.022568,0.038986,0.084836,0.000164,0.600000,0
0.1028,descent,1.0751,52.8223,43.5059,-16.4880,-35.7240,0.022756,0.039668,0.084836,0.000164,0.600000,0
0.1039,descent,1.0751,52.8223,43.5059,-17.8620,-35.7240,0.022770,0.039668,0.084835,0.000165,0.600000,0
0.1051,descent,1.0751,52.8223,43.4180,-19.2360,-35.7240,0.022780,0.040354,0.084835,0.000165,0.600000,0
0.1062,descent,1.0751,52.7344,43.3301,-20.6100,-35.7240,0.022968,0.041036,0.084827,0.000173,0.600000,0
0.1073,descent,1.0751,52.7344,43.3301,-21.9840,-35.7240,0.022983,0.041036,0.084827,0.000173,0.600000,0
0.1084,descent,1.0737,52.7344,43.3301,-21.9840,-35.7240,0.022983,0.041036,0.084813,0.000187,0.600000,0
0.1095,descent,1.0737,52.7344,43.3301,-21.9840,-35.7240,0.022983,0.041036,0.084813,0.000187,0.600000,0
0.1106,descent,1.0737,52.6465,43.3301,-24.7320,-34.3500,0.023190,0.040977,0.084822,0.000178,0.600000,0
