Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStrength_N_per_m,Sigma_m,Strength
0.0007,descent,0.8336,45.2637,44.7363,-59.0820,-12.3660,0.032880,0.024862,0.084999,0.000001,0.0000,0.0100,300
0.0018,descent,0.8336,45.1758,44.6484,-59.0820,-15.1140,0.033024,0.025864,0.084999,0.000001,0.0000,0.0100,300
0.0029,descent,0.8336,45.0879,44.6484,-59.0820,-16.4880,0.033173,0.026077,0.085003,-0.000003,0.0000,0.0100,300
0.0040,descent,0.8336,45.0879,44.5605,-57.7080,-17.8620,0.033111,0.026865,0.085003,-0.000003,0.0000,0.0100,300
0.0051,descent,0.8336,45.0000,44.5605,-57.7080,-19.2360,0.033260,0.027078,0.084988,0.000012,0.0000,0.0100,300
0.0063,descent,0.8336,45.0000,44.5605,-57.7080,-20.6100,0.033260,0.027296,0.084988,0.000012,0.0000,0.0100,300
0.0074,descent,0.8336,44.9121,44.5605,-57.7080,-21.9840,0.033409,0.027509,0.085001,-0.000001,0.0000,0.0100,300
0.0091,descent,0.8336,44.8242,44.4727,-57.7080,-21.9840,0.033553,0.028076,0.084984,0.000016,0.0000,0.0100,300
0.0098,descent,0.8336,44.8242,44.4727,-57.7080,-23.3580,0.033553,0.028293,0.084984,0.000016,0.0000,0.0100,300
0.0107,descent,0.8336,44.8242,44.4727,-57.7080,-23.3580,0.033553,0.028293,0.084976,0.000024,0.0000,0.0100,300
0.0119,descent,0.8336,44.6484,44.3848,-56.3340,-26.1060,0.033789,0.029291,0.084976,0.000024,0.0000,0.0100,300
0.0130,descent,0.8336,44.5605,44.2969,-56.3340,-26.1060,0.033933,0.029857,0.084986,0.000014,0.0000,0.0100,300
0.0140,descent,0.8336,44.5605,44.2969,-56.3340,-26.1060,0.033933,0.029857,0.084986,0.000014,0.0000,0.0100,300
0.0151,descent,0.8336,44.4727,44.2969,-56.3340,-27.4800,0.034082,0.030070,0.085000,0.000000,0.0000,0.0100,300
0.0163,descent,0.8336,44.3848,44.2090,-56.3340,-27.4800,0.034226,0.030637,0.085000,0.000000,0.0000,0.0100,300
0.0174,descent,0.8336,44.3848,44.2090,-56.3340,-27.4800,0.034226,0.030637,0.084982,0.000018,0.0000,0.0100,300
0.0185,descent,0.8336,44.3848,44.2090,-54.9600,-28.8540,0.034168,0.030854,0.084982,0.000018,0.0000,0.0100,300
0.0196,descent,0.8336,44.2969,44.1211,-54.9600,-28.8540,0.034313,0.031421,0.084984,0.000016,0.0000,0.0100,300
0.0207,descent,0.8331,44.2969,44.1211,-54.9600,-28.8540,0.034313,0.031421,0.084993,0.000007,0.0000,0.0100,300
0.0218,descent,0.8331,44.1211,44.0332,-53.5860,-30.2280,0.034548,0.032200,0.084993,0.000007,0.0000,0.0100,300
0.0229,descent,0.8331,44.1211,44.0332,-53.5860,-30.2280,0.034548,0.032200,0.084980,0.000020,0.0000,0.0100,300
0.0240,descent,0.8331,44.1211,44.0332,-52.2120,-30.2280,0.034491,0.032200,0.084980,0.000020,0.0000,0.0100,300
0.0252,descent,0.8331,44.0332,44.0332,-52.2120,-30.2280,0.034639,0.032195,0.084970,0.000030,0.0000,0.0100,300
0.0263,descent,0.8331,43.9453,43.9453,-52.2120,-30.2280,0.034784,0.032762,0.084970,0.000030,0.0000,0.0100,300
