Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.0006,descent,0.3378,28.0371,30.8496,-43.9680,32.9760,0.004979,0.016419,0.084976,0.000024,0.100000,0.0
0.0017,descent,0.3378,27.9492,30.7617,-43.9680,28.8540,0.005003,0.016687,0.084976,0.000024,0.100000,0.0
0.0028,descent,0.3378,27.9492,30.7617,-43.9680,26.1060,0.005003,0.016796,0.084984,0.000016,0.100000,0.0
0.0039,descent,0.3378,27.8613,30.7617,-43.9680,23.3580,0.005031,0.016901,0.084984,0.000016,0.100000,0.0
0.0050,descent,0.3378,27.8613,30.7617,-43.9680,20.6100,0.005031,0.017010,0.085001,-0.000001,0.100000,0.0
0.0061,descent,0.3378,27.7734,30.7617,-43.9680,19.2360,0.005059,0.017061,0.085001,-0.000001,0.100000,0.0
0.0073,descent,0.3378,27.7734,30.7617,-43.9680,16.4880,0.005059,0.017170,0.085001,-0.000001,0.100000,0.0
0.0083,descent,0.3378,27.7734,30.7617,-43.9680,16.4880,0.005059,0.017170,0.084991,0.000009,0.100000,0.0
0.0096,descent,0.3378,27.5977,30.6738,-42.5940,9.6180,0.005096,0.017544,0.084991,0.000009,0.100000,0.0
0.0105,descent,0.3378,27.5977,30.6738,-42.5940,8.2440,0.005096,0.017598,0.084991,0.000009,0.100000,0.0
0.0117,descent,0.3378,27.5098,30.6738,-42.5940,6.8700,0.005124,0.017649,0.084991,0.000009,0.100000,0.0
0.0128,descent,0.3378,27.5098,30.5859,-42.5940,4.1220,0.005120,0.018503,0.084996,0.000004,0.100000,0.0
0.0139,descent,0.3378,27.4219,30.5859,-42.5940,2.7480,0.005148,0.033442,0.084996,0.000004,0.100000,0.0
0.0151,descent,0.3378,27.4219,30.5859,-42.5940,1.3740,0.005148,0.123538,0.084974,0.000026,0.100000,0.0
0.0161,descent,0.3378,27.3340,30.4980,-42.5940,0.0000,0.005173,0.218131,0.084974,0.000026,0.100000,0.0
0.0172,descent,0.3378,27.3340,30.4980,-42.5940,-2.7480,0.005173,0.033765,0.084978,0.000022,0.100000,0.0
0.0183,descent,0.3378,27.2461,30.4980,-42.5940,-4.1220,0.005200,0.018927,0.084979,0.000021,0.100000,0.0
0.0195,descent,0.3378,27.1582,30.4102,-42.5940,-6.8700,0.005225,0.018505,0.084979,0.000021,0.100000,0.0
0.0205,descent,0.3378,27.1582,30.4102,-42.5940,-8.2440,0.005225,0.018560,0.084994,0.000006,0.100000,0.0
0.0217,descent,0.3378,27.0703,30.4102,-42.5940,-9.6180,0.005252,0.018611,0.084994,0.000006,0.100000,0.0
0.0228,descent,0.3378,27.0703,30.4102,-42.5940,-9.6180,0.005252,0.018611,0.084994,0.000006,0.100000,0.0
0.0239,descent,0.3378,27.0703,30.3223,-42.5940,-10.9920,0.005249,0.018774,0.084994,0.000006,0.100000,0.0
0.0250,descent,0.3378,26.9824,30.3223,-42.5940,-12.3660,0.005277,0.018825,0.084983,0.000017,0.100000,0.0
0.0261,descent,0.3378,26.9824,30.3223,-42.5940,-12.3660,0.005277,0.018825,0.084983,0.000017,0.100000,0.0
0.0272,descent,0.3378,26.8945,30.3223,-42.5940,-13.7400,0.005304,0.018876,0.084978,0.000022,0.100000,0.0
0.0283,descent,0.3378,26.8066,30.3223,-42.5940,-13.7400,0.005332,0.018872,0.084967,0.000033,0.100000,0.0
0.0294,descent,0.3378,26.8066,30.3223,-42.5940,-13.7400,0.005332,0.018872,0.084967,0.000033,0.100000,0.0
0.0305,descent,0.3378,26.7187,30.3223,-42.5940,-15.1140,0.005360,0.018923,0.084974,0.000026,0.100000,0.0
0.0317,descent,0.3378,26.7187,30.3223,-42.5940,-15.1140,0.005360,0.018923,0.084974,0.000026,0.100000,0.0
0.0328,descent,0.3378,26.6309,30.3223,-42.5940,-15.1140,0.005388,0.018920,0.084979,0.000021,0.100000,0.0
0.0339,descent,0.3378,26.6309,30.3223,-42.5940,-15.1140,0.005388,0.018920,0.084979,0.000021,0.100000,0.0
0.0350,descent,0.3378,26.5430,30.2344,-42.5940,-15.1140,0.005412,0.019025,0.084974,0.000026,0.100000,0.0
0.0361,descent,0.3378,26.5430,30.2344,-42.5940,-15.1140,0.005412,0.019025,0.084974,0.000026,0.100000,0.0
0.0372,descent,0.3378,26.4551,30.2344,-42.5940,-15.1140,0.005440,0.019021,0.084963,0.000037,0.100000,0.0
