time_s,phase,k_tip_Npm,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_dot_0,q_dot_1,q_dot_2,q_dot_3,q_dot_4,q_dot_5,q_dot_6,q_dot_7,q_dot_8,q_dot_9,q_dot_10,q_dot_11,q_dot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,tip_index_x_m,tip_index_y_m,tip_index_z_m,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,force_thumb_x_N,force_thumb_y_N,force_thumb_z_N,force_index_x_N,force_index_y_N,force_index_z_N,force_middle_x_N,force_middle_y_N,force_middle_z_N,force_ring_x_N,force_ring_y_N,force_ring_z_N,force_pinky_x_N,force_pinky_y_N,force_pinky_z_N,force_thumb_mag_N,force_index_mag_N,force_middle_mag_N,force_ring_mag_N,force_pinky_mag_N
0.0363,open,0.0,0.069029,-0.030680,-0.085903,0.015340,0.251573,0.067495,-0.016874,0.038350,-0.038350,-0.046019,-0.064427,0.088971,0.018408,-0.003645,-0.060728,-0.701019,0.421348,-0.022829,0.493088,0.470525,0.023981,-0.367549,-0.048336,-0.251586,0.072246,-0.424318,0.036995,-0.080857,0.016527,-0.005468,-0.000118,-0.005572,-0.000911,-0.002222,0.003715,0.002728,0.005127,-0.005206,0.000796,-0.117244,0.029055,0.013645,-0.036948,0.070350,0.162477,0.002780,0.071889,0.167885,0.043083,0.066260,0.157877,0.072415,0.061243,0.123574,-0.050685,-0.032709,0.053871,-0.021063,0.002207,0.115158,0.003824,0.000803,0.123193,0.032192,-0.000442,0.114509,0.045212,0.001594,0.074129,0.078274,1.012708,0.015531,0.009799,1.329596,-0.075326,-0.002338,1.268569,-0.072696,-0.007505,1.378897,-0.041995,-0.026643,1.760692,-0.057450,1.015847,1.331764,1.270652,1.379556,1.761831
0.0696,open,0.0,0.118117,-0.081301,-0.101243,0.026078,0.251573,0.076699,0.015340,0.038350,-0.041417,-0.046019,-0.065961,0.088971,0.010738,0.463088,-0.537523,-0.588428,0.377464,-0.007164,0.383506,0.828770,0.023981,-0.242051,0.005359,-0.153303,0.039127,-0.345863,0.034993,-0.076072,0.017854,-0.006751,-0.000118,-0.005669,-0.004457,-0.002220,0.003401,0.002529,0.004810,-0.005082,0.000991,-0.117142,0.030572,0.011344,-0.036996,0.069891,0.162513,0.002784,0.071975,0.167866,0.043082,0.066304,0.157869,0.072385,0.061436,0.123548,-0.050583,-0.031193,0.051570,-0.021111,0.001748,0.115194,0.003828,0.000889,0.123174,0.032192,-0.000399,0.114501,0.045183,0.001787,0.074103,0.091575,0.987748,0.020771,0.004300,1.338344,-0.044316,-0.002452,1.267352,-0.076081,-0.008023,1.378299,-0.043846,-0.033760,1.755862,-0.069212,0.992202,1.339084,1.269636,1.379020,1.757550
0.1030,open,0.0,0.191748,-0.171806,-0.111981,0.033748,0.260777,0.079767,0.042951,0.038350,-0.042951,-0.027612,-0.065961,0.088971,0.004602,1.526619,-1.645022,-0.462194,0.311303,0.057576,0.242127,0.895036,0.023981,-0.120285,0.156205,-0.061535,0.028734,-0.243443,0.031483,-0.066697,0.018460,-0.007407,-0.000126,-0.005311,-0.006482,-0.002218,0.003011,0.000948,0.004426,-0.005043,0.000935,-0.116802,0.032449,0.007220,-0.037099,0.069259,0.162599,0.002785,0.072017,0.167857,0.043075,0.067229,0.157592,0.072393,0.061594,0.123511,-0.050243,-0.029315,0.047446,-0.021215,0.001116,0.115280,0.003830,0.000931,0.123165,0.032185,0.000526,0.114224,0.045190,0.001944,0.074067,0.107497,0.965122,0.028304,-0.001337,1.348059,-0.013673,-0.002509,1.266742,-0.077772,-0.011961,1.369198,-0.058348,-0.039265,1.751963,-0.078735,0.971502,1.348129,1.269129,1.370492,1.754171
0.1363,open,0.0,0.266913,-0.299126,-0.119651,0.038350,0.273049,0.079767,0.067495,0.038350,-0.042951,0.004602,-0.065961,0.088971,0.004602,2.071608,-2.815435,-0.332929,0.248723,0.304124,0.121014,0.832332,0.023981,-0.039512,0.620876,-0.019310,0.025472,-0.128493,0.028652,-0.054757,0.018623,-0.007628,-0.000143,-0.004861,-0.007769,-0.002216,0.002692,-0.002568,0.004255,-0.005029,0.000319,-0.116019,0.034033,0.001553,-0.037221,0.068560,0.162701,0.002785,0.072017,0.167857,0.043044,0.068840,0.157086,0.072435,0.061598,0.123492,-0.049460,-0.027731,0.041779,-0.021337,0.000417,0.115382,0.003830,0.000931,0.123165,0.032154,0.002137,0.113718,0.045233,0.001949,0.074047,0.120310,0.952016,0.036329,-0.006951,1.357765,0.016103,-0.002509,1.266742,-0.077772,-0.018815,1.352881,-0.083247,-0.039054,1.751957,-0.078940,0.960275,1.357878,1.269129,1.355570,1.754170
0.1703,open,0.0,0.339010,-0.444854,-0.121184,0.041417,0.265379,0.079767,0.087437,0.038350,-0.042951,0.030680,-0.065961,0.088971,0.004602,2.211732,-3.733301,-0.190154,0.172656,0.150803,0.049874,0.730570,0.023981,-0.012399,0.805718,-0.006060,0.024449,-0.041159,0.026468,-0.042451,0.017854,-0.007518,-0.000132,-0.004598,-0.008600,-0.002216,0.002586,-0.004702,0.004202,-0.005025,-0.000148,-0.114664,0.035217,-0.004832,-0.037264,0.067985,0.162784,0.002785,0.072017,0.167857,0.042958,0.070138,0.156667,0.072409,0.061596,0.123504,-0.048105,-0.026547,0.035394,-0.021379,-0.000158,0.115465,0.003830,0.000931,0.123165,0.032068,0.003435,0.113298,0.045206,0.001946,0.074059,0.128237,0.953703,0.042575,-0.011372,1.365462,0.040724,-0.002509,1.266742,-0.077772,-0.024489,1.339317,-0.102932,-0.039186,1.751961,-0.078812,0.963227,1.366116,1.269129,1.343490,1.754170
0.2034,open,0.0,0.398835,-0.598253,-0.121184,0.041417,0.257709,0.078233,0.098175,0.038350,-0.038350,0.049087,-0.041417,0.076699,0.004602,2.124326,-4.319937,-0.064235,0.090862,-0.115696,0.017809,0.580726,0.023981,0.019383,0.728617,0.216633,-0.099313,-0.012916,0.024940,-0.030722,0.016990,-0.006903,-0.000116,-0.004396,-0.008646,-0.002216,0.002188,-0.005432,0.001712,-0.003884,-0.000301,-0.112730,0.035858,-0.011352,-0.037286,0.067597,0.162847,0.002780,0.071889,0.167885,0.042902,0.070362,0.156522,0.072484,0.061120,0.123629,-0.046171,-0.025906,0.028874,-0.021401,-0.000546,0.115528,0.003824,0.000803,0.123193,0.032012,0.003659,0.113154,0.045282,0.001470,0.074184,0.133921,0.967349,0.047590,-0.013970,1.370201,0.055406,-0.002338,1.268569,-0.072696,-0.020485,1.340539,-0.088327,-0.032705,1.759403,-0.067775,0.977734,1.371391,1.270652,1.343602,1.761012
0.2369,open,0.0,0.455592,-0.756253,-0.121184,0.039884,0.251573,0.078233,0.096641,0.038350,-0.009204,0.058291,-0.003068,0.056757,0.000000,1.927388,-4.610175,-0.020158,0.016621,-0.174141,0.003253,0.297206,0.023981,0.358553,0.529702,0.778436,-0.369215,-0.026345,0.023648,-0.019653,0.016686,-0.006115,-0.000111,-0.004346,-0.007354,-0.002210,-0.000871,-0.005193,-0.003081,-0.001777,0.000137,-0.110165,0.036273,-0.017848,-0.037262,0.067639,0.162845,0.002744,0.071080,0.168053,0.042879,0.069738,0.156607,0.072608,0.060462,0.123801,-0.043606,-0.025492,0.022378,-0.021377,-0.000503,0.115526,0.003789,-0.000006,0.123360,0.031989,0.003036,0.113239,0.045405,0.000813,0.074356,0.140448,0.989542,0.052089,-0.013520,1.369623,0.053534,-0.001268,1.279976,-0.040240,-0.009952,1.352637,-0.050487,-0.026259,1.768503,-0.056873,1.000816,1.370736,1.280609,1.353616,1.769612
0.2696,open,0.0,0.506214,-0.915787,-0.113515,0.032214,0.248505,0.050621,0.082835,0.038350,0.026078,0.059825,0.033748,0.039884,-0.021476,1.676270,-4.610003,0.039462,-0.029065,-0.142490,-0.239814,-0.074133,0.023981,0.802053,0.265863,1.023132,-0.489646,-0.280223,0.022601,-0.009423,0.015229,-0.004620,-0.000111,-0.001915,-0.004920,-0.002203,-0.004703,-0.004292,-0.006441,-0.000396,0.003218,-0.107038,0.036178,-0.024166,-0.037400,0.066647,0.163162,0.002700,0.070096,0.168234,0.042877,0.068775,0.156785,0.072651,0.060348,0.123881,-0.040479,-0.025586,0.016060,-0.021516,-0.001496,0.115844,0.003745,-0.000990,0.123542,0.031987,0.002072,0.113416,0.045448,0.000699,0.074436,0.146544,1.029678,0.055032,-0.014569,1.376475,0.059388,-0.000007,1.293404,-0.000229,0.001927,1.367558,-0.007773,-0.037161,1.765565,-0.074786,1.041508,1.377833,1.293404,1.367581,1.767539
0.3029,open,0.0,0.543029,-1.043107,-0.076699,-0.010738,0.248505,0.024544,0.059825,0.038350,0.050621,0.059825,0.064427,0.030680,-0.038350,1.416840,-4.271861,0.484711,-0.513244,-0.059366,-0.638656,-0.385040,0.023981,0.876117,0.102487,1.003905,-0.396140,-0.474096,0.021949,-0.002347,0.007155,0.005467,-0.000115,0.001012,-0.002163,-0.002202,-0.006445,-0.003684,-0.008299,-0.000235,0.005610,-0.104132,0.035082,-0.029103,-0.037506,0.065993,0.163416,0.002669,0.069411,0.168346,0.042881,0.067906,0.156932,0.072659,0.060416,0.123902,-0.037573,-0.026683,0.011123,-0.021621,-0.002150,0.116097,0.003714,-0.001675,0.123654,0.031990,0.001204,0.113563,0.045456,0.000767,0.074457,0.160674,1.098582,0.062863,-0.013287,1.379486,0.052408,0.000848,1.302495,0.028091,0.012304,1.380194,0.029573,-0.047834,1.760894,-0.092486,1.112048,1.380545,1.302799,1.380566,1.763970
0.3363,open,0.0,0.572175,-1.153554,-0.036816,-0.050621,0.248505,0.004602,0.036816,0.038350,0.073631,0.059825,0.087437,0.027612,-0.049087,1.149135,-3.800241,1.001500,-1.033705,-0.003940,-0.668037,-0.611890,0.023981,0.789484,0.048617,0.897938,-0.237096,-0.412260,0.021521,0.003217,-0.001826,0.015365,-0.000117,0.002223,0.000246,-0.002204,-0.007462,-0.003485,-0.009305,-0.000655,0.006142,-0.101328,0.033781,-0.033192,-0.037568,0.065646,0.163584,0.002640,0.068767,0.168440,0.042880,0.067254,0.157030,0.072640,0.060567,0.123889,-0.034769,-0.027984,0.007034,-0.021683,-0.002497,0.116266,0.003684,-0.002319,0.123748,0.031990,0.000551,0.113662,0.045438,0.000918,0.074444,0.171075,1.176126,0.066805,-0.011055,1.380068,0.040272,0.001632,1.310830,0.055016,0.020189,1.389407,0.058057,-0.056080,1.756198,-0.106175,1.190379,1.380699,1.311985,1.390766,1.760298
