time_s,phase,k_tip_Npm,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_dot_0,q_dot_1,q_dot_2,q_dot_3,q_dot_4,q_dot_5,q_dot_6,q_dot_7,q_dot_8,q_dot_9,q_dot_10,q_dot_11,q_dot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,tip_index_x_m,tip_index_y_m,tip_index_z_m,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,force_thumb_x_N,force_thumb_y_N,force_thumb_z_N,force_index_x_N,force_index_y_N,force_index_z_N,force_middle_x_N,force_middle_y_N,force_middle_z_N,force_ring_x_N,force_ring_y_N,force_ring_z_N,force_pinky_x_N,force_pinky_y_N,force_pinky_z_N,force_thumb_mag_N,force_index_mag_N,force_middle_mag_N,force_ring_mag_N,force_pinky_mag_N
0.0363,open,0.0,0.065961,-0.029146,-0.191748,-0.036816,0.339010,0.000000,-0.122718,0.036816,0.065961,-0.018408,-0.058291,0.167204,-0.073631,0.024631,0.148102,-0.020576,-0.128027,-0.043117,-0.000116,-0.988254,0.025629,0.125815,-0.711584,-0.589796,0.582905,-0.055037,0.037046,-0.105344,0.026335,0.006490,-0.000014,-0.000015,0.011914,-0.002135,-0.004391,0.003662,0.006156,-0.011436,0.006206,-0.116665,0.031244,0.014326,-0.037322,0.070007,0.162800,0.002646,0.068900,0.168435,0.043301,0.067467,0.157441,0.071581,0.066541,0.122179,-0.050106,-0.030521,0.054552,-0.021438,0.001864,0.115481,0.003691,-0.002186,0.123742,0.032410,0.000764,0.114072,0.044379,0.006891,0.072734,0.018136,0.087517,0.003270,0.002164,0.132067,-0.014851,0.000141,0.130873,0.004724,-0.001033,0.136771,-0.005656,-0.014599,0.164476,-0.025842,0.089436,0.132917,0.130959,0.136892,0.167133
0.0696,open,0.0,0.099709,-0.099709,-0.173340,-0.035282,0.339010,0.009204,-0.150330,0.036816,0.065961,-0.023010,-0.069029,0.170272,-0.073631,0.328277,-0.550649,0.130843,-0.007592,0.019840,0.068302,-0.871356,0.024446,0.052742,-0.424357,-0.451349,0.327816,-0.011020,0.035693,-0.098566,0.022784,0.005356,-0.000017,-0.000778,0.013165,-0.002132,-0.004103,0.002849,0.006254,-0.010659,0.005968,-0.116726,0.031338,0.011092,-0.037149,0.071248,0.162467,0.002646,0.068900,0.168435,0.043307,0.067540,0.157450,0.071551,0.066656,0.122142,-0.050167,-0.030426,0.051318,-0.021264,0.003105,0.115148,0.003691,-0.002186,0.123742,0.032416,0.000837,0.114081,0.044348,0.007006,0.072697,0.017397,0.089549,0.003925,0.002826,0.130370,-0.018683,0.000141,0.130873,0.004724,-0.001293,0.136565,-0.006575,-0.014741,0.164254,-0.026079,0.091307,0.131733,0.130959,0.136730,0.166963
0.1030,open,0.0,0.145728,-0.236233,-0.119651,-0.029146,0.349748,0.035282,-0.171806,0.033748,0.065961,-0.023010,-0.078233,0.170272,-0.062893,0.998564,-2.315417,0.814268,0.060107,0.108770,0.414972,-0.760845,-0.017820,0.033006,-0.148566,-0.340868,0.132508,0.059730,0.033496,-0.084117,0.010776,0.003926,-0.000022,-0.003514,0.014060,-0.001804,-0.004025,0.001824,0.006374,-0.009933,0.004726,-0.116565,0.030538,0.004812,-0.036903,0.073151,0.161873,0.002640,0.068737,0.168484,0.043336,0.067800,0.157388,0.071645,0.066397,0.122189,-0.050006,-0.031227,0.045038,-0.021018,0.005008,0.114554,0.003684,-0.002349,0.123791,0.032446,0.001097,0.114020,0.044443,0.006747,0.072744,0.014004,0.096347,0.004314,0.003538,0.127899,-0.022919,0.000148,0.131006,0.004973,-0.001588,0.136189,-0.007668,-0.013839,0.165069,-0.024600,0.097455,0.129985,0.131100,0.136414,0.167465
0.1363,open,0.0,0.193282,-0.424913,-0.067495,0.000000,0.360485,0.056757,-0.190214,0.027612,0.062893,-0.023010,-0.082835,0.170272,-0.024544,1.336572,-4.142971,1.352638,0.426511,0.316186,0.627536,-0.646485,-0.084244,0.005938,-0.046622,-0.262352,0.058038,0.566409,0.031717,-0.066122,-0.000034,-0.003202,-0.000032,-0.005495,0.014743,-0.001217,-0.003739,0.001446,0.006335,-0.009651,-0.001063,-0.115483,0.029478,-0.003606,-0.036697,0.074728,0.161340,0.002630,0.068497,0.168569,0.043367,0.067929,0.157353,0.071877,0.065457,0.122384,-0.048924,-0.032286,0.036620,-0.020812,0.006585,0.114021,0.003675,-0.002589,0.123876,0.032477,0.001226,0.113985,0.044675,0.005808,0.072939,0.007990,0.104547,0.003141,0.004111,0.125748,-0.026382,0.000152,0.131159,0.005111,-0.001729,0.135999,-0.008214,-0.010569,0.167925,-0.019211,0.104899,0.128551,0.131259,0.136258,0.169350
0.1696,open,0.0,0.242369,-0.639670,-0.021476,0.026078,0.355884,0.075165,-0.205553,0.027612,0.038350,-0.023010,-0.085903,0.170272,0.012272,1.446299,-5.536972,1.465349,0.696552,0.153682,0.616101,-0.542274,-0.083935,-0.251235,-0.014630,-0.168066,0.034668,0.979055,0.030211,-0.047854,-0.007095,-0.009146,-0.000024,-0.006471,0.015272,-0.001222,-0.001275,0.001328,0.006131,-0.009560,-0.006225,-0.113053,0.028339,-0.012862,-0.036475,0.076053,0.160868,0.002662,0.069184,0.168467,0.043352,0.068016,0.157338,0.072034,0.064543,0.122570,-0.046494,-0.033425,0.027364,-0.020590,0.007910,0.113549,0.003706,-0.001902,0.123775,0.032461,0.001313,0.113970,0.044832,0.004893,0.073125,0.002148,0.113218,0.000233,0.004579,0.123869,-0.029217,0.000068,0.130277,0.002242,-0.001838,0.135872,-0.008574,-0.007350,0.170580,-0.013891,0.113238,0.127351,0.130297,0.136155,0.171303
0.2030,open,0.0,0.288388,-0.863631,0.019942,0.049087,0.351282,0.088971,-0.216291,0.027612,-0.003068,-0.013806,-0.087437,0.170272,0.044485,1.457010,-6.322888,1.384212,0.725861,-0.048077,0.521320,-0.432049,-0.026340,-0.825321,0.047063,-0.084756,0.027335,1.043221,0.028926,-0.030957,-0.012201,-0.012822,-0.000014,-0.006882,0.015484,-0.001446,0.003436,0.000589,0.005878,-0.009532,-0.009153,-0.109276,0.027034,-0.022029,-0.036306,0.077020,0.160506,0.002714,0.070340,0.168269,0.043317,0.068520,0.157189,0.072158,0.063738,0.122714,-0.042717,-0.034731,0.018197,-0.020421,0.008877,0.113187,0.003758,-0.000746,0.123577,0.032426,0.001817,0.113820,0.044955,0.004088,0.073269,-0.003221,0.123011,-0.004712,0.004905,0.122466,-0.031216,-0.000078,0.128742,-0.002508,-0.002096,0.135333,-0.009455,-0.004457,0.172832,-0.009127,0.123143,0.126477,0.128766,0.135679,0.173130
0.2363,open,0.0,0.328272,-1.081456,0.059825,0.062893,0.349748,0.096641,-0.225495,0.027612,-0.039884,0.019942,-0.087437,0.162602,0.070563,1.370353,-6.578014,1.281393,0.641149,-0.081708,0.397419,-0.330417,-0.008266,-1.061669,0.487540,-0.018158,-0.040808,0.951099,0.027946,-0.016166,-0.016948,-0.014260,-0.000013,-0.006844,0.015634,-0.001517,0.006543,-0.002922,0.005603,-0.008855,-0.010752,-0.104455,0.025489,-0.030326,-0.036200,0.077644,0.160265,0.002759,0.071364,0.168065,0.043232,0.070201,0.156642,0.072324,0.062792,0.122890,-0.037896,-0.036276,0.009900,-0.020316,0.009501,0.112946,0.003803,0.000278,0.123373,0.032342,0.003499,0.113274,0.045122,0.003142,0.073445,-0.007562,0.134328,-0.011405,0.005134,0.121508,-0.032648,-0.000213,0.127327,-0.006638,-0.002824,0.133553,-0.011982,-0.001636,0.175059,-0.004514,0.135023,0.125923,0.127500,0.134119,0.175125
0.2697,open,0.0,0.363553,-1.285476,0.084369,0.058291,0.349748,0.099709,-0.230097,0.019942,-0.070563,0.055223,-0.084369,0.136524,0.085903,1.238061,-6.472783,1.114667,0.334653,-0.029274,0.252061,-0.233177,-0.057261,-1.027447,0.889313,0.011289,-0.320778,0.776023,0.027156,-0.003423,-0.019162,-0.011267,-0.000015,-0.006471,0.015512,-0.000909,0.008219,-0.006374,0.005292,-0.006371,-0.011048,-0.099011,0.024137,-0.037352,-0.036156,0.077918,0.160158,0.002780,0.071810,0.168013,0.043141,0.071861,0.156057,0.072602,0.061408,0.123186,-0.032452,-0.037628,0.002874,-0.020271,0.009775,0.112839,0.003824,0.000724,0.123321,0.032251,0.005158,0.112689,0.045399,0.001758,0.073742,-0.008802,0.145507,-0.016946,0.005240,0.121074,-0.033311,-0.000308,0.126504,-0.009455,-0.003465,0.131782,-0.014208,0.001276,0.177547,0.000216,0.146755,0.125682,0.126857,0.132591,0.177552
0.3030,open,0.0,0.392699,-1.446544,0.078233,0.036816,0.349748,0.101243,-0.231631,0.012272,-0.096641,0.081301,-0.053689,0.104311,0.084369,1.105173,-5.853876,0.585640,-0.161773,-0.009187,0.124523,-0.131392,-0.208956,-0.911251,0.935023,0.326403,-0.753895,0.417029,0.026534,0.004908,-0.014707,-0.004314,-0.000016,-0.006080,0.015178,0.000084,0.009298,-0.007985,0.002027,-0.002981,-0.009007,-0.094206,0.023593,-0.042292,-0.036137,0.078034,0.160112,0.002795,0.072126,0.167980,0.043092,0.072288,0.155814,0.072858,0.060206,0.123469,-0.027647,-0.038172,-0.002066,-0.020252,0.009891,0.112793,0.003839,0.001040,0.123287,0.032201,0.005585,0.112446,0.045656,0.000557,0.074024,-0.006213,0.153067,-0.017181,0.005279,0.120896,-0.033562,-0.000388,0.125858,-0.011744,-0.003017,0.131790,-0.012635,0.002973,0.179221,0.002962,0.154154,0.125579,0.126405,0.132429,0.179270
0.3364,open,0.0,0.421845,-1.524777,0.041417,0.007670,0.357418,0.099709,-0.231631,0.012272,-0.118117,0.099709,-0.010738,0.076699,0.069029,0.980919,-4.339377,-0.258030,-0.586107,0.050666,0.044164,-0.054660,-0.111007,-0.776185,0.782634,0.969647,-0.842573,-0.057793,0.025897,0.005038,-0.003906,0.003249,-0.000019,-0.005694,0.014853,-0.000279,0.010035,-0.008429,-0.003399,-0.001125,-0.005236,-0.091743,0.024441,-0.044454,-0.036173,0.077962,0.160138,0.002820,0.072719,0.167831,0.043093,0.071990,0.155776,0.073052,0.059529,0.123653,-0.025184,-0.037324,-0.004228,-0.020289,0.009819,0.112819,0.003864,0.001633,0.123139,0.032203,0.005287,0.112407,0.045849,-0.000121,0.074209,-0.000752,0.152860,-0.010767,0.005264,0.120993,-0.033472,-0.000472,0.124990,-0.014066,-0.002000,0.132808,-0.009107,0.003087,0.179808,0.003097,0.153240,0.125648,0.125780,0.133135,0.179861
