time_s,phase,k_tip_Npm,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_dot_0,q_dot_1,q_dot_2,q_dot_3,q_dot_4,q_dot_5,q_dot_6,q_dot_7,q_dot_8,q_dot_9,q_dot_10,q_dot_11,q_dot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tip_thumb_x_m,tip_thumb_y_m,tip_thumb_z_m,tip_index_x_m,tip_index_y_m,tip_index_z_m,tip_middle_x_m,tip_middle_y_m,tip_middle_z_m,tip_ring_x_m,tip_ring_y_m,tip_ring_z_m,tip_pinky_x_m,tip_pinky_y_m,tip_pinky_z_m,disp_thumb_x_m,disp_thumb_y_m,disp_thumb_z_m,disp_index_x_m,disp_index_y_m,disp_index_z_m,disp_middle_x_m,disp_middle_y_m,disp_middle_z_m,disp_ring_x_m,disp_ring_y_m,disp_ring_z_m,disp_pinky_x_m,disp_pinky_y_m,disp_pinky_z_m,force_thumb_x_N,force_thumb_y_N,force_thumb_z_N,force_index_x_N,force_index_y_N,force_index_z_N,force_middle_x_N,force_middle_y_N,force_middle_z_N,force_ring_x_N,force_ring_y_N,force_ring_z_N,force_pinky_x_N,force_pinky_y_N,force_pinky_z_N,force_thumb_mag_N,force_index_mag_N,force_middle_mag_N,force_ring_mag_N,force_pinky_mag_N
0.6937,open,0.0,0.006136,-0.015340,-0.001534,-0.001534,0.000000,0.000000,0.000000,0.000000,-0.001534,0.003068,0.000000,0.000000,0.000000,0.011751,-0.032158,-0.002398,0.000000,0.023981,0.023981,0.000000,0.023981,-0.002398,0.011113,0.023981,0.023981,0.023981,0.051696,-0.159109,0.000211,0.000230,-0.000000,-0.000010,0.000000,-0.000010,0.000062,-0.000117,-0.000010,-0.000009,-0.000013,-0.117434,0.025229,0.014179,-0.036699,0.066393,0.163616,0.002652,0.068829,0.168730,0.042225,0.066917,0.157660,0.072179,0.058159,0.124658,-0.083207,-0.023692,0.066453,-0.015408,0.025221,0.101012,0.004732,0.026986,0.109888,0.027686,0.028420,0.097420,0.038393,0.014402,0.066615,0.003460,1.103755,0.000959,0.000000,2.179330,0.000000,-0.000087,2.082866,-0.002830,-0.001064,2.199116,-0.003958,0.000000,2.828228,0.000000,1.103761,2.179330,2.082868,2.199120,2.828228
0.7301,open,0.0,0.082835,-0.184078,-0.033748,-0.015340,0.006136,0.009204,-0.032214,0.001534,-0.036816,0.033748,-0.009204,-0.003068,0.004602,0.834761,-1.866956,-0.317295,-0.187535,0.067051,0.097266,-0.251823,0.026379,-0.357730,0.347511,-0.052758,0.008779,0.059339,0.049456,-0.147668,0.004827,0.002444,-0.000003,-0.000383,0.001465,-0.000073,0.001593,-0.001386,0.000415,0.000111,-0.000278,-0.117119,0.027029,0.006830,-0.036541,0.067784,0.163346,0.002699,0.069896,0.168527,0.042176,0.068710,0.157139,0.072238,0.057925,0.124683,-0.082892,-0.021892,0.059104,-0.015250,0.026612,0.100742,0.004780,0.028053,0.109686,0.027637,0.030214,0.096899,0.038452,0.014167,0.066640,0.052378,1.052480,0.016486,0.012620,2.158494,-0.074556,-0.002186,2.064163,-0.069259,-0.016271,2.179033,-0.060931,0.009738,2.833160,0.015939,1.053912,2.159818,2.065326,2.179946,2.833221
0.7634,open,0.0,0.187146,-0.420311,-0.070563,-0.013806,0.012272,0.021476,-0.079767,0.003068,-0.075165,0.067495,-0.015340,-0.010738,0.007670,2.227274,-4.820183,-0.839199,-0.170827,0.175327,0.276066,-0.958427,0.056116,-0.888743,0.809932,-0.202415,-0.155038,0.118277,0.046367,-0.131520,0.010213,0.002200,-0.000007,-0.000918,0.003773,-0.000150,0.003317,-0.002820,0.000745,0.000458,-0.000476,-0.115497,0.029354,-0.003357,-0.036300,0.069760,0.162906,0.002750,0.071044,0.168280,0.042110,0.070557,0.156547,0.072325,0.057549,0.124736,-0.081270,-0.019567,0.048917,-0.015009,0.028587,0.100302,0.004830,0.029201,0.109439,0.027571,0.032061,0.096307,0.038538,0.013791,0.066694,0.088973,1.012508,0.035688,0.030224,2.125630,-0.180543,-0.004542,2.042863,-0.140028,-0.030745,2.157757,-0.114873,0.021286,2.839411,0.034894,1.017036,2.133497,2.047662,2.161031,2.839706
0.7968,open,0.0,0.311398,-0.696427,-0.107379,-0.013806,0.016874,0.030680,-0.128854,0.003068,-0.111981,0.096641,-0.016874,-0.007670,0.007670,3.066236,-6.810556,-0.997309,-0.015419,0.163453,0.299909,-1.265491,0.045141,-1.022835,0.889055,-0.105725,-0.058165,0.067242,0.042812,-0.113139,0.015348,0.002083,-0.000009,-0.001273,0.005971,-0.000148,0.004820,-0.003927,0.000769,0.000307,-0.000447,-0.111784,0.031900,-0.014890,-0.036059,0.071611,0.162435,0.002793,0.072063,0.168041,0.042045,0.072037,0.156029,0.072318,0.057671,0.124707,-0.077557,-0.017021,0.037384,-0.014768,0.030438,0.099831,0.004874,0.030221,0.109199,0.027505,0.033540,0.095789,0.038532,0.013913,0.066664,0.124762,0.989127,0.060261,0.046789,2.090588,-0.282954,-0.006819,2.022263,-0.205035,-0.041194,2.140755,-0.153631,0.018744,2.837772,0.030186,0.998783,2.110168,2.032642,2.146656,2.837994
0.8301,open,0.0,0.426447,-0.948000,-0.134990,-0.009204,0.018408,0.033748,-0.167204,0.003068,-0.138058,0.113515,-0.016874,-0.004602,0.007670,3.409922,-7.385174,-0.930209,0.039127,0.111239,0.214746,-1.264077,0.030621,-0.948407,0.752901,-0.033801,0.081128,0.037557,0.039588,-0.096811,0.019072,0.001351,-0.000009,-0.001353,0.007583,-0.000141,0.005816,-0.004496,0.000736,0.000139,-0.000430,-0.106795,0.033902,-0.024818,-0.035889,0.072840,0.162091,0.002824,0.072783,0.167856,0.042001,0.072864,0.155724,0.072301,0.057791,0.124682,-0.072568,-0.015019,0.027456,-0.014598,0.031668,0.099487,0.004904,0.030940,0.109014,0.027461,0.034368,0.095484,0.038515,0.014034,0.066639,0.149279,0.992137,0.080591,0.058393,2.063986,-0.356408,-0.008476,2.007153,-0.250453,-0.046765,2.131172,-0.174159,0.016095,2.836123,0.025578,1.006536,2.095346,2.022737,2.138788,2.836284
0.8635,open,0.0,0.541495,-1.201107,-0.158000,0.013806,0.018408,0.035282,-0.202485,0.003068,-0.161068,0.121184,-0.016874,-0.001534,0.007670,3.533821,-7.524083,-0.795033,0.282200,0.073629,0.112405,-1.157913,0.026065,-0.821389,0.510968,-0.011713,0.088252,0.028241,0.036398,-0.080532,0.022121,-0.002287,-0.000009,-0.001367,0.009020,-0.000137,0.006671,-0.004683,0.000723,0.000023,-0.000424,-0.100396,0.035451,-0.034046,-0.035734,0.073900,0.161768,0.002850,0.073415,0.167681,0.041978,0.073239,0.155583,0.072279,0.057911,0.124659,-0.066169,-0.013470,0.018228,-0.014443,0.032727,0.099164,0.004931,0.031572,0.108840,0.027438,0.034743,0.095344,0.038493,0.014154,0.066617,0.161897,1.023820,0.088044,0.068454,2.039219,-0.421422,-0.009968,1.993467,-0.290110,-0.049298,2.126746,-0.183430,0.013396,2.834463,0.021024,1.040274,2.083434,2.014491,2.135211,2.834573
0.8968,open,0.0,0.656544,-1.454214,-0.174874,0.036816,0.018408,0.033748,-0.234699,0.003068,-0.181010,0.122718,-0.004602,-0.003068,0.007670,3.533112,-7.565566,-0.648016,0.584775,0.039561,0.048728,-1.040390,0.024635,-0.698105,0.257461,0.078411,0.057245,0.025318,0.033227,-0.064286,0.024323,-0.005970,-0.000009,-0.001283,0.010325,-0.000134,0.007407,-0.004638,0.000164,0.000092,-0.000423,-0.092726,0.036338,-0.042312,-0.035611,0.074715,0.161502,0.002873,0.073961,0.167522,0.041982,0.072971,0.155641,0.072290,0.057851,0.124671,-0.058499,-0.012583,0.009962,-0.014320,0.033543,0.098898,0.004953,0.032118,0.108681,0.027443,0.034475,0.095401,0.038504,0.014094,0.066628,0.177818,1.083153,0.088276,0.076839,2.017842,-0.476718,-0.011283,1.981338,-0.324171,-0.043630,2.134154,-0.162674,0.014745,2.835294,0.023300,1.101196,2.074813,2.007714,2.140789,2.835428
0.9301,open,0.0,0.768524,-1.688913,-0.184078,0.058291,0.018408,0.033748,-0.262311,0.003068,-0.194816,0.121184,0.033748,-0.003068,0.003068,3.488940,-7.422982,-0.476538,0.644745,0.028870,0.015573,-0.943943,0.024186,-0.556805,0.070885,0.604346,0.027447,-0.017638,0.030147,-0.049282,0.025461,-0.009240,-0.000009,-0.001268,0.011445,-0.000132,0.007893,-0.004499,-0.001679,0.000103,-0.000154,-0.084605,0.036569,-0.048985,-0.035494,0.075474,0.161235,0.002888,0.074338,0.167408,0.042011,0.071822,0.155917,0.072275,0.057968,0.124660,-0.050378,-0.012352,0.003289,-0.014203,0.034302,0.098631,0.004969,0.032495,0.108566,0.027472,0.033326,0.095677,0.038489,0.014211,0.066617,0.201004,1.166532,0.079266,0.084035,1.997973,-0.525048,-0.012206,1.972795,-0.347589,-0.023625,2.160200,-0.089146,0.007874,2.832087,0.011701,1.186374,2.067519,2.003220,2.162168,2.832122
0.9634,open,0.0,0.880505,-1.869923,-0.184078,0.069029,0.018408,0.033748,-0.286854,0.003068,-0.205553,0.121184,0.070563,-0.003068,-0.016874,3.424831,-6.725771,-0.237322,0.569884,0.025515,0.004887,-0.843040,0.024045,-0.433231,0.022244,1.003982,0.016860,-0.214877,0.027071,-0.037909,0.025297,-0.010796,-0.000009,-0.001263,0.012434,-0.000130,0.008266,-0.004474,-0.003400,0.000105,0.001019,-0.077587,0.036664,-0.053444,-0.035388,0.076145,0.160986,0.002900,0.074631,0.167316,0.042027,0.070786,0.156128,0.072207,0.058474,0.124609,-0.043360,-0.012257,-0.001170,-0.014097,0.034972,0.098382,0.004981,0.032788,0.108475,0.027487,0.032290,0.095888,0.038421,0.014716,0.066566,0.238422,1.247396,0.069421,0.090264,1.979830,-0.567593,-0.012931,1.966069,-0.365712,-0.004619,2.183364,-0.018914,-0.021677,2.817827,-0.038281,1.271873,2.061562,1.999835,2.183451,2.818170
0.9968,open,0.0,0.986350,-1.938952,-0.179476,0.064427,0.019942,0.003068,-0.306796,0.003068,-0.213223,0.121184,0.101243,0.007670,-0.042951,3.338170,-4.785445,-0.021397,0.260648,0.026860,-0.238364,-0.722239,0.024001,-0.308295,0.006981,1.031474,0.094292,-0.584930,0.024166,-0.034139,0.024527,-0.009873,-0.000010,-0.000030,0.013218,-0.000128,0.008518,-0.004467,-0.004703,-0.000326,0.002614,-0.074224,0.037689,-0.055073,-0.035545,0.075185,0.161342,0.002909,0.074839,0.167250,0.042039,0.069921,0.156283,0.072035,0.059552,0.124441,-0.039998,-0.011232,-0.002799,-0.014253,0.034013,0.098738,0.004989,0.032997,0.108408,0.027500,0.031424,0.096044,0.038248,0.015795,0.066399,0.282995,1.264335,0.075042,0.090567,1.988993,-0.569470,-0.013452,1.961221,-0.378609,0.011487,2.201900,0.040724,-0.068832,2.791527,-0.118464,1.297790,2.070891,1.997477,2.202307,2.794887
