Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,CartStrength_N_per_m,Sigma_m,Strength
0.0007,descent,0.7782,41.4844,42.8906,-6.8700,-23.3580,0.036998,0.038393,0.085001,-0.000001,0.0000,0.0100,300
0.0018,descent,0.7782,41.4844,42.8906,-6.8700,-23.3580,0.036998,0.038393,0.085001,-0.000001,0.0000,0.0100,300
0.0029,descent,0.7782,41.4844,42.8906,-6.8700,-21.9840,0.036998,0.038176,0.085002,-0.000002,0.0000,0.0100,300
0.0040,descent,0.7782,41.4844,42.8906,-5.4960,-20.6100,0.036948,0.037958,0.084992,0.000008,0.0000,0.0100,300
0.0051,descent,0.7782,41.4844,42.8906,-5.4960,-20.6100,0.036948,0.037958,0.084992,0.000008,0.0000,0.0100,300
0.0062,descent,0.7782,41.4844,42.8906,-4.1220,-19.2360,0.037519,0.037740,0.085000,0.000000,0.0000,0.0100,300
0.0074,descent,0.7782,41.4844,42.8906,-4.1220,-19.2360,0.037519,0.037740,0.085000,0.000000,0.0000,0.0100,300
0.0085,descent,0.7782,41.4844,42.8906,-4.1220,-17.8620,0.037519,0.037522,0.085006,-0.000006,0.0000,0.0100,300
0.0096,descent,0.7782,41.4844,42.8906,-4.1220,-16.4880,0.037518,0.037304,0.085006,-0.000006,0.0000,0.0100,300
0.0107,descent,0.7782,41.4844,42.8906,-2.7480,-16.4880,0.052349,0.037304,0.084999,0.000001,0.0000,0.0100,300
0.0118,descent,0.7782,41.4844,42.8906,-2.7480,-15.1140,0.052349,0.037086,0.084999,0.000001,0.0000,0.0100,300
0.0129,descent,0.7782,41.4844,42.8906,-2.7480,-13.7400,0.052349,0.036868,0.084994,0.000006,0.0000,0.0100,300
0.0140,descent,0.7782,41.4844,42.8906,-1.3740,-13.7400,0.142333,0.036868,0.084988,0.000012,0.0000,0.0100,300
0.0151,descent,0.7782,41.4844,42.8906,-1.3740,-13.7400,0.142333,0.036868,0.084988,0.000012,0.0000,0.0100,300
0.0162,descent,0.7782,41.4844,42.8906,-1.3740,-10.9920,0.142333,0.036432,0.084965,0.000035,0.0000,0.0100,300
0.0173,descent,0.7782,41.4844,42.8906,-1.3740,-10.9920,0.142333,0.036432,0.084965,0.000035,0.0000,0.0100,300
0.0185,descent,0.7782,41.4844,42.8906,-1.3740,-9.6180,0.142333,0.036215,0.084985,0.000015,0.0000,0.0100,300
0.0195,descent,0.7782,41.4844,42.8906,0.0000,-9.6180,0.236709,0.036214,0.084985,0.000015,0.0000,0.0100,300
0.0207,descent,0.7782,41.4844,42.8906,0.0000,-8.2440,0.236709,0.035997,0.084984,0.000016,0.0000,0.0100,300
0.0218,descent,0.7782,41.4844,42.8906,0.0000,-6.8700,0.236709,0.035779,0.084984,0.000016,0.0000,0.0100,300
0.0229,descent,0.7782,41.4844,42.8906,0.0000,-6.8700,0.236709,0.035779,0.085003,-0.000003,0.0000,0.0100,300
0.0240,descent,0.7782,41.4844,42.8906,0.0000,-6.8700,0.236709,0.035779,0.085001,-0.000001,0.0000,0.0100,300
0.0251,descent,0.7782,41.4844,42.8906,0.0000,-5.4960,0.236709,0.035568,0.085001,-0.000001,0.0000,0.0100,300
0.0262,descent,0.7782,41.4844,42.8906,0.0000,-5.4960,0.236709,0.035568,0.084981,0.000019,0.0000,0.0100,300
0.0273,descent,0.7782,41.4844,42.8906,0.0000,-5.4960,0.236709,0.035568,0.084981,0.000019,0.0000,0.0100,300
0.0285,descent,0.7782,41.5723,42.8906,1.3740,-4.1220,0.142068,0.035984,0.084985,0.000015,0.0000,0.0100,300
0.0296,descent,0.7782,41.5723,42.8906,1.3740,-2.7480,0.142068,0.050654,0.084985,0.000015,0.0000,0.0100,300
0.0307,descent,0.7782,41.6602,42.8906,2.7480,-2.7480,0.051820,0.050658,0.084988,0.000012,0.0000,0.0100,300
