Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.0007,descent,0.3424,25.5762,27.7734,-37.0980,-19.2360,0.005567,0.022203,0.084987,0.000013,0.100000,0.0
0.0018,descent,0.3424,25.5762,27.7734,-37.0980,-19.2360,0.005567,0.022203,0.084987,0.000013,0.100000,0.0
0.0029,descent,0.3424,25.4883,27.7734,-37.0980,-19.2360,0.005595,0.022199,0.084979,0.000021,0.100000,0.0
0.0040,descent,0.3424,25.4883,27.7734,-37.0980,-19.2360,0.005595,0.022199,0.084979,0.000021,0.100000,0.0
0.0054,descent,0.3424,25.4004,27.6855,-37.0980,-17.8620,0.005620,0.022251,0.084987,0.000013,0.100000,0.0
0.0064,descent,0.3424,25.3125,27.6855,-37.0980,-17.8620,0.005648,0.022248,0.084992,0.000008,0.100000,0.0
0.0073,descent,0.3424,25.3125,27.6855,-37.0980,-17.8620,0.005648,0.022248,0.084992,0.000008,0.100000,0.0
0.0084,descent,0.3424,25.3125,27.6855,-37.0980,-17.8620,0.005648,0.022248,0.084996,0.000004,0.100000,0.0
0.0096,descent,0.3424,25.2246,27.6855,-37.0980,-17.8620,0.005676,0.022244,0.084996,0.000004,0.100000,0.0
0.0107,descent,0.3901,25.2246,27.6855,-37.0980,-17.8620,0.005676,0.022244,0.084986,0.000014,0.100000,0.0
0.0118,descent,0.3901,25.1367,27.6855,-37.0980,-16.4880,0.005704,0.022187,0.084986,0.000014,0.100000,0.0
0.0129,descent,0.3901,25.1367,27.5977,-37.0980,-16.4880,0.005700,0.022296,0.084990,0.000010,0.100000,0.0
0.0140,descent,0.3901,25.0488,27.5977,-37.0980,-16.4880,0.005728,0.022293,0.084990,0.000010,0.100000,0.0
0.0155,descent,0.3901,24.9609,27.5977,-38.4720,-16.4880,0.005771,0.022289,0.084991,0.000009,0.100000,0.0
0.0163,descent,0.3901,24.9609,27.5977,-38.4720,-15.1140,0.005771,0.022235,0.084991,0.000009,0.100000,0.0
0.0174,descent,0.3901,24.8730,27.5977,-38.4720,-15.1140,0.005799,0.022232,0.084978,0.000022,0.100000,0.0
0.0185,descent,0.3901,24.8730,27.5977,-38.4720,-15.1140,0.005799,0.022232,0.084986,0.000014,0.100000,0.0
0.0196,descent,0.3901,24.7852,27.5098,-38.4720,-15.1140,0.005823,0.022338,0.084986,0.000014,0.100000,0.0
0.0211,descent,0.3901,24.7852,27.5098,-38.4720,-13.7400,0.005823,0.022283,0.084991,0.000009,0.100000,0.0
0.0218,descent,0.3901,24.7852,27.5098,-38.4720,-13.7400,0.005823,0.022283,0.084991,0.000009,0.100000,0.0
0.0229,descent,0.3901,24.6973,27.5098,-38.4720,-13.7400,0.005851,0.022280,0.084982,0.000018,0.100000,0.0
0.0240,descent,0.3901,24.6973,27.5098,-38.4720,-13.7400,0.005851,0.022280,0.084982,0.000018,0.100000,0.0
0.0252,descent,0.3901,24.6094,27.5098,-38.4720,-13.7400,0.005879,0.022277,0.084977,0.000023,0.100000,0.0
0.0262,descent,0.3901,24.6094,27.5098,-38.4720,-12.3660,0.005879,0.022222,0.084977,0.000023,0.100000,0.0
0.0273,descent,0.3901,24.5215,27.5098,-38.4720,-12.3660,0.005907,0.022219,0.084976,0.000024,0.100000,0.0
0.0284,descent,0.3901,24.5215,27.5098,-38.4720,-12.3660,0.005907,0.022219,0.084974,0.000026,0.100000,0.0
0.0295,descent,0.3901,24.4336,27.4219,-38.4720,-12.3660,0.005932,0.022325,0.084974,0.000026,0.100000,0.0
0.0307,descent,0.3901,24.4336,27.4219,-38.4720,-12.3660,0.005932,0.022325,0.084974,0.000026,0.100000,0.0
0.0318,descent,0.3901,24.3457,27.4219,-38.4720,-12.3660,0.005960,0.022322,0.084974,0.000026,0.100000,0.0
0.0329,descent,0.3901,24.3457,27.4219,-38.4720,-12.3660,0.005960,0.022322,0.084973,0.000027,0.100000,0.0
0.0340,descent,0.3901,24.2578,27.4219,-38.4720,-10.9920,0.005988,0.022264,0.084973,0.000027,0.100000,0.0
0.0355,descent,0.3901,24.2578,27.4219,-38.4720,-10.9920,0.005988,0.022264,0.084957,0.000043,0.100000,0.0
0.0363,descent,0.3901,24.1699,27.4219,-38.4720,-10.9920,0.006016,0.022261,0.084957,0.000043,0.100000,0.0
0.0373,descent,0.3901,24.1699,27.4219,-38.4720,-10.9920,0.006016,0.022261,0.084959,0.000041,0.100000,0.0
0.0384,descent,0.3901,24.0820,27.4219,-38.4720,-9.6180,0.006044,0.022203,0.084965,0.000035,0.100000,0.0
0.0395,descent,0.3901,24.0820,27.4219,-38.4720,-9.6180,0.006044,0.022203,0.084965,0.000035,0.100000,0.0
0.0407,descent,0.3901,23.9941,27.4219,-38.4720,-9.6180,0.006072,0.022200,0.084967,0.000033,0.100000,0.0
